ts_offset_sec,bid,ask,mid
0,36,41,38.5
2,36,41,38.5
2,36,41,38.5
2,36,41,38.5
3,36,41,38.5
3,36,41,38.5
4,36,41,38.5
6,36,41,38.5
6,36,41,38.5
6,36,41,38.5
8,36,41,38.5
8,36,41,38.5
8,36,41,38.5
8,36,41,38.5
9,36,41,38.5
9,36,41,38.5
10,36,41,38.5
10,36,41,38.5
10,36,41,38.5
11,36,41,38.5
11,36,41,38.5
11,36,41,38.5
11,36,41,38.5
11,36,42,39.0
11,36,42,39.0
11,36,42,39.0
11,36,43,39.5
11,36,43,39.5
11,36,46,41.0
11,36,46,41.0
11,36,46,41.0
11,36,45,40.5
11,36,45,40.5
11,36,45,40.5
11,36,45,40.5
11,36,45,40.5
11,36,45,40.5
11,36,44,40.0
11,36,44,40.0
11,36,44,40.0
11,36,44,40.0
11,36,44,40.0
11,36,44,40.0
11,36,44,40.0
11,36,43,39.5
11,36,43,39.5
11,36,43,39.5
11,36,43,39.5
11,36,43,39.5
11,36,43,39.5
11,36,43,39.5
11,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,36,43,39.5
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
12,37,43,40.0
13,37,43,40.0
13,37,43,40.0
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,38,43,40.5
13,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
14,39,43,41.0
15,39,43,41.0
15,39,43,41.0
15,39,42,40.5
15,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
16,39,42,40.5
17,38,42,40.0
17,38,42,40.0
17,38,42,40.0
17,38,42,40.0
17,38,42,40.0
17,38,42,40.0
17,38,42,40.0
17,39,42,40.5
17,39,42,40.5
17,39,42,40.5
17,39,42,40.5
18,39,42,40.5
18,39,42,40.5
18,39,42,40.5
18,39,42,40.5
19,39,42,40.5
19,39,42,40.5
20,39,42,40.5
20,39,42,40.5
20,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
22,39,42,40.5
