ts_offset_sec,bid,ask,mid
0,31,33,32.0
4,31,33,32.0
10,31,33,32.0
11,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
12,31,33,32.0
13,31,33,32.0
13,31,33,32.0
13,31,33,32.0
13,31,33,32.0
13,30,33,31.5
13,30,33,31.5
13,30,33,31.5
13,30,33,31.5
13,30,33,31.5
13,30,33,31.5
14,30,33,31.5
14,30,33,31.5
17,30,33,31.5
18,30,33,31.5
19,30,33,31.5
19,30,32,31.0
19,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
21,30,32,31.0
21,30,32,31.0
21,30,32,31.0
21,30,32,31.0
21,30,32,31.0
21,30,32,31.0
21,30,32,31.0
23,30,32,31.0
26,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
28,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,32,31.0
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
29,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
30,30,31,30.5
31,30,31,30.5
31,30,31,30.5
31,30,31,30.5
31,26,31,28.5
31,26,30,28.0
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,27,30,28.5
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
31,26,30,28.0
32,26,30,28.0
32,26,30,28.0
32,26,30,28.0
32,26,30,28.0
32,26,30,28.0
33,26,30,28.0
34,26,30,28.0
34,26,30,28.0
34,26,30,28.0
34,26,30,28.0
35,26,30,28.0
37,26,30,28.0
37,26,30,28.0
37,26,30,28.0
38,26,30,28.0
38,26,30,28.0
38,27,30,28.5
38,27,30,28.5
38,27,30,28.5
38,27,30,28.5
38,27,30,28.5
38,27,30,28.5
38,27,30,28.5
38,26,30,28.0
38,26,30,28.0
38,26,30,28.0
38,26,30,28.0
38,26,30,28.0
38,26,30,28.0
38,26,30,28.0
38,26,30,28.0
39,26,30,28.0
39,26,30,28.0
39,26,30,28.0
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,30,28.5
39,27,29,28.0
39,27,29,28.0
39,27,29,28.0
39,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
40,27,29,28.0
41,27,29,28.0
41,27,29,28.0
43,27,29,28.0
43,27,30,28.5
43,27,30,28.5
43,27,30,28.5
43,27,30,28.5
43,27,30,28.5
43,27,30,28.5
44,27,30,28.5
44,27,30,28.5
44,27,30,28.5
44,27,30,28.5
45,27,30,28.5
45,27,30,28.5
45,27,30,28.5
45,27,30,28.5
45,27,30,28.5
45,27,29,28.0
45,27,29,28.0
45,26,29,27.5
45,26,29,27.5
45,24,29,26.5
45,24,29,26.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,25,29,27.0
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
45,26,29,27.5
46,26,29,27.5
46,26,29,27.5
46,26,29,27.5
47,26,29,27.5
47,26,29,27.5
47,26,29,27.5
47,26,29,27.5
50,26,29,27.5
51,26,29,27.5
52,26,29,27.5
52,26,29,27.5
57,26,29,27.5
59,26,29,27.5
64,26,29,27.5
65,26,30,28.0
65,30,31,30.5
65,30,32,31.0
65,30,31,30.5
65,30,31,30.5
65,30,31,30.5
65,30,31,30.5
65,30,31,30.5
65,30,31,30.5
65,30,31,30.5
65,30,32,31.0
65,30,32,31.0
65,30,32,31.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,26,32,29.0
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,27,32,29.5
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,32,30.0
65,28,31,29.5
65,28,31,29.5
65,28,31,29.5
65,28,31,29.5
65,28,31,29.5
65,28,31,29.5
66,28,31,29.5
66,28,31,29.5
66,28,31,29.5
66,28,31,29.5
66,28,31,29.5
66,28,31,29.5
66,28,31,29.5
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,29,31,30.0
66,30,31,30.5
