ts_offset_sec,bid,ask,mid
0,24,27,25.5
0,24,27,25.5
0,24,27,25.5
0,24,27,25.5
0,24,27,25.5
5,24,27,25.5
5,24,27,25.5
5,24,27,25.5
6,24,27,25.5
6,24,27,25.5
6,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,27,25.5
7,24,26,25.0
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
8,24,25,24.5
9,24,25,24.5
9,24,25,24.5
9,24,25,24.5
9,24,25,24.5
9,24,25,24.5
9,24,25,24.5
9,24,25,24.5
9,24,25,24.5
10,24,25,24.5
12,24,25,24.5
13,24,25,24.5
13,24,25,24.5
13,24,25,24.5
13,24,25,24.5
14,24,25,24.5
14,24,25,24.5
14,24,25,24.5
14,24,25,24.5
14,24,25,24.5
14,24,25,24.5
14,24,25,24.5
14,24,25,24.5
15,24,25,24.5
15,24,25,24.5
15,24,25,24.5
16,24,25,24.5
18,24,25,24.5
19,24,25,24.5
21,24,25,24.5
21,24,25,24.5
21,24,25,24.5
23,24,25,24.5
23,24,25,24.5
23,24,25,24.5
23,24,25,24.5
24,24,25,24.5
24,24,25,24.5
24,24,25,24.5
24,24,25,24.5
26,24,25,24.5
26,24,25,24.5
26,24,25,24.5
29,24,25,24.5
29,24,25,24.5
29,24,25,24.5
29,24,25,24.5
30,24,25,24.5
30,24,25,24.5
30,24,25,24.5
30,21,25,23.0
30,21,25,23.0
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,24,22.5
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,21,25,23.0
30,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
31,20,25,22.5
32,20,25,22.5
32,20,25,22.5
32,20,25,22.5
32,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
33,20,25,22.5
40,20,25,22.5
41,20,25,22.5
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
41,21,25,23.0
42,21,25,23.0
42,21,25,23.0
42,21,25,23.0
42,21,25,23.0
42,21,25,23.0
42,21,25,23.0
42,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
43,21,25,23.0
44,21,25,23.0
44,21,25,23.0
44,21,25,23.0
44,21,25,23.0
45,21,25,23.0
45,21,25,23.0
45,21,25,23.0
45,21,24,22.5
45,21,24,22.5
45,21,24,22.5
45,21,24,22.5
45,21,24,22.5
45,21,24,22.5
45,21,24,22.5
45,21,24,22.5
46,21,24,22.5
46,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,24,22.5
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,21,25,23.0
47,20,25,22.5
47,20,25,22.5
47,20,25,22.5
47,20,25,22.5
47,20,25,22.5
