ts_offset_sec,bid,ask,mid
0,38,39,38.5
11,38,39,38.5
11,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
16,38,39,38.5
16,38,39,38.5
17,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
19,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,39,38.5
22,38,41,39.5
22,38,40,39.0
23,38,40,39.0
23,38,40,39.0
23,38,40,39.0
23,38,40,39.0
23,38,40,39.0
23,39,40,39.5
23,39,40,39.5
23,39,40,39.5
23,39,40,39.5
23,39,40,39.5
23,39,40,39.5
