ts_offset_sec,bid,ask,mid
0,71,73,72.0
0,71,73,72.0
0,71,73,72.0
0,71,73,72.0
3,71,73,72.0
3,71,73,72.0
4,71,73,72.0
4,71,73,72.0
4,71,73,72.0
4,71,73,72.0
4,71,73,72.0
4,71,73,72.0
4,71,73,72.0
5,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,73,72.0
7,71,73,72.0
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
8,71,74,72.5
8,71,74,72.5
10,71,74,72.5
10,71,74,72.5
10,71,74,72.5
10,71,74,72.5
11,71,74,72.5
11,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
13,71,74,72.5
13,71,74,72.5
13,71,74,72.5
13,71,74,72.5
15,71,74,72.5
15,71,74,72.5
15,71,74,72.5
15,71,74,72.5
15,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
16,71,74,72.5
17,71,74,72.5
18,71,74,72.5
18,71,74,72.5
19,71,74,72.5
19,71,74,72.5
19,71,74,72.5
19,71,74,72.5
19,71,74,72.5
19,71,74,72.5
19,71,74,72.5
20,71,74,72.5
20,71,74,72.5
20,71,74,72.5
20,71,74,72.5
21,71,74,72.5
21,71,74,72.5
21,71,74,72.5
21,71,74,72.5
22,71,74,72.5
22,71,74,72.5
22,71,74,72.5
22,71,74,72.5
22,71,74,72.5
22,71,74,72.5
22,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,76,73.5
30,71,77,74.0
31,71,77,74.0
31,71,77,74.0
31,71,77,74.0
31,71,77,74.0
31,71,77,74.0
31,71,77,74.0
31,71,77,74.0
31,72,77,74.5
31,72,77,74.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
31,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,79,75.5
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,72,78,75.0
32,73,78,75.5
32,73,78,75.5
32,73,78,75.5
32,73,78,75.5
32,73,79,76.0
32,73,78,75.5
32,73,78,75.5
32,73,78,75.5
33,73,78,75.5
33,73,78,75.5
33,73,78,75.5
33,73,78,75.5
