ts_offset_sec,bid,ask,mid
0,58,61,59.5
0,58,61,59.5
0,58,61,59.5
0,58,61,59.5
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,60,59.0
0,58,61,59.5
0,58,61,59.5
1,58,61,59.5
1,58,62,60.0
1,58,62,60.0
1,58,62,60.0
1,58,61,59.5
1,58,61,59.5
1,58,61,59.5
1,58,61,59.5
1,58,61,59.5
1,58,61,59.5
2,58,61,59.5
2,58,61,59.5
2,58,61,59.5
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
2,59,61,60.0
3,59,61,60.0
4,59,62,60.5
4,59,62,60.5
5,59,61,60.0
5,59,61,60.0
5,59,61,60.0
5,59,61,60.0
5,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,61,60.0
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,59,62,60.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,61,59.5
6,58,63,60.5
6,58,63,60.5
6,58,63,60.5
6,58,63,60.5
7,58,63,60.5
7,58,62,60.0
7,58,62,60.0
7,58,62,60.0
7,58,62,60.0
7,58,62,60.0
7,58,62,60.0
7,58,61,59.5
7,58,62,60.0
7,58,62,60.0
7,58,62,60.0
8,58,62,60.0
8,58,62,60.0
8,58,61,59.5
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,62,60.0
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
9,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
10,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,61,59.5
11,58,65,61.5
11,58,64,61.0
11,58,64,61.0
11,58,64,61.0
11,58,64,61.0
11,58,63,60.5
11,58,63,60.5
11,58,63,60.5
