ts_offset_sec,bid,ask,mid
0,58,61,59.5
0,58,61,59.5
0,58,61,59.5
1,58,61,59.5
1,58,61,59.5
2,58,61,59.5
4,58,61,59.5
5,58,61,59.5
12,58,61,59.5
15,58,61,59.5
15,58,61,59.5
18,58,61,59.5
18,58,61,59.5
18,60,61,60.5
18,60,61,60.5
18,60,61,60.5
19,60,61,60.5
19,60,61,60.5
19,60,61,60.5
21,60,61,60.5
21,60,61,60.5
21,60,61,60.5
21,60,61,60.5
21,60,61,60.5
21,60,61,60.5
21,60,62,61.0
21,60,62,61.0
21,60,62,61.0
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,64,62.0
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
21,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,63,61.5
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
22,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
23,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
24,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
25,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
26,60,62,61.0
27,60,62,61.0
27,56,62,59.0
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
27,57,62,59.5
28,57,62,59.5
28,57,62,59.5
28,57,62,59.5
28,57,62,59.5
28,57,62,59.5
28,54,62,58.0
28,54,62,58.0
28,54,62,58.0
28,54,62,58.0
28,54,62,58.0
28,55,62,58.5
28,55,62,58.5
28,55,62,58.5
28,55,61,58.0
28,55,61,58.0
28,55,60,57.5
28,55,60,57.5
28,55,60,57.5
28,54,60,57.0
28,54,60,57.0
28,54,60,57.0
29,54,60,57.0
29,54,60,57.0
29,55,59,57.0
29,55,59,57.0
29,55,59,57.0
29,54,59,56.5
29,54,59,56.5
29,54,60,57.0
