ts_offset_sec,bid,ask,mid
0,69,73,71.0
0,69,73,71.0
2,69,73,71.0
2,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
3,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,73,71.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,69,75,72.0
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,74,72.0
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,70,75,72.5
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,71,75,73.0
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
4,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
5,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,75,73.5
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,74,73.0
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
7,72,73,72.5
7,72,73,72.5
7,72,73,72.5
7,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
8,72,73,72.5
9,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
10,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
12,72,73,72.5
13,72,73,72.5
14,72,73,72.5
14,72,73,72.5
14,72,73,72.5
14,72,73,72.5
14,72,73,72.5
14,72,73,72.5
15,72,73,72.5
16,72,73,72.5
16,72,73,72.5
17,72,73,72.5
18,72,73,72.5
18,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
22,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,74,73.0
25,72,75,73.5
25,72,75,73.5
25,72,75,73.5
25,72,75,73.5
25,72,75,73.5
25,72,75,73.5
25,72,75,73.5
25,72,75,73.5
25,69,75,72.0
25,69,75,72.0
25,69,75,72.0
25,69,75,72.0
25,69,75,72.0
25,69,76,72.5
25,69,76,72.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,74,71.5
26,69,76,72.5
26,69,75,72.0
26,69,75,72.0
26,69,75,72.0
