ts_offset_sec,bid,ask,mid
0,82,83,82.5
0,82,83,82.5
18,82,83,82.5
34,82,83,82.5
35,82,83,82.5
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,80,82,81.0
36,78,82,80.0
36,78,82,80.0
36,78,82,80.0
36,78,82,80.0
37,78,82,80.0
38,78,82,80.0
38,78,81,79.5
38,78,81,79.5
42,78,81,79.5
42,78,81,79.5
43,78,81,79.5
48,78,81,79.5
70,78,81,79.5
162,78,81,79.5
181,78,81,79.5
181,78,81,79.5
186,78,81,79.5
218,78,81,79.5
256,78,81,79.5
341,78,81,79.5
367,78,81,79.5
390,78,81,79.5
404,78,81,79.5
435,78,81,79.5
442,78,81,79.5
547,78,81,79.5
547,78,81,79.5
552,78,81,79.5
590,78,81,79.5
611,78,81,79.5
612,78,81,79.5
612,78,81,79.5
629,78,81,79.5
629,78,81,79.5
630,78,81,79.5
656,78,81,79.5
656,78,81,79.5
657,78,81,79.5
665,78,81,79.5
665,78,81,79.5
665,78,81,79.5
744,78,81,79.5
774,78,81,79.5
774,78,81,79.5
775,78,81,79.5
776,78,81,79.5
776,78,81,79.5
811,78,81,79.5
811,78,81,79.5
812,78,81,79.5
846,78,81,79.5
847,78,81,79.5
847,78,81,79.5
885,78,81,79.5
885,78,81,79.5
886,78,81,79.5
887,78,81,79.5
957,78,81,79.5
958,78,81,79.5
959,78,81,79.5
959,78,81,79.5
959,78,81,79.5
970,78,81,79.5
971,78,81,79.5
971,78,81,79.5
971,78,81,79.5
971,78,81,79.5
971,78,81,79.5
971,78,81,79.5
997,78,81,79.5
998,78,81,79.5
998,78,81,79.5
1024,78,81,79.5
1025,78,81,79.5
1041,78,81,79.5
1041,78,81,79.5
1041,78,81,79.5
1042,78,81,79.5
1073,78,81,79.5
1073,78,81,79.5
1090,78,81,79.5
1090,78,81,79.5
1090,78,81,79.5
1091,78,81,79.5
1113,78,81,79.5
1113,78,81,79.5
1113,78,81,79.5
1192,78,81,79.5
1192,78,81,79.5
1192,78,81,79.5
1193,78,81,79.5
1243,78,81,79.5
1260,78,81,79.5
1260,78,81,79.5
1261,78,81,79.5
1290,78,81,79.5
1290,78,81,79.5
1291,78,81,79.5
1324,78,81,79.5
1324,78,81,79.5
1324,78,81,79.5
1325,78,81,79.5
1383,78,81,79.5
1396,78,81,79.5
1412,78,81,79.5
1412,78,81,79.5
1413,78,81,79.5
1415,78,81,79.5
1426,78,81,79.5
1427,78,81,79.5
1427,78,81,79.5
1427,78,81,79.5
1461,78,81,79.5
1476,78,81,79.5
1496,78,81,79.5
1497,78,81,79.5
1497,78,81,79.5
1498,78,81,79.5
1530,78,81,79.5
1530,78,81,79.5
1531,78,81,79.5
1533,78,81,79.5
1533,78,81,79.5
1533,78,81,79.5
1568,78,81,79.5
1615,78,81,79.5
1617,78,81,79.5
1617,78,81,79.5
1639,78,81,79.5
1639,78,81,79.5
1646,78,81,79.5
1646,78,81,79.5
1681,78,81,79.5
1681,78,81,79.5
1721,78,81,79.5
1721,78,81,79.5
1757,78,81,79.5
1757,78,81,79.5
1757,78,81,79.5
1757,78,81,79.5
1757,78,81,79.5
1796,78,81,79.5
1796,78,81,79.5
1797,78,81,79.5
1797,78,81,79.5
1837,78,81,79.5
1837,78,81,79.5
1874,78,81,79.5
1874,78,81,79.5
1874,78,81,79.5
1910,78,81,79.5
1911,78,81,79.5
1929,78,81,79.5
1950,78,81,79.5
1986,78,81,79.5
1986,78,81,79.5
2024,78,81,79.5
2062,78,81,79.5
2062,78,81,79.5
2062,78,81,79.5
2088,78,81,79.5
2088,78,81,79.5
2100,78,81,79.5
2100,78,81,79.5
2102,78,81,79.5
2102,78,81,79.5
2117,78,81,79.5
2131,78,81,79.5
2131,78,81,79.5
2137,78,81,79.5
2137,78,81,79.5
2177,78,81,79.5
2177,78,81,79.5
2177,78,81,79.5
2177,78,81,79.5
2178,78,81,79.5
2190,78,81,79.5
2190,78,81,79.5
2207,78,81,79.5
2207,78,81,79.5
2283,78,81,79.5
2283,78,81,79.5
2284,78,81,79.5
2284,78,81,79.5
