ts_offset_sec,bid,ask,mid
0,57,67,62.0
1,57,77,67.0
1,57,77,67.0
1,57,76,66.5
1,57,76,66.5
1,57,75,66.0
1,57,75,66.0
1,57,74,65.5
1,57,74,65.5
1,57,73,65.0
1,57,73,65.0
1,57,72,64.5
1,57,72,64.5
1,57,71,64.0
1,57,71,64.0
1,57,70,63.5
1,57,70,63.5
1,57,69,63.0
2,57,69,63.0
2,57,68,62.5
2,57,68,62.5
2,57,67,62.0
2,57,67,62.0
2,57,77,67.0
2,57,77,67.0
2,57,76,66.5
2,57,76,66.5
2,57,75,66.0
2,57,75,66.0
2,57,74,65.5
2,57,74,65.5
2,57,73,65.0
3,57,73,65.0
3,57,72,64.5
3,57,72,64.5
3,57,71,64.0
3,57,71,64.0
3,57,70,63.5
3,57,70,63.5
3,57,69,63.0
3,57,69,63.0
3,57,68,62.5
3,57,68,62.5
3,57,67,62.0
3,57,67,62.0
4,57,77,67.0
4,57,77,67.0
4,57,76,66.5
4,57,76,66.5
4,57,75,66.0
4,57,75,66.0
4,57,74,65.5
4,57,74,65.5
4,57,73,65.0
4,57,73,65.0
4,57,72,64.5
4,57,72,64.5
4,57,71,64.0
4,57,71,64.0
4,57,70,63.5
4,57,70,63.5
4,57,69,63.0
4,57,69,63.0
4,57,68,62.5
4,57,68,62.5
4,57,67,62.0
4,57,67,62.0
4,57,77,67.0
4,57,77,67.0
5,57,76,66.5
5,57,76,66.5
5,57,75,66.0
5,57,75,66.0
5,57,74,65.5
5,57,74,65.5
5,57,73,65.0
5,57,73,65.0
5,57,72,64.5
5,57,72,64.5
5,57,71,64.0
5,57,71,64.0
5,57,70,63.5
5,57,70,63.5
5,57,69,63.0
5,57,69,63.0
5,57,68,62.5
5,57,68,62.5
5,57,67,62.0
5,57,67,62.0
5,57,77,67.0
5,57,77,67.0
5,57,76,66.5
6,57,76,66.5
6,57,75,66.0
6,57,75,66.0
6,57,74,65.5
6,57,74,65.5
6,57,73,65.0
6,57,73,65.0
6,57,72,64.5
6,57,72,64.5
6,57,71,64.0
6,57,71,64.0
6,57,70,63.5
6,57,70,63.5
6,57,69,63.0
6,57,69,63.0
6,57,68,62.5
6,57,68,62.5
6,57,67,62.0
6,57,67,62.0
6,57,77,67.0
6,57,77,67.0
7,57,76,66.5
7,57,76,66.5
7,57,75,66.0
7,57,75,66.0
7,57,74,65.5
7,57,74,65.5
7,57,73,65.0
7,57,73,65.0
7,57,72,64.5
7,57,72,64.5
7,57,71,64.0
7,57,71,64.0
7,57,70,63.5
7,57,70,63.5
7,57,69,63.0
7,57,69,63.0
7,57,68,62.5
7,57,68,62.5
7,57,67,62.0
7,57,67,62.0
7,57,77,67.0
7,57,77,67.0
7,57,76,66.5
7,57,76,66.5
7,57,75,66.0
7,57,75,66.0
7,57,74,65.5
7,57,74,65.5
7,57,73,65.0
7,57,73,65.0
7,57,72,64.5
7,57,72,64.5
7,57,71,64.0
8,57,71,64.0
8,57,70,63.5
8,57,70,63.5
8,57,69,63.0
8,57,69,63.0
8,57,68,62.5
8,57,68,62.5
8,57,67,62.0
8,57,67,62.0
8,57,77,67.0
8,57,77,67.0
8,57,76,66.5
8,57,76,66.5
8,57,75,66.0
8,57,75,66.0
8,57,74,65.5
8,57,74,65.5
8,57,73,65.0
8,57,73,65.0
8,57,72,64.5
8,57,72,64.5
8,57,71,64.0
8,57,71,64.0
8,57,70,63.5
8,57,70,63.5
8,57,69,63.0
8,57,69,63.0
8,57,68,62.5
8,57,68,62.5
8,57,67,62.0
8,57,67,62.0
9,57,77,67.0
9,57,77,67.0
9,57,76,66.5
9,57,76,66.5
9,57,75,66.0
9,57,75,66.0
9,57,74,65.5
9,57,74,65.5
9,57,73,65.0
9,57,73,65.0
9,57,72,64.5
9,57,72,64.5
9,57,71,64.0
9,57,71,64.0
9,57,70,63.5
9,57,70,63.5
9,57,69,63.0
9,57,69,63.0
9,57,68,62.5
9,57,68,62.5
9,57,67,62.0
9,57,67,62.0
9,57,77,67.0
9,57,77,67.0
