ts_offset_sec,bid,ask,mid
0,38,39,38.5
0,38,39,38.5
0,38,39,38.5
0,38,39,38.5
1,38,39,38.5
1,38,39,38.5
1,38,39,38.5
1,38,39,38.5
1,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,38,39,38.5
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
3,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
4,35,39,37.0
4,35,39,37.0
4,35,39,37.0
4,35,38,36.5
4,35,38,36.5
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,39,38.0
4,37,39,38.0
4,37,39,38.0
5,37,39,38.0
5,37,39,38.0
5,37,39,38.0
5,37,39,38.0
6,37,39,38.0
6,37,39,38.0
6,37,39,38.0
6,37,39,38.0
6,37,39,38.0
6,35,39,37.0
6,35,39,37.0
6,35,39,37.0
6,35,39,37.0
6,35,39,37.0
6,35,38,36.5
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,37,38,37.5
6,37,38,37.5
7,37,38,37.5
7,37,38,37.5
7,37,38,37.5
7,37,39,38.0
7,37,39,38.0
7,37,39,38.0
8,37,39,38.0
8,37,39,38.0
9,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
10,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
11,37,39,38.0
16,37,39,38.0
16,37,39,38.0
16,37,39,38.0
16,37,39,38.0
16,37,39,38.0
16,37,39,38.0
16,35,39,37.0
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,36,39,37.5
17,37,39,38.0
17,37,39,38.0
17,37,39,38.0
17,37,39,38.0
17,37,39,38.0
17,37,39,38.0
18,37,39,38.0
21,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
22,37,39,38.0
23,37,39,38.0
23,37,39,38.0
24,37,39,38.0
26,37,39,38.0
26,37,39,38.0
26,37,39,38.0
26,37,39,38.0
26,37,39,38.0
26,37,39,38.0
26,35,39,37.0
26,35,39,37.0
26,35,39,37.0
26,35,39,37.0
26,35,39,37.0
26,35,39,37.0
26,36,38,37.0
26,36,38,37.0
26,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,36,38,37.0
27,37,38,37.5
27,37,38,37.5
27,37,38,37.5
27,37,38,37.5
27,37,39,38.0
27,37,39,38.0
27,37,39,38.0
27,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,37,39,38.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,35,38,36.5
28,36,38,37.0
28,36,38,37.0
28,36,38,37.0
28,36,38,37.0
28,36,38,37.0
28,36,38,37.0
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
29,33,38,35.5
30,33,38,35.5
30,33,38,35.5
31,33,38,35.5
31,34,38,36.0
31,34,38,36.0
31,34,38,36.0
31,34,38,36.0
31,34,38,36.0
31,35,38,36.5
31,35,38,36.5
31,35,38,36.5
31,35,38,36.5
31,35,38,36.5
32,35,38,36.5
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,36,38,37.0
32,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,33,38,35.5
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,34,38,36.0
33,35,38,36.5
33,35,38,36.5
33,35,38,36.5
33,35,38,36.5
33,35,38,36.5
33,32,38,35.0
34,32,38,35.0
34,32,38,35.0
34,33,38,35.5
34,33,38,35.5
34,33,38,35.5
34,35,38,36.5
34,35,38,36.5
34,35,38,36.5
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
34,36,38,37.0
36,36,38,37.0
36,36,38,37.0
36,36,38,37.0
37,36,38,37.0
37,36,38,37.0
37,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,36,38,37.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,33,38,35.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,31,38,34.5
38,32,38,35.0
38,32,38,35.0
38,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,32,38,35.0
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,33,38,35.5
39,34,38,36.0
40,34,38,36.0
40,34,38,36.0
40,34,38,36.0
40,34,38,36.0
40,34,38,36.0
40,35,38,36.5
40,35,38,36.5
40,32,38,35.0
40,35,38,36.5
40,35,38,36.5
40,36,38,37.0
40,32,38,35.0
41,32,38,35.0
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
41,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
42,31,38,34.5
