ts_offset_sec,bid,ask,mid
0,70,72,71.0
0,70,72,71.0
0,70,72,71.0
0,70,72,71.0
2,71,72,71.5
2,71,73,72.0
2,71,73,72.0
2,71,73,72.0
2,71,73,72.0
2,69,73,71.0
2,70,73,71.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,71,73,72.0
2,71,73,72.0
2,71,73,72.0
2,71,73,72.0
2,71,73,72.0
2,71,73,72.0
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
4,72,73,72.5
4,72,73,72.5
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
4,72,74,73.0
5,72,74,73.0
5,72,74,73.0
6,72,74,73.0
6,72,74,73.0
7,72,74,73.0
7,72,74,73.0
7,72,74,73.0
7,72,74,73.0
8,72,74,73.0
8,72,74,73.0
8,72,74,73.0
8,72,74,73.0
8,70,74,72.0
8,70,74,72.0
8,70,74,72.0
8,70,74,72.0
8,70,73,71.5
8,71,73,72.0
8,71,73,72.0
8,71,73,72.0
8,71,73,72.0
8,71,73,72.0
8,71,73,72.0
8,69,73,71.0
8,69,73,71.0
8,69,73,71.0
8,70,73,71.5
8,70,73,71.5
8,70,73,71.5
9,70,73,71.5
9,70,73,71.5
9,70,73,71.5
9,70,73,71.5
9,70,73,71.5
9,70,73,71.5
11,70,73,71.5
12,70,73,71.5
13,70,73,71.5
13,70,72,71.0
13,70,72,71.0
13,70,72,71.0
13,70,72,71.0
13,70,72,71.0
13,70,72,71.0
13,70,72,71.0
14,70,72,71.0
14,70,72,71.0
18,70,72,71.0
20,70,72,71.0
20,70,72,71.0
21,70,72,71.0
21,70,72,71.0
21,70,72,71.0
21,70,72,71.0
21,70,72,71.0
21,71,72,71.5
21,71,72,71.5
21,71,72,71.5
21,71,72,71.5
21,71,72,71.5
21,71,72,71.5
21,71,72,71.5
21,70,72,71.0
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,71,73,72.0
21,71,73,72.0
21,71,73,72.0
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,72,74,73.0
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,73,74,73.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,73,75,74.0
22,74,75,74.5
22,74,75,74.5
22,73,75,74.0
22,73,75,74.0
22,73,75,74.0
22,73,75,74.0
22,73,75,74.0
22,73,75,74.0
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
22,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
23,74,75,74.5
24,74,75,74.5
24,74,75,74.5
25,74,75,74.5
26,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
30,74,75,74.5
32,74,75,74.5
32,74,75,74.5
33,74,75,74.5
34,74,75,74.5
35,74,75,74.5
35,74,75,74.5
38,74,75,74.5
41,74,75,74.5
43,74,75,74.5
46,74,75,74.5
46,74,75,74.5
47,74,75,74.5
47,74,75,74.5
47,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,75,74.5
48,74,76,75.0
48,74,76,75.0
48,74,76,75.0
48,74,76,75.0
48,74,76,75.0
48,74,76,75.0
48,71,76,73.5
48,71,76,73.5
48,71,76,73.5
48,71,76,73.5
48,71,76,73.5
48,71,76,73.5
48,71,76,73.5
48,71,76,73.5
48,72,76,74.0
48,72,76,74.0
48,72,76,74.0
48,72,76,74.0
48,72,76,74.0
48,72,76,74.0
48,72,76,74.0
48,72,76,74.0
48,72,75,73.5
48,72,75,73.5
48,72,75,73.5
48,72,75,73.5
48,71,75,73.0
48,71,75,73.0
48,71,75,73.0
48,71,75,73.0
48,72,75,73.5
48,72,75,73.5
