ts_offset_sec,bid,ask,mid
0,25,29,27.0
0,25,29,27.0
0,25,29,27.0
0,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
1,25,29,27.0
2,25,29,27.0
2,25,29,27.0
2,25,29,27.0
2,25,29,27.0
2,25,29,27.0
2,25,29,27.0
3,25,29,27.0
3,25,29,27.0
3,25,29,27.0
3,25,29,27.0
3,25,29,27.0
4,25,29,27.0
4,25,29,27.0
4,25,29,27.0
4,25,29,27.0
4,25,29,27.0
5,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
6,25,29,27.0
7,25,29,27.0
7,25,29,27.0
7,25,29,27.0
7,25,29,27.0
8,25,29,27.0
8,25,29,27.0
8,25,29,27.0
9,25,29,27.0
9,25,29,27.0
10,25,29,27.0
10,25,29,27.0
10,25,29,27.0
10,25,29,27.0
10,25,29,27.0
10,25,29,27.0
10,25,29,27.0
10,25,29,27.0
11,25,29,27.0
11,25,29,27.0
11,25,29,27.0
11,25,29,27.0
11,25,29,27.0
11,25,29,27.0
12,25,29,27.0
12,25,29,27.0
12,25,29,27.0
12,25,29,27.0
12,25,29,27.0
13,25,29,27.0
13,25,29,27.0
14,25,29,27.0
14,25,29,27.0
14,25,29,27.0
15,25,29,27.0
15,25,29,27.0
15,25,29,27.0
16,25,29,27.0
16,25,29,27.0
16,25,29,27.0
17,25,29,27.0
17,25,29,27.0
17,25,29,27.0
17,25,29,27.0
17,25,29,27.0
17,25,29,27.0
18,25,29,27.0
18,25,29,27.0
18,25,29,27.0
18,25,29,27.0
19,25,29,27.0
19,25,29,27.0
19,25,29,27.0
20,25,29,27.0
20,25,29,27.0
20,25,29,27.0
21,25,29,27.0
21,25,29,27.0
21,25,29,27.0
21,25,29,27.0
21,25,29,27.0
21,25,29,27.0
21,25,29,27.0
22,25,29,27.0
23,25,29,27.0
23,25,29,27.0
24,25,29,27.0
24,25,29,27.0
24,25,29,27.0
24,25,29,27.0
24,25,29,27.0
25,25,29,27.0
25,25,29,27.0
25,25,29,27.0
25,25,29,27.0
25,25,29,27.0
26,25,29,27.0
26,25,29,27.0
26,25,29,27.0
27,25,29,27.0
27,25,29,27.0
28,25,29,27.0
28,25,29,27.0
28,25,29,27.0
28,25,29,27.0
28,25,29,27.0
28,25,29,27.0
28,25,29,27.0
29,25,29,27.0
29,25,29,27.0
29,25,29,27.0
29,25,29,27.0
29,25,29,27.0
29,25,29,27.0
29,25,29,27.0
30,25,29,27.0
30,25,29,27.0
30,24,29,26.5
30,24,29,26.5
30,24,29,26.5
30,24,29,26.5
30,24,29,26.5
30,20,29,24.5
30,20,29,24.5
30,20,29,24.5
30,19,29,24.0
30,18,29,23.5
30,18,28,23.0
30,18,28,23.0
30,18,28,23.0
31,18,28,23.0
31,21,29,25.0
31,21,29,25.0
31,22,29,25.5
31,22,29,25.5
31,22,29,25.5
31,18,29,23.5
31,11,29,20.0
31,11,29,20.0
31,12,29,20.5
31,13,29,21.0
32,13,29,21.0
32,13,27,20.0
32,13,27,20.0
32,14,27,20.5
32,14,27,20.5
32,14,27,20.5
32,14,27,20.5
32,14,27,20.5
32,14,29,21.5
32,14,26,20.0
32,14,26,20.0
32,14,26,20.0
32,14,26,20.0
32,14,26,20.0
32,14,26,20.0
32,14,26,20.0
32,14,26,20.0
33,14,26,20.0
33,15,26,20.5
33,15,26,20.5
33,15,26,20.5
33,15,26,20.5
33,15,25,20.0
33,15,25,20.0
33,15,25,20.0
33,16,25,20.5
33,16,25,20.5
33,16,25,20.5
34,16,24,20.0
34,16,24,20.0
34,16,24,20.0
34,16,24,20.0
34,16,24,20.0
34,16,24,20.0
34,16,24,20.0
34,16,24,20.0
34,16,23,19.5
34,16,24,20.0
34,16,23,19.5
34,16,28,22.0
34,16,28,22.0
34,16,28,22.0
35,16,28,22.0
35,16,28,22.0
35,16,28,22.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
35,24,28,26.0
36,24,28,26.0
36,24,28,26.0
36,24,28,26.0
36,24,28,26.0
36,24,28,26.0
37,24,28,26.0
38,24,28,26.0
38,24,28,26.0
38,24,28,26.0
38,24,28,26.0
38,24,28,26.0
38,24,28,26.0
38,24,28,26.0
39,24,28,26.0
39,24,28,26.0
39,24,28,26.0
39,24,28,26.0
39,24,28,26.0
39,24,28,26.0
39,24,28,26.0
39,24,28,26.0
40,24,28,26.0
40,24,28,26.0
40,24,28,26.0
40,24,28,26.0
40,24,28,26.0
41,24,28,26.0
41,24,28,26.0
41,24,28,26.0
41,24,28,26.0
41,24,28,26.0
41,24,28,26.0
42,24,28,26.0
42,24,28,26.0
42,24,28,26.0
42,24,28,26.0
42,24,28,26.0
42,24,28,26.0
42,24,28,26.0
43,23,28,25.5
43,23,28,25.5
43,19,28,23.5
43,19,28,23.5
43,19,28,23.5
43,19,28,23.5
43,19,27,23.0
43,19,27,23.0
43,19,27,23.0
43,19,27,23.0
43,19,27,23.0
43,17,27,22.0
43,17,27,22.0
43,17,28,22.5
43,17,28,22.5
43,17,28,22.5
44,18,26,22.0
44,17,28,22.5
44,17,28,22.5
44,17,28,22.5
44,18,28,23.0
44,19,28,23.5
45,19,28,23.5
45,19,28,23.5
45,12,28,20.0
45,12,28,20.0
45,14,28,21.0
45,14,28,21.0
45,14,25,19.5
45,14,25,19.5
45,14,28,21.0
45,14,28,21.0
45,14,28,21.0
45,14,28,21.0
45,15,28,21.5
46,15,24,19.5
46,15,24,19.5
46,15,24,19.5
46,16,24,20.0
46,16,24,20.0
46,15,24,19.5
46,15,24,19.5
46,15,24,19.5
46,16,24,20.0
46,14,29,21.5
46,15,29,22.0
46,15,29,22.0
46,15,23,19.0
46,15,23,19.0
46,15,23,19.0
46,15,23,19.0
46,15,23,19.0
46,14,23,18.5
46,12,23,17.5
46,12,23,17.5
46,12,23,17.5
46,16,23,19.5
46,16,23,19.5
47,16,23,19.5
47,16,23,19.5
47,16,28,22.0
47,16,28,22.0
47,16,28,22.0
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
47,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
48,17,28,22.5
49,17,28,22.5
49,17,27,22.0
49,17,27,22.0
49,17,27,22.0
49,16,27,21.5
49,16,27,21.5
49,16,27,21.5
49,16,27,21.5
49,16,27,21.5
49,16,27,21.5
49,16,26,21.0
50,16,26,21.0
50,16,26,21.0
50,16,26,21.0
50,16,26,21.0
50,16,27,21.5
50,16,27,21.5
50,16,27,21.5
50,16,27,21.5
50,16,27,21.5
50,16,27,21.5
50,16,27,21.5
50,16,27,21.5
50,17,28,22.5
50,17,28,22.5
50,17,28,22.5
51,17,28,22.5
51,17,28,22.5
51,16,28,22.0
51,16,28,22.0
51,16,28,22.0
51,16,25,20.5
51,16,25,20.5
51,16,25,20.5
51,17,25,21.0
51,17,25,21.0
51,17,25,21.0
51,17,25,21.0
51,17,25,21.0
51,17,25,21.0
51,17,25,21.0
52,17,24,20.5
52,18,24,21.0
52,18,24,21.0
52,17,24,20.5
52,17,24,20.5
52,17,24,20.5
52,17,23,20.0
52,17,23,20.0
52,17,23,20.0
52,17,23,20.0
52,17,23,20.0
52,17,23,20.0
52,17,25,21.0
52,17,25,21.0
52,17,25,21.0
52,17,25,21.0
52,17,25,21.0
52,25,28,26.5
52,25,28,26.5
52,25,28,26.5
52,25,28,26.5
52,25,28,26.5
52,25,28,26.5
52,25,28,26.5
52,25,28,26.5
53,25,28,26.5
53,25,28,26.5
53,25,28,26.5
53,25,28,26.5
53,25,28,26.5
53,25,28,26.5
53,25,28,26.5
53,25,29,27.0
53,25,28,26.5
53,25,29,27.0
53,25,29,27.0
53,25,29,27.0
53,25,29,27.0
53,25,29,27.0
53,25,29,27.0
54,25,29,27.0
54,25,29,27.0
54,25,28,26.5
54,25,28,26.5
54,25,28,26.5
55,25,28,26.5
55,25,28,26.5
55,25,28,26.5
55,25,28,26.5
55,25,28,26.5
56,25,28,26.5
56,25,28,26.5
56,25,28,26.5
56,25,28,26.5
57,25,28,26.5
57,25,28,26.5
58,25,28,26.5
58,25,28,26.5
58,25,28,26.5
58,25,28,26.5
58,25,28,26.5
58,25,28,26.5
58,25,28,26.5
59,25,28,26.5
60,25,28,26.5
60,25,28,26.5
60,25,28,26.5
60,25,28,26.5
60,19,28,23.5
60,19,28,23.5
61,19,28,23.5
61,19,28,23.5
61,19,28,23.5
61,19,28,23.5
61,20,28,24.0
61,20,28,24.0
61,20,27,23.5
61,20,27,23.5
61,20,27,23.5
61,20,27,23.5
61,20,27,23.5
61,20,27,23.5
61,20,27,23.5
61,20,27,23.5
61,19,27,23.0
61,19,27,23.0
61,19,27,23.0
61,19,27,23.0
61,19,27,23.0
61,19,27,23.0
61,19,27,23.0
61,15,27,21.0
61,15,27,21.0
62,15,27,21.0
62,15,27,21.0
62,15,27,21.0
62,16,27,21.5
62,16,27,21.5
62,16,27,21.5
62,17,27,22.0
62,17,27,22.0
62,17,27,22.0
62,17,27,22.0
63,17,27,22.0
63,18,27,22.5
63,18,27,22.5
63,19,27,23.0
63,19,27,23.0
63,19,27,23.0
64,19,27,23.0
64,19,27,23.0
64,19,27,23.0
64,19,27,23.0
64,21,27,24.0
64,21,27,24.0
64,21,26,23.5
64,19,26,22.5
64,21,26,23.5
64,21,26,23.5
64,19,26,22.5
64,19,26,22.5
65,19,26,22.5
65,19,26,22.5
65,19,26,22.5
65,19,26,22.5
65,19,26,22.5
65,19,26,22.5
65,19,26,22.5
65,19,26,22.5
66,19,26,22.5
66,19,26,22.5
66,19,26,22.5
66,14,26,20.0
66,14,26,20.0
66,14,26,20.0
66,14,26,20.0
66,14,26,20.0
66,14,26,20.0
66,16,26,21.0
66,16,26,21.0
66,16,26,21.0
66,16,26,21.0
67,16,26,21.0
67,16,26,21.0
67,20,26,23.0
67,20,26,23.0
67,20,26,23.0
67,20,26,23.0
67,20,25,22.5
67,20,25,22.5
67,20,25,22.5
68,20,25,22.5
68,20,26,23.0
68,25,26,25.5
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,27,26.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
68,25,29,27.0
69,25,28,26.5
69,25,28,26.5
69,25,28,26.5
69,25,28,26.5
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
69,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
70,25,29,27.0
71,25,29,27.0
71,25,29,27.0
71,25,29,27.0
71,25,29,27.0
71,25,29,27.0
71,25,28,26.5
71,25,28,26.5
71,25,28,26.5
72,25,28,26.5
72,25,28,26.5
72,25,28,26.5
72,25,28,26.5
72,25,29,27.0
72,25,28,26.5
72,25,28,26.5
72,25,28,26.5
72,25,28,26.5
72,25,28,26.5
73,25,28,26.5
73,25,28,26.5
73,25,28,26.5
73,25,28,26.5
73,25,28,26.5
73,25,29,27.0
73,25,29,27.0
73,25,29,27.0
73,25,29,27.0
74,25,29,27.0
74,25,29,27.0
74,25,29,27.0
75,25,29,27.0
76,25,29,27.0
76,25,29,27.0
76,25,29,27.0
78,25,28,26.5
79,25,28,26.5
79,25,28,26.5
93,25,28,26.5
112,25,28,26.5
112,25,28,26.5
116,25,28,26.5
116,25,28,26.5
116,25,28,26.5
116,25,28,26.5
126,26,28,27.0
126,26,28,27.0
131,26,28,27.0
131,25,28,26.5
131,25,28,26.5
137,25,28,26.5
137,25,28,26.5
143,25,28,26.5
156,25,28,26.5
156,26,28,27.0
156,26,28,27.0
157,26,28,27.0
157,26,28,27.0
157,26,29,27.5
158,26,29,27.5
161,26,29,27.5
161,26,29,27.5
161,26,29,27.5
161,25,29,27.0
161,25,29,27.0
161,25,29,27.0
161,25,29,27.0
161,25,29,27.0
161,25,29,27.0
162,25,29,27.0
162,25,29,27.0
162,25,29,27.0
163,25,29,27.0
164,25,29,27.0
164,25,29,27.0
179,25,29,27.0
180,26,29,27.5
180,26,29,27.5
181,26,29,27.5
181,26,29,27.5
182,26,29,27.5
182,26,29,27.5
182,26,29,27.5
183,26,29,27.5
183,26,29,27.5
183,26,29,27.5
183,26,29,27.5
183,26,29,27.5
184,26,29,27.5
184,25,29,27.0
184,25,29,27.0
184,25,29,27.0
184,25,29,27.0
184,25,29,27.0
184,25,29,27.0
184,25,29,27.0
185,25,29,27.0
185,25,29,27.0
185,25,29,27.0
185,25,29,27.0
185,25,29,27.0
185,25,29,27.0
185,25,29,27.0
186,25,29,27.0
186,25,29,27.0
186,25,29,27.0
186,25,29,27.0
187,25,29,27.0
187,25,29,27.0
187,25,29,27.0
188,25,29,27.0
188,25,29,27.0
188,25,29,27.0
188,25,29,27.0
188,25,29,27.0
189,25,29,27.0
189,25,29,27.0
189,25,29,27.0
189,25,29,27.0
189,25,29,27.0
189,25,29,27.0
189,25,29,27.0
190,25,29,27.0
190,25,29,27.0
190,25,29,27.0
190,25,29,27.0
190,25,29,27.0
190,25,29,27.0
190,25,29,27.0
191,25,29,27.0
191,25,29,27.0
191,25,29,27.0
191,25,29,27.0
192,25,29,27.0
193,25,29,27.0
193,25,29,27.0
193,25,29,27.0
193,25,29,27.0
193,25,29,27.0
193,25,29,27.0
193,25,29,27.0
193,25,29,27.0
194,25,29,27.0
194,25,29,27.0
194,25,29,27.0
196,25,29,27.0
196,25,29,27.0
198,25,29,27.0
198,25,29,27.0
199,25,29,27.0
201,25,29,27.0
221,25,29,27.0
221,25,29,27.0
221,25,29,27.0
221,25,29,27.0
222,25,29,27.0
222,25,29,27.0
222,25,29,27.0
222,25,29,27.0
223,25,29,27.0
223,25,29,27.0
224,25,29,27.0
224,25,29,27.0
224,25,29,27.0
224,25,29,27.0
224,25,29,27.0
225,25,29,27.0
225,25,29,27.0
226,25,29,27.0
226,25,29,27.0
226,25,29,27.0
226,25,29,27.0
226,25,29,27.0
227,25,29,27.0
227,25,29,27.0
228,25,29,27.0
228,25,29,27.0
228,25,29,27.0
228,25,29,27.0
229,25,29,27.0
229,25,29,27.0
229,25,29,27.0
230,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
231,25,29,27.0
232,25,29,27.0
233,25,29,27.0
233,25,29,27.0
233,25,29,27.0
234,25,29,27.0
234,25,29,27.0
235,25,29,27.0
236,25,29,27.0
236,25,29,27.0
237,25,29,27.0
237,25,29,27.0
238,25,29,27.0
239,25,29,27.0
239,25,29,27.0
239,25,29,27.0
240,25,29,27.0
240,25,29,27.0
241,25,29,27.0
241,25,29,27.0
241,25,29,27.0
241,25,29,27.0
241,25,29,27.0
241,25,29,27.0
242,25,29,27.0
242,25,29,27.0
243,25,29,27.0
243,25,29,27.0
243,25,29,27.0
244,25,29,27.0
244,25,29,27.0
246,25,29,27.0
248,25,29,27.0
248,25,29,27.0
248,25,29,27.0
249,25,29,27.0
250,25,29,27.0
250,25,29,27.0
251,25,29,27.0
251,25,29,27.0
251,25,29,27.0
251,25,29,27.0
251,25,29,27.0
251,25,29,27.0
252,25,29,27.0
252,25,29,27.0
253,25,29,27.0
253,25,29,27.0
253,25,29,27.0
253,25,29,27.0
253,25,29,27.0
254,25,29,27.0
254,25,29,27.0
254,25,29,27.0
254,25,29,27.0
254,25,29,27.0
254,25,29,27.0
254,25,29,27.0
255,25,29,27.0
255,25,29,27.0
255,25,29,27.0
255,25,29,27.0
256,25,29,27.0
258,25,29,27.0
258,25,29,27.0
288,25,29,27.0
317,25,29,27.0
317,25,29,27.0
317,25,29,27.0
317,25,29,27.0
317,25,29,27.0
317,25,29,27.0
346,25,29,27.0
347,25,29,27.0
347,25,29,27.0
347,25,29,27.0
347,25,29,27.0
348,25,29,27.0
349,25,29,27.0
349,25,29,27.0
353,25,29,27.0
