ts_offset_sec,bid,ask,mid
0,16,18,17.0
0,16,18,17.0
0,16,18,17.0
2,16,18,17.0
2,16,18,17.0
2,16,18,17.0
2,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
3,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
4,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
5,16,17,16.5
7,16,17,16.5
7,16,17,16.5
7,16,17,16.5
7,16,17,16.5
7,16,17,16.5
7,16,17,16.5
7,16,17,16.5
8,16,17,16.5
8,16,17,16.5
8,16,17,16.5
8,16,17,16.5
8,16,17,16.5
9,16,17,16.5
9,16,17,16.5
9,16,17,16.5
9,16,17,16.5
9,16,17,16.5
9,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
10,16,17,16.5
11,16,17,16.5
12,16,17,16.5
12,16,17,16.5
12,16,17,16.5
14,16,17,16.5
15,16,17,16.5
16,15,17,16.0
16,15,16,15.5
16,15,16,15.5
16,15,16,15.5
16,15,16,15.5
16,15,16,15.5
17,15,16,15.5
17,15,16,15.5
17,15,16,15.5
17,15,16,15.5
18,15,16,15.5
18,15,16,15.5
19,15,16,15.5
19,15,16,15.5
19,15,16,15.5
19,14,16,15.0
19,14,16,15.0
19,14,16,15.0
19,14,16,15.0
19,14,15,14.5
19,14,15,14.5
19,14,15,14.5
19,14,15,14.5
19,14,15,14.5
20,14,15,14.5
20,14,15,14.5
20,14,15,14.5
20,14,15,14.5
21,14,15,14.5
21,14,15,14.5
24,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,15,14.5
27,14,16,15.0
27,14,16,15.0
27,14,16,15.0
27,14,16,15.0
27,14,16,15.0
27,14,16,15.0
27,14,16,15.0
28,14,16,15.0
28,14,16,15.0
28,14,16,15.0
28,14,16,15.0
28,14,16,15.0
28,14,16,15.0
28,14,16,15.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,12,16,14.0
28,13,16,14.5
28,13,16,14.5
28,13,16,14.5
28,13,16,14.5
28,13,16,14.5
28,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
29,13,16,14.5
30,13,16,14.5
30,13,15,14.0
30,13,15,14.0
30,13,15,14.0
30,13,15,14.0
30,13,15,14.0
30,13,15,14.0
30,13,15,14.0
31,13,15,14.0
31,13,15,14.0
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,13,15,14.0
31,13,15,14.0
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
31,12,15,13.5
32,12,15,13.5
32,12,15,13.5
33,12,15,13.5
33,12,15,13.5
33,12,15,13.5
33,12,15,13.5
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
33,13,15,14.0
34,13,15,14.0
34,13,15,14.0
34,13,15,14.0
34,13,15,14.0
34,13,15,14.0
34,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
35,13,15,14.0
36,13,15,14.0
36,13,15,14.0
36,13,15,14.0
37,13,15,14.0
37,13,15,14.0
37,13,15,14.0
37,13,15,14.0
37,13,15,14.0
38,13,15,14.0
38,13,15,14.0
39,13,15,14.0
39,13,15,14.0
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,16,14.5
39,13,17,15.0
39,13,17,15.0
39,13,17,15.0
39,13,17,15.0
39,13,17,15.0
39,13,17,15.0
39,13,17,15.0
39,12,17,14.5
39,12,17,14.5
39,13,17,15.0
39,13,17,15.0
39,12,17,14.5
39,12,17,14.5
39,12,17,14.5
39,12,17,14.5
39,12,17,14.5
39,12,17,14.5
40,12,17,14.5
40,12,17,14.5
40,12,17,14.5
40,12,17,14.5
40,12,17,14.5
40,12,17,14.5
40,12,17,14.5
40,12,18,15.0
40,12,18,15.0
40,12,18,15.0
40,12,18,15.0
40,12,18,15.0
40,12,18,15.0
41,12,18,15.0
41,12,18,15.0
41,12,18,15.0
42,12,18,15.0
42,12,18,15.0
42,12,18,15.0
42,12,18,15.0
42,12,18,15.0
42,12,18,15.0
42,12,17,14.5
42,12,17,14.5
42,12,17,14.5
42,12,17,14.5
42,12,17,14.5
42,12,17,14.5
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,16,14.0
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
42,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
43,12,15,13.5
44,12,15,13.5
44,12,15,13.5
44,12,15,13.5
44,12,15,13.5
44,12,15,13.5
44,12,15,13.5
44,12,15,13.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
44,12,13,12.5
45,12,13,12.5
45,12,13,12.5
