ts_offset_sec,bid,ask,mid
0,28,38,33.0
0,28,38,33.0
0,28,37,32.5
0,28,36,32.0
0,28,36,32.0
1,28,34,31.0
1,28,34,31.0
1,28,43,35.5
1,28,43,35.5
1,28,43,35.5
2,28,42,35.0
2,28,42,35.0
2,28,41,34.5
2,28,41,34.5
3,28,40,34.0
3,28,38,33.0
3,28,38,33.0
4,28,37,32.5
4,28,36,32.0
4,28,36,32.0
4,28,34,31.0
4,28,34,31.0
5,28,34,31.0
5,28,43,35.5
5,28,43,35.5
5,28,42,35.0
5,28,42,35.0
5,28,41,34.5
6,28,41,34.5
6,28,40,34.0
6,28,38,33.0
6,28,38,33.0
6,28,37,32.5
7,28,37,32.5
7,28,36,32.0
7,28,34,31.0
7,28,34,31.0
8,28,34,31.0
8,28,43,35.5
8,28,43,35.5
8,28,42,35.0
8,28,42,35.0
9,28,40,34.0
9,28,40,34.0
9,28,40,34.0
9,28,39,33.5
9,28,38,33.0
9,28,37,32.5
10,28,36,32.0
10,28,36,32.0
10,28,34,31.0
10,28,34,31.0
11,28,43,35.5
11,28,44,36.0
11,28,33,30.5
11,28,33,30.5
11,28,43,35.5
12,28,42,35.0
12,28,42,35.0
12,28,41,34.5
12,28,40,34.0
13,28,39,33.5
13,28,39,33.5
13,28,38,33.0
13,28,37,32.5
13,28,36,32.0
14,28,35,31.5
14,28,35,31.5
14,28,35,31.5
14,28,43,35.5
15,28,41,34.5
15,28,41,34.5
15,28,41,34.5
15,28,40,34.0
15,28,39,33.5
15,28,38,33.0
16,28,37,32.5
16,28,37,32.5
16,28,35,31.5
16,28,35,31.5
17,28,43,35.5
17,28,43,35.5
17,28,42,35.0
17,28,41,34.5
17,28,41,34.5
17,28,40,34.0
18,28,39,33.5
18,28,39,33.5
18,28,38,33.0
18,28,38,33.0
18,28,37,32.5
18,28,37,32.5
18,28,37,32.5
19,28,35,31.5
19,28,35,31.5
19,28,35,31.5
19,28,35,31.5
19,28,43,35.5
19,28,43,35.5
20,28,42,35.0
20,28,42,35.0
20,28,42,35.0
20,28,41,34.5
20,28,40,34.0
20,28,40,34.0
21,28,39,33.5
21,28,38,33.0
21,28,38,33.0
21,28,36,32.0
21,28,36,32.0
21,28,36,32.0
21,28,35,31.5
22,28,34,31.0
22,28,34,31.0
22,28,35,31.5
22,28,43,35.5
22,28,42,35.0
23,28,41,34.5
23,28,40,34.0
23,28,39,33.5
23,28,39,33.5
23,28,38,33.0
24,28,37,32.5
24,28,36,32.0
24,28,35,31.5
24,28,35,31.5
25,28,43,35.5
25,28,43,35.5
25,28,41,34.5
25,28,41,34.5
25,28,41,34.5
25,28,40,34.0
26,28,39,33.5
26,28,38,33.0
26,28,37,32.5
26,28,37,32.5
26,28,36,32.0
27,28,36,32.0
27,28,36,32.0
27,28,36,32.0
27,28,35,31.5
