ts_offset_sec,bid,ask,mid
0,66,67,66.5
0,66,67,66.5
1,66,67,66.5
1,66,67,66.5
2,66,67,66.5
2,66,67,66.5
2,66,67,66.5
3,66,67,66.5
3,66,67,66.5
3,66,67,66.5
4,66,67,66.5
4,66,67,66.5
4,66,67,66.5
4,66,67,66.5
4,66,67,66.5
4,66,67,66.5
5,66,67,66.5
6,66,67,66.5
6,66,67,66.5
7,66,67,66.5
7,66,67,66.5
7,66,67,66.5
8,66,67,66.5
8,66,67,66.5
8,66,67,66.5
8,66,67,66.5
9,66,67,66.5
9,66,67,66.5
9,66,67,66.5
9,66,67,66.5
9,66,67,66.5
10,66,67,66.5
10,66,67,66.5
10,66,67,66.5
10,66,67,66.5
10,66,67,66.5
10,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
11,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
12,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
13,66,67,66.5
14,66,67,66.5
14,66,67,66.5
14,66,67,66.5
15,66,67,66.5
16,66,67,66.5
16,66,67,66.5
17,66,67,66.5
17,66,67,66.5
17,66,67,66.5
18,66,67,66.5
18,66,67,66.5
18,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
19,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
20,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
21,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
22,66,67,66.5
23,66,67,66.5
23,66,67,66.5
23,66,67,66.5
23,66,67,66.5
23,66,67,66.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
23,67,68,67.5
