ts_offset_sec,bid,ask,mid
0,62,65,63.5
0,62,65,63.5
0,62,65,63.5
0,62,65,63.5
0,62,65,63.5
0,62,65,63.5
1,62,65,63.5
2,62,65,63.5
2,62,65,63.5
2,62,65,63.5
2,62,65,63.5
2,62,65,63.5
2,62,65,63.5
3,62,64,63.0
3,62,64,63.0
3,62,64,63.0
3,62,64,63.0
3,62,64,63.0
3,62,63,62.5
3,62,63,62.5
3,62,63,62.5
3,62,63,62.5
4,62,63,62.5
4,62,63,62.5
4,62,63,62.5
4,62,63,62.5
4,62,63,62.5
4,62,63,62.5
4,62,63,62.5
5,62,63,62.5
5,62,63,62.5
5,62,63,62.5
5,62,63,62.5
5,62,63,62.5
6,62,63,62.5
6,62,63,62.5
6,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,64,63.0
7,62,64,63.0
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
7,62,63,62.5
8,62,63,62.5
8,62,63,62.5
8,62,63,62.5
9,62,63,62.5
10,62,63,62.5
11,62,63,62.5
12,62,63,62.5
13,62,63,62.5
14,62,63,62.5
17,62,63,62.5
17,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
18,62,63,62.5
19,62,63,62.5
19,62,63,62.5
19,62,63,62.5
19,62,63,62.5
20,62,63,62.5
20,62,63,62.5
21,62,63,62.5
21,62,63,62.5
21,62,63,62.5
21,62,63,62.5
23,62,63,62.5
23,62,65,63.5
23,62,65,63.5
23,62,65,63.5
23,62,65,63.5
24,62,65,63.5
24,62,65,63.5
24,62,64,63.0
24,62,65,63.5
24,62,65,63.5
24,62,66,64.0
25,62,65,63.5
25,62,65,63.5
25,62,65,63.5
26,62,64,63.0
26,62,64,63.0
26,62,64,63.0
26,62,64,63.0
