ts_offset_sec,bid,ask,mid
0,22,23,22.5
0,22,23,22.5
1,22,23,22.5
1,22,23,22.5
4,22,23,22.5
4,22,23,22.5
4,22,23,22.5
4,22,23,22.5
7,22,23,22.5
8,22,23,22.5
8,22,23,22.5
8,22,23,22.5
8,22,23,22.5
10,22,23,22.5
11,22,23,22.5
11,22,23,22.5
11,22,23,22.5
11,22,23,22.5
12,22,23,22.5
13,22,23,22.5
15,22,23,22.5
15,22,23,22.5
15,22,23,22.5
15,22,23,22.5
15,22,23,22.5
18,22,23,22.5
18,22,23,22.5
18,22,23,22.5
18,22,23,22.5
18,22,23,22.5
18,22,23,22.5
18,22,23,22.5
18,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
19,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
20,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
23,22,23,22.5
24,22,23,22.5
24,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
29,22,23,22.5
29,22,23,22.5
29,22,23,22.5
29,19,23,21.0
29,19,23,21.0
29,19,23,21.0
29,19,22,20.5
29,19,22,20.5
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,21,20.0
29,19,22,20.5
29,19,22,20.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
29,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
30,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
31,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
32,19,20,19.5
33,19,20,19.5
33,19,20,19.5
33,19,20,19.5
33,19,20,19.5
33,19,20,19.5
33,19,20,19.5
33,19,20,19.5
33,19,20,19.5
34,19,20,19.5
34,19,20,19.5
34,19,20,19.5
34,19,20,19.5
35,19,20,19.5
35,19,20,19.5
35,19,20,19.5
35,19,20,19.5
35,19,20,19.5
35,19,20,19.5
35,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
36,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
37,19,20,19.5
38,19,20,19.5
38,19,20,19.5
38,19,20,19.5
39,19,20,19.5
39,19,20,19.5
39,19,20,19.5
39,19,20,19.5
39,19,20,19.5
39,19,20,19.5
39,19,20,19.5
40,19,20,19.5
40,19,20,19.5
41,19,20,19.5
41,19,20,19.5
41,19,20,19.5
43,19,20,19.5
43,19,20,19.5
43,19,20,19.5
43,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
48,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
49,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
50,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
51,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
52,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
53,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
54,19,20,19.5
55,19,20,19.5
55,19,20,19.5
55,19,20,19.5
55,19,20,19.5
55,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
56,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
57,19,20,19.5
58,19,20,19.5
58,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
59,19,20,19.5
60,19,20,19.5
60,19,20,19.5
60,19,20,19.5
60,19,20,19.5
60,19,20,19.5
60,19,20,19.5
