ts_offset_sec,bid,ask,mid
0,75,76,75.5
0,75,76,75.5
0,75,76,75.5
0,75,76,75.5
0,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
1,75,76,75.5
2,75,76,75.5
2,75,76,75.5
2,75,76,75.5
2,75,76,75.5
2,75,76,75.5
2,75,76,75.5
4,75,76,75.5
4,75,76,75.5
5,75,76,75.5
5,75,76,75.5
5,75,76,75.5
5,75,76,75.5
5,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
6,75,76,75.5
7,75,76,75.5
7,75,76,75.5
8,75,76,75.5
8,75,76,75.5
9,75,76,75.5
9,75,76,75.5
9,75,76,75.5
9,75,76,75.5
9,75,76,75.5
9,75,76,75.5
9,75,76,75.5
10,75,76,75.5
10,75,76,75.5
11,75,76,75.5
12,75,76,75.5
12,75,76,75.5
12,75,76,75.5
12,75,76,75.5
13,75,76,75.5
13,75,76,75.5
13,75,76,75.5
14,75,76,75.5
14,75,76,75.5
15,75,76,75.5
15,75,76,75.5
15,75,76,75.5
16,75,76,75.5
16,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
17,75,76,75.5
18,75,76,75.5
18,75,76,75.5
19,75,76,75.5
19,75,76,75.5
19,75,76,75.5
19,75,76,75.5
20,75,76,75.5
20,75,76,75.5
20,75,76,75.5
20,75,76,75.5
20,75,76,75.5
20,75,76,75.5
21,75,76,75.5
21,75,76,75.5
22,75,76,75.5
22,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
23,75,76,75.5
24,75,76,75.5
24,75,76,75.5
24,75,76,75.5
24,75,76,75.5
24,75,76,75.5
25,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
26,75,76,75.5
27,75,76,75.5
27,75,76,75.5
27,75,76,75.5
28,75,76,75.5
28,75,76,75.5
28,75,76,75.5
28,74,76,75.0
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
28,74,75,74.5
29,74,75,74.5
29,73,75,74.0
29,73,74,73.5
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,74,73.0
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
29,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
30,72,73,72.5
31,72,73,72.5
31,72,73,72.5
31,72,73,72.5
31,72,73,72.5
31,72,73,72.5
31,72,73,72.5
31,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
32,72,73,72.5
33,72,73,72.5
34,72,73,72.5
34,72,73,72.5
34,72,73,72.5
35,72,73,72.5
35,72,73,72.5
35,72,73,72.5
35,72,73,72.5
35,72,73,72.5
35,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
36,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,75,73.5
37,72,75,73.5
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,73,72.5
37,72,75,73.5
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
38,72,74,73.0
38,72,73,72.5
38,72,73,72.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,73,71.5
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,73,71.5
38,70,73,71.5
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
38,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,74,72.0
39,70,74,72.0
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,73,71.5
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
39,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
40,70,72,71.0
41,70,72,71.0
41,70,72,71.0
41,70,72,71.0
41,70,72,71.0
42,70,72,71.0
42,70,72,71.0
42,70,72,71.0
43,70,72,71.0
45,70,72,71.0
45,70,72,71.0
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
45,70,73,71.5
46,70,73,71.5
46,70,73,71.5
46,70,72,71.0
46,70,72,71.0
46,70,72,71.0
46,70,72,71.0
46,70,72,71.0
46,70,72,71.0
46,70,72,71.0
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
46,70,71,70.5
47,70,71,70.5
47,70,71,70.5
47,70,71,70.5
47,70,71,70.5
47,70,71,70.5
48,70,71,70.5
48,70,71,70.5
49,70,71,70.5
50,70,71,70.5
50,70,71,70.5
50,70,71,70.5
51,70,71,70.5
51,70,71,70.5
51,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
52,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,73,71.5
53,70,73,71.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,73,71.5
53,70,73,71.5
53,70,73,71.5
53,70,73,71.5
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,71,70.5
53,70,73,71.5
53,70,73,71.5
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
53,70,72,71.0
54,70,72,71.0
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,73,71.5
54,70,73,71.5
54,70,73,71.5
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,71,70.5
54,70,73,71.5
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
54,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
55,70,72,71.0
56,70,72,71.0
56,70,72,71.0
56,70,72,71.0
56,70,72,71.0
57,70,72,71.0
57,70,72,71.0
57,70,72,71.0
57,70,72,71.0
57,70,72,71.0
57,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,71,70.5
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
59,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,72,71.0
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
60,70,73,71.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
61,72,73,72.5
62,72,73,72.5
62,72,73,72.5
62,72,73,72.5
62,72,73,72.5
62,72,73,72.5
62,72,75,73.5
62,72,74,73.0
62,72,74,73.0
62,72,74,73.0
62,72,74,73.0
62,72,74,73.0
62,72,74,73.0
62,72,74,73.0
63,72,74,73.0
63,72,74,73.0
64,72,74,73.0
66,72,74,73.0
66,72,74,73.0
67,72,74,73.0
67,72,74,73.0
67,72,74,73.0
67,72,74,73.0
67,72,74,73.0
67,72,74,73.0
68,72,74,73.0
68,72,74,73.0
68,72,74,73.0
69,72,74,73.0
69,72,74,73.0
69,72,74,73.0
69,72,74,73.0
69,72,74,73.0
69,72,74,73.0
71,72,74,73.0
71,72,74,73.0
71,72,74,73.0
71,72,74,73.0
71,72,74,73.0
72,72,74,73.0
72,72,74,73.0
72,72,74,73.0
73,72,74,73.0
73,72,74,73.0
74,72,74,73.0
74,72,74,73.0
75,72,74,73.0
75,72,74,73.0
76,72,74,73.0
76,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,72,74,73.0
78,71,74,72.5
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
78,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
79,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
80,70,74,72.0
81,70,74,72.0
81,70,74,72.0
81,70,74,72.0
81,70,74,72.0
81,70,74,72.0
81,70,74,72.0
81,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
82,70,74,72.0
83,70,74,72.0
83,70,74,72.0
83,70,74,72.0
83,70,74,72.0
83,70,74,72.0
83,70,74,72.0
84,70,74,72.0
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,71,74,72.5
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
84,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,71,74,72.5
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
85,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,70,74,72.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
86,72,74,73.0
87,72,74,73.0
87,72,74,73.0
87,72,74,73.0
87,72,74,73.0
87,72,74,73.0
