ts_offset_sec,bid,ask,mid
0,37,38,37.5
0,37,38,37.5
0,37,38,37.5
1,37,38,37.5
2,37,38,37.5
3,37,38,37.5
3,37,38,37.5
3,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
4,37,38,37.5
5,37,38,37.5
5,37,38,37.5
7,37,38,37.5
9,37,38,37.5
9,37,38,37.5
9,37,38,37.5
9,37,38,37.5
9,37,38,37.5
9,37,38,37.5
11,37,38,37.5
11,37,38,37.5
11,37,38,37.5
11,37,38,37.5
13,37,38,37.5
14,37,38,37.5
14,37,38,37.5
14,37,38,37.5
15,37,38,37.5
15,37,38,37.5
15,37,38,37.5
15,37,38,37.5
15,37,38,37.5
15,37,38,37.5
16,37,38,37.5
16,37,38,37.5
16,37,38,37.5
16,37,38,37.5
16,37,42,39.5
16,38,41,39.5
16,38,41,39.5
16,38,40,39.0
16,38,40,39.0
16,38,40,39.0
16,38,39,38.5
16,38,39,38.5
16,38,42,40.0
16,38,41,39.5
16,38,40,39.0
16,38,40,39.0
16,38,39,38.5
16,38,39,38.5
16,38,42,40.0
17,38,41,39.5
17,38,40,39.0
17,38,39,38.5
17,38,42,40.0
17,38,41,39.5
17,38,40,39.0
17,38,40,39.0
17,38,39,38.5
17,38,42,40.0
17,38,41,39.5
17,38,40,39.0
17,38,40,39.0
17,38,39,38.5
17,38,39,38.5
17,38,41,39.5
17,38,40,39.0
17,38,40,39.0
17,38,40,39.0
17,38,39,38.5
17,38,39,38.5
17,38,42,40.0
18,38,41,39.5
18,38,40,39.0
18,39,40,39.5
18,39,40,39.5
18,39,40,39.5
18,39,40,39.5
18,39,40,39.5
19,39,40,39.5
19,39,40,39.5
19,39,40,39.5
21,39,40,39.5
21,39,40,39.5
26,39,40,39.5
26,39,40,39.5
26,39,40,39.5
27,39,40,39.5
30,39,40,39.5
30,39,42,40.5
30,39,42,40.5
30,40,42,41.0
30,40,41,40.5
30,40,41,40.5
31,40,41,40.5
31,40,41,40.5
31,40,41,40.5
31,40,41,40.5
31,40,41,40.5
31,40,41,40.5
31,40,41,40.5
31,40,42,41.0
31,40,42,41.0
31,40,42,41.0
31,41,42,41.5
31,41,42,41.5
31,41,42,41.5
31,40,42,41.0
32,40,42,41.0
32,40,42,41.0
32,40,42,41.0
32,40,42,41.0
32,40,42,41.0
33,40,42,41.0
33,40,42,41.0
33,40,42,41.0
34,41,42,41.5
34,41,42,41.5
37,41,42,41.5
37,41,42,41.5
38,41,42,41.5
38,41,42,41.5
39,41,42,41.5
39,41,42,41.5
39,41,42,41.5
39,41,42,41.5
40,41,42,41.5
40,41,42,41.5
40,41,42,41.5
40,41,42,41.5
40,41,42,41.5
42,41,42,41.5
42,41,42,41.5
42,41,42,41.5
43,41,42,41.5
43,41,42,41.5
48,41,42,41.5
48,41,42,41.5
48,41,42,41.5
48,41,42,41.5
49,41,42,41.5
73,41,42,41.5
85,41,42,41.5
103,41,42,41.5
103,41,42,41.5
118,41,42,41.5
118,41,42,41.5
118,41,42,41.5
120,41,42,41.5
134,41,42,41.5
159,41,42,41.5
159,41,42,41.5
161,41,42,41.5
161,41,42,41.5
167,41,42,41.5
167,41,42,41.5
180,41,42,41.5
180,41,42,41.5
181,41,42,41.5
217,41,42,41.5
244,41,42,41.5
245,41,42,41.5
245,41,42,41.5
279,41,42,41.5
279,41,42,41.5
279,41,42,41.5
281,41,42,41.5
309,41,42,41.5
360,41,42,41.5
370,41,42,41.5
370,41,42,41.5
371,41,42,41.5
373,41,42,41.5
373,41,42,41.5
373,41,42,41.5
373,41,42,41.5
456,41,42,41.5
457,41,42,41.5
484,41,42,41.5
503,41,42,41.5
508,41,42,41.5
509,41,42,41.5
516,41,42,41.5
517,41,42,41.5
526,41,42,41.5
546,41,42,41.5
546,41,42,41.5
546,41,42,41.5
577,41,42,41.5
623,42,44,43.0
623,42,44,43.0
624,42,44,43.0
624,42,44,43.0
625,42,44,43.0
625,42,44,43.0
626,42,44,43.0
641,42,44,43.0
642,42,44,43.0
642,42,44,43.0
668,42,44,43.0
670,42,44,43.0
805,42,44,43.0
805,42,44,43.0
805,42,44,43.0
837,42,44,43.0
877,42,44,43.0
877,42,44,43.0
877,42,44,43.0
877,42,44,43.0
879,42,44,43.0
881,42,44,43.0
890,42,44,43.0
891,42,44,43.0
893,42,44,43.0
894,42,44,43.0
898,42,44,43.0
899,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,44,43.0
951,42,43,42.5
951,42,43,42.5
951,42,43,42.5
951,42,43,42.5
951,42,43,42.5
952,42,43,42.5
952,42,43,42.5
952,42,43,42.5
953,42,43,42.5
953,42,43,42.5
954,42,43,42.5
954,42,44,43.0
954,42,44,43.0
954,42,44,43.0
954,42,44,43.0
955,42,44,43.0
956,42,44,43.0
957,42,44,43.0
959,42,44,43.0
961,42,44,43.0
962,42,44,43.0
963,42,44,43.0
964,42,44,43.0
967,42,44,43.0
968,42,44,43.0
968,42,44,43.0
970,42,44,43.0
971,42,44,43.0
972,42,44,43.0
974,42,44,43.0
976,42,44,43.0
977,42,44,43.0
979,42,44,43.0
981,42,44,43.0
983,42,44,43.0
983,42,44,43.0
985,42,44,43.0
985,42,44,43.0
986,42,44,43.0
988,42,44,43.0
989,42,44,43.0
991,42,44,43.0
991,42,44,43.0
993,42,44,43.0
994,42,44,43.0
996,42,44,43.0
997,42,44,43.0
999,42,44,43.0
1000,42,44,43.0
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1000,42,43,42.5
1001,42,43,42.5
1001,42,43,42.5
1001,42,43,42.5
1001,42,43,42.5
1002,42,43,42.5
1002,42,43,42.5
1003,42,43,42.5
1004,42,43,42.5
1004,42,43,42.5
1005,42,43,42.5
1005,42,43,42.5
1006,42,43,42.5
1007,42,43,42.5
1008,42,43,42.5
1009,42,43,42.5
1010,42,43,42.5
1010,42,43,42.5
1011,42,43,42.5
1011,42,43,42.5
1011,42,43,42.5
1011,42,43,42.5
1011,42,44,43.0
1011,42,44,43.0
1012,42,44,43.0
1012,42,44,43.0
1013,42,44,43.0
1013,42,44,43.0
1014,42,44,43.0
1015,42,44,43.0
1015,42,44,43.0
1016,42,44,43.0
1017,42,44,43.0
1018,42,44,43.0
1019,42,44,43.0
1020,42,44,43.0
1021,42,44,43.0
1022,42,44,43.0
1023,42,44,43.0
1025,42,44,43.0
1026,42,44,43.0
1026,42,44,43.0
1027,42,44,43.0
1027,42,44,43.0
1027,42,44,43.0
1028,42,44,43.0
1028,42,44,43.0
1028,42,44,43.0
1028,42,44,43.0
1028,42,44,43.0
1029,42,44,43.0
1029,42,44,43.0
1029,42,44,43.0
1029,42,44,43.0
1030,42,44,43.0
1031,42,44,43.0
1031,42,44,43.0
1033,42,44,43.0
1033,42,44,43.0
1034,42,44,43.0
1035,42,44,43.0
1035,42,44,43.0
1035,42,44,43.0
1037,42,44,43.0
1037,42,44,43.0
1038,42,44,43.0
1039,42,44,43.0
1039,42,44,43.0
1039,42,44,43.0
1039,42,44,43.0
1040,42,44,43.0
1040,42,44,43.0
1040,42,44,43.0
1041,42,44,43.0
1041,42,44,43.0
1042,42,44,43.0
1043,42,44,43.0
1043,42,44,43.0
1044,42,44,43.0
1045,42,44,43.0
1046,42,44,43.0
1046,42,44,43.0
1047,42,44,43.0
1048,42,44,43.0
1049,42,44,43.0
1049,42,44,43.0
1050,42,44,43.0
1050,42,44,43.0
1051,42,44,43.0
1052,42,44,43.0
1052,42,44,43.0
1053,42,44,43.0
1054,42,44,43.0
1054,42,44,43.0
1055,42,44,43.0
1056,42,44,43.0
1056,42,44,43.0
1057,42,44,43.0
1059,42,44,43.0
1059,42,44,43.0
1060,42,44,43.0
1060,42,44,43.0
1060,42,44,43.0
1060,42,44,43.0
1060,42,44,43.0
1061,42,44,43.0
1061,42,44,43.0
1062,42,44,43.0
1063,42,44,43.0
1063,42,44,43.0
1065,42,44,43.0
1065,42,44,43.0
1067,42,44,43.0
1068,42,44,43.0
1068,42,44,43.0
1069,42,44,43.0
1069,42,44,43.0
1069,42,44,43.0
1070,42,44,43.0
1070,42,44,43.0
1070,42,44,43.0
1071,42,44,43.0
1072,42,44,43.0
1073,42,44,43.0
1073,42,44,43.0
1075,42,44,43.0
1076,42,43,42.5
1076,42,43,42.5
1076,42,43,42.5
1077,42,43,42.5
1077,42,43,42.5
1078,42,43,42.5
1082,42,43,42.5
1087,42,43,42.5
1088,42,43,42.5
1088,42,43,42.5
1089,42,43,42.5
1090,42,43,42.5
1094,42,43,42.5
1097,42,43,42.5
1098,42,43,42.5
1098,42,43,42.5
1098,42,43,42.5
1099,42,43,42.5
1100,42,43,42.5
1101,42,43,42.5
1101,42,43,42.5
1102,42,43,42.5
1115,42,43,42.5
1116,42,43,42.5
1116,42,43,42.5
1117,42,43,42.5
1121,42,43,42.5
1124,42,43,42.5
1124,42,43,42.5
1125,42,43,42.5
1125,42,43,42.5
1127,42,43,42.5
1130,42,43,42.5
1131,42,43,42.5
1132,42,43,42.5
1134,42,43,42.5
1136,42,43,42.5
1138,42,43,42.5
1138,42,43,42.5
1140,42,43,42.5
1141,42,43,42.5
1143,42,43,42.5
1143,42,43,42.5
1145,42,43,42.5
1146,42,43,42.5
1147,42,43,42.5
1149,42,43,42.5
1150,42,43,42.5
1152,42,43,42.5
1152,42,43,42.5
1154,42,43,42.5
1156,42,43,42.5
1156,42,43,42.5
1156,42,43,42.5
1156,42,43,42.5
1156,42,43,42.5
1157,42,43,42.5
1157,42,43,42.5
1158,42,43,42.5
1159,42,43,42.5
1159,42,43,42.5
1159,42,43,42.5
1160,42,43,42.5
1161,42,43,42.5
1162,42,43,42.5
1164,42,43,42.5
1172,42,43,42.5
1172,42,43,42.5
1173,42,43,42.5
1174,42,43,42.5
1176,42,43,42.5
1177,42,43,42.5
1177,42,43,42.5
1177,42,43,42.5
1177,42,43,42.5
1177,42,43,42.5
1181,42,43,42.5
1184,42,43,42.5
1186,42,43,42.5
1188,42,43,42.5
1189,42,43,42.5
1189,42,43,42.5
1189,42,43,42.5
1189,42,43,42.5
1189,42,43,42.5
1190,42,43,42.5
1190,42,43,42.5
1190,42,43,42.5
1190,42,43,42.5
1191,42,43,42.5
1191,42,43,42.5
1192,42,43,42.5
1192,42,43,42.5
1193,42,43,42.5
1193,42,43,42.5
1195,42,43,42.5
1195,42,43,42.5
1196,42,43,42.5
1197,42,43,42.5
1197,42,43,42.5
