ts_offset_sec,bid,ask,mid
0,63,64,63.5
1,63,64,63.5
1,63,64,63.5
2,63,64,63.5
2,63,64,63.5
2,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
3,63,64,63.5
5,63,64,63.5
5,63,64,63.5
5,63,64,63.5
7,63,64,63.5
7,63,64,63.5
7,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
8,63,64,63.5
9,63,64,63.5
9,63,64,63.5
10,63,64,63.5
10,63,64,63.5
10,63,64,63.5
10,63,64,63.5
10,63,64,63.5
12,63,64,63.5
12,63,64,63.5
12,63,64,63.5
13,63,64,63.5
13,63,64,63.5
14,63,64,63.5
14,63,64,63.5
14,63,64,63.5
14,63,64,63.5
14,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
15,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
16,63,64,63.5
17,63,64,63.5
17,63,64,63.5
17,63,64,63.5
17,63,64,63.5
17,63,64,63.5
18,63,64,63.5
18,63,64,63.5
18,63,64,63.5
18,63,64,63.5
18,63,64,63.5
18,63,64,63.5
19,63,64,63.5
19,63,64,63.5
19,63,64,63.5
19,63,64,63.5
20,63,64,63.5
20,63,64,63.5
21,63,64,63.5
21,63,64,63.5
22,63,64,63.5
22,63,64,63.5
22,63,64,63.5
23,63,64,63.5
23,63,64,63.5
24,63,64,63.5
24,63,64,63.5
24,63,64,63.5
25,63,64,63.5
25,63,64,63.5
25,63,64,63.5
25,63,64,63.5
25,63,64,63.5
26,63,64,63.5
26,63,64,63.5
26,63,64,63.5
27,63,64,63.5
27,63,64,63.5
27,63,64,63.5
27,63,64,63.5
28,63,64,63.5
29,63,64,63.5
29,63,64,63.5
29,63,64,63.5
29,63,64,63.5
29,63,64,63.5
29,63,64,63.5
29,63,64,63.5
29,63,64,63.5
30,63,64,63.5
30,60,64,62.0
30,60,63,61.5
30,60,63,61.5
30,59,63,61.0
30,59,63,61.0
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,62,60.5
30,59,61,60.0
30,59,61,60.0
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
31,59,60,59.5
32,59,60,59.5
32,59,60,59.5
32,59,60,59.5
33,59,60,59.5
33,59,60,59.5
33,59,60,59.5
33,59,60,59.5
35,59,60,59.5
35,59,60,59.5
35,59,60,59.5
35,59,60,59.5
37,59,60,59.5
37,59,60,59.5
37,58,60,59.0
37,58,60,59.0
37,58,60,59.0
37,58,60,59.0
38,58,59,58.5
38,58,59,58.5
38,58,59,58.5
39,58,59,58.5
39,57,59,58.0
39,57,59,58.0
39,57,59,58.0
39,57,58,57.5
39,57,58,57.5
40,57,58,57.5
40,57,58,57.5
40,57,58,57.5
41,57,58,57.5
41,57,58,57.5
41,57,58,57.5
42,57,58,57.5
42,57,58,57.5
44,57,58,57.5
44,57,58,57.5
44,57,58,57.5
44,57,58,57.5
44,57,58,57.5
45,57,58,57.5
46,57,58,57.5
47,57,58,57.5
47,57,58,57.5
47,57,58,57.5
47,57,58,57.5
47,57,58,57.5
