ts_offset_sec,bid,ask,mid
0,61,62,61.5
0,61,62,61.5
3,61,62,61.5
3,61,62,61.5
4,61,62,61.5
4,61,62,61.5
8,61,62,61.5
8,61,62,61.5
9,61,62,61.5
9,61,62,61.5
12,61,62,61.5
12,61,62,61.5
13,61,62,61.5
13,61,62,61.5
17,61,62,61.5
17,61,62,61.5
18,61,62,61.5
18,61,62,61.5
22,61,62,61.5
22,61,62,61.5
22,61,62,61.5
23,61,62,61.5
23,61,62,61.5
26,61,62,61.5
26,61,62,61.5
28,61,62,61.5
28,61,62,61.5
28,61,63,62.0
28,61,63,62.0
28,61,63,62.0
28,61,63,62.0
28,61,63,62.0
28,61,63,62.0
28,61,63,62.0
28,62,63,62.5
28,62,63,62.5
28,62,65,63.5
28,62,66,64.0
28,62,66,64.0
28,62,66,64.0
28,62,65,63.5
28,62,65,63.5
28,62,65,63.5
28,62,65,63.5
29,62,65,63.5
29,63,65,64.0
29,63,65,64.0
29,63,65,64.0
29,63,65,64.0
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
29,64,65,64.5
30,64,65,64.5
30,64,65,64.5
30,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
31,64,65,64.5
32,64,65,64.5
32,64,65,64.5
32,64,65,64.5
32,64,65,64.5
32,64,65,64.5
33,64,65,64.5
34,64,65,64.5
34,64,65,64.5
34,64,65,64.5
34,64,65,64.5
34,64,65,64.5
37,64,65,64.5
38,64,65,64.5
38,64,65,64.5
38,64,65,64.5
38,64,65,64.5
39,64,65,64.5
39,64,65,64.5
39,64,65,64.5
43,64,65,64.5
43,64,65,64.5
44,64,65,64.5
44,64,65,64.5
45,64,65,64.5
45,64,65,64.5
45,64,65,64.5
45,64,65,64.5
45,64,65,64.5
54,64,65,64.5
54,64,65,64.5
54,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
61,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
62,64,65,64.5
63,64,65,64.5
65,64,65,64.5
65,64,65,64.5
65,64,65,64.5
66,64,65,64.5
66,64,65,64.5
68,64,65,64.5
68,64,65,64.5
68,64,65,64.5
69,64,65,64.5
69,64,65,64.5
70,64,65,64.5
71,64,65,64.5
71,64,65,64.5
71,64,65,64.5
72,64,65,64.5
72,64,65,64.5
72,64,65,64.5
72,64,65,64.5
73,64,65,64.5
73,64,65,64.5
76,64,65,64.5
76,64,65,64.5
77,64,65,64.5
77,64,65,64.5
78,64,65,64.5
78,64,65,64.5
82,64,65,64.5
82,64,65,64.5
82,64,65,64.5
82,64,65,64.5
86,64,65,64.5
86,64,65,64.5
87,64,65,64.5
87,64,65,64.5
89,64,65,64.5
90,64,65,64.5
90,64,65,64.5
90,64,65,64.5
90,64,65,64.5
91,64,65,64.5
91,64,65,64.5
91,64,65,64.5
