ts_offset_sec,bid,ask,mid
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
0,69,73,71.0
1,69,73,71.0
1,69,73,71.0
2,69,73,71.0
2,69,73,71.0
12,69,73,71.0
15,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,56,73,64.5
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,56,73,64.5
30,56,73,64.5
30,57,73,65.0
31,56,73,64.5
31,56,73,64.5
32,56,73,64.5
32,56,73,64.5
33,56,73,64.5
33,66,73,69.5
33,66,71,68.5
33,66,71,68.5
33,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
34,66,71,68.5
35,66,71,68.5
35,66,71,68.5
43,66,71,68.5
51,66,71,68.5
55,66,71,68.5
56,66,71,68.5
56,66,71,68.5
56,66,71,68.5
58,66,71,68.5
66,66,71,68.5
66,66,71,68.5
81,66,71,68.5
82,66,71,68.5
87,66,71,68.5
96,66,71,68.5
96,66,71,68.5
286,66,71,68.5
286,66,71,68.5
286,66,71,68.5
286,66,71,68.5
286,66,71,68.5
286,66,71,68.5
287,66,71,68.5
287,66,71,68.5
288,66,71,68.5
293,66,71,68.5
293,66,71,68.5
293,66,71,68.5
294,66,71,68.5
295,66,71,68.5
295,66,71,68.5
296,66,71,68.5
300,66,71,68.5
301,66,71,68.5
302,66,71,68.5
303,66,71,68.5
332,66,71,68.5
332,66,71,68.5
332,66,71,68.5
332,66,71,68.5
332,66,71,68.5
340,66,71,68.5
340,66,71,68.5
344,66,71,68.5
345,66,71,68.5
345,66,71,68.5
345,66,71,68.5
345,66,71,68.5
347,66,71,68.5
348,66,71,68.5
371,66,71,68.5
371,66,71,68.5
371,66,71,68.5
371,66,71,68.5
371,66,71,68.5
371,66,71,68.5
373,66,71,68.5
373,66,71,68.5
373,66,71,68.5
373,66,71,68.5
373,66,71,68.5
373,66,71,68.5
376,66,71,68.5
376,66,71,68.5
380,66,71,68.5
381,66,71,68.5
381,66,71,68.5
384,66,71,68.5
393,66,71,68.5
394,66,71,68.5
395,66,71,68.5
395,66,71,68.5
395,66,71,68.5
395,66,71,68.5
395,66,71,68.5
396,66,71,68.5
397,66,71,68.5
401,66,71,68.5
402,66,71,68.5
405,66,71,68.5
409,66,71,68.5
411,66,71,68.5
416,66,71,68.5
418,66,71,68.5
418,66,71,68.5
542,66,71,68.5
542,66,71,68.5
542,66,71,68.5
542,66,71,68.5
542,66,71,68.5
543,66,71,68.5
543,66,71,68.5
543,66,71,68.5
550,66,71,68.5
550,66,71,68.5
551,66,71,68.5
552,66,71,68.5
562,66,71,68.5
563,66,71,68.5
729,66,71,68.5
729,66,71,68.5
729,66,71,68.5
729,66,71,68.5
729,66,71,68.5
729,66,71,68.5
731,66,71,68.5
770,66,71,68.5
770,66,71,68.5
771,66,71,68.5
771,66,71,68.5
772,66,71,68.5
772,66,71,68.5
772,66,71,68.5
772,66,71,68.5
782,66,71,68.5
782,66,71,68.5
782,66,71,68.5
783,66,71,68.5
790,66,71,68.5
791,66,71,68.5
792,66,71,68.5
796,66,71,68.5
796,66,71,68.5
796,66,71,68.5
799,66,71,68.5
799,66,71,68.5
801,66,71,68.5
801,66,71,68.5
802,66,71,68.5
803,66,71,68.5
1046,66,71,68.5
1047,66,71,68.5
1047,66,71,68.5
1048,66,71,68.5
1051,66,71,68.5
1051,66,71,68.5
1052,66,71,68.5
1053,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1199,66,71,68.5
1200,66,71,68.5
1201,66,71,68.5
1201,66,71,68.5
1201,66,71,68.5
1212,66,71,68.5
1212,66,71,68.5
1213,66,71,68.5
1214,66,71,68.5
1223,66,71,68.5
1223,66,71,68.5
1223,66,71,68.5
1223,66,71,68.5
1224,66,71,68.5
1224,66,71,68.5
1224,66,71,68.5
1224,66,71,68.5
1224,66,71,68.5
1224,66,71,68.5
1259,66,71,68.5
1259,66,71,68.5
1260,66,71,68.5
1260,66,71,68.5
1282,66,71,68.5
1283,66,71,68.5
1283,66,71,68.5
1283,66,71,68.5
1370,66,71,68.5
1370,66,71,68.5
1371,66,71,68.5
1377,66,71,68.5
1377,66,71,68.5
1378,66,71,68.5
1379,66,71,68.5
1394,66,71,68.5
1395,66,71,68.5
1395,66,71,68.5
1395,66,71,68.5
1458,66,71,68.5
1458,66,71,68.5
1479,66,71,68.5
1479,66,71,68.5
1480,66,71,68.5
1480,66,71,68.5
1488,66,71,68.5
1488,66,71,68.5
1509,66,71,68.5
1509,66,71,68.5
1536,66,71,68.5
1536,66,71,68.5
1537,66,71,68.5
1537,66,71,68.5
1665,66,72,69.0
1665,66,72,69.0
1665,66,72,69.0
1665,66,72,69.0
1665,66,72,69.0
1665,66,72,69.0
1665,66,72,69.0
1665,66,72,69.0
1666,66,72,69.0
1666,66,72,69.0
1666,66,72,69.0
1667,66,72,69.0
1667,66,72,69.0
1668,66,72,69.0
1668,66,72,69.0
1668,66,72,69.0
1671,66,72,69.0
1671,66,73,69.5
1671,66,73,69.5
1671,66,73,69.5
1672,66,73,69.5
1685,66,73,69.5
1686,66,73,69.5
1688,66,73,69.5
1696,66,73,69.5
1696,66,73,69.5
1696,66,73,69.5
1697,66,73,69.5
1697,66,73,69.5
1698,66,73,69.5
1703,66,73,69.5
1703,66,73,69.5
1703,66,73,69.5
1704,66,73,69.5
1705,66,73,69.5
1709,66,73,69.5
1709,66,73,69.5
1748,66,73,69.5
1748,66,75,70.5
1748,66,76,71.0
1748,66,77,71.5
1748,66,77,71.5
1748,66,74,70.0
1748,66,77,71.5
1748,66,77,71.5
1748,66,77,71.5
1748,66,77,71.5
1748,66,76,71.0
1748,66,76,71.0
1748,66,76,71.0
1748,66,76,71.0
1748,67,76,71.5
1748,67,75,71.0
1748,67,75,71.0
1748,67,74,70.5
1748,67,74,70.5
1748,67,74,70.5
1748,67,74,70.5
1748,67,73,70.0
1748,67,73,70.0
1749,67,73,70.0
1749,67,73,70.0
1749,67,73,70.0
1749,67,73,70.0
1749,67,73,70.0
1749,67,73,70.0
1750,67,73,70.0
1750,67,73,70.0
1755,67,73,70.0
1797,67,74,70.5
1797,67,76,71.5
1797,67,77,72.0
1797,67,77,72.0
1797,67,80,73.5
1797,67,81,74.0
1797,67,81,74.0
1797,67,76,71.5
1797,67,81,74.0
1797,67,76,71.5
1797,67,76,71.5
1797,67,75,71.0
1797,67,75,71.0
1797,67,76,71.5
1797,67,76,71.5
1797,67,76,71.5
1797,67,76,71.5
1797,67,76,71.5
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1797,67,75,71.0
1798,67,75,71.0
1803,67,75,71.0
1950,67,75,71.0
1951,67,75,71.0
1951,67,75,71.0
1972,67,75,71.0
1972,67,75,71.0
1973,67,75,71.0
1973,67,75,71.0
1973,67,75,71.0
1973,67,75,71.0
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1973,68,75,71.5
1974,68,75,71.5
1974,68,75,71.5
1974,68,75,71.5
1974,68,75,71.5
1974,68,75,71.5
1974,68,75,71.5
1974,69,75,72.0
1974,69,75,72.0
1975,69,75,72.0
1975,69,75,72.0
1975,69,75,72.0
1975,67,75,71.0
1975,67,75,71.0
1975,67,75,71.0
1975,67,75,71.0
1975,67,75,71.0
2048,67,75,71.0
2048,67,75,71.0
2048,67,75,71.0
2048,67,75,71.0
2048,67,75,71.0
2049,67,75,71.0
2049,67,75,71.0
2049,67,75,71.0
2049,67,75,71.0
2049,67,75,71.0
2050,67,75,71.0
2051,67,75,71.0
2051,67,75,71.0
2051,67,75,71.0
2051,67,75,71.0
2051,67,75,71.0
2051,67,75,71.0
2182,67,75,71.0
2182,67,75,71.0
2183,67,75,71.0
2183,67,75,71.0
2183,67,75,71.0
2183,67,75,71.0
2183,67,75,71.0
2183,67,75,71.0
2183,67,75,71.0
2184,67,75,71.0
2184,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,67,75,71.0
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2209,68,75,71.5
2210,69,75,72.0
2210,69,75,72.0
2210,69,75,72.0
2210,69,75,72.0
2210,69,75,72.0
2210,69,75,72.0
2210,67,75,71.0
2210,68,75,71.5
2210,68,75,71.5
2210,68,75,71.5
2211,68,75,71.5
2212,68,75,71.5
2212,68,75,71.5
2219,68,75,71.5
2220,68,75,71.5
2220,68,75,71.5
2220,68,75,71.5
2220,68,75,71.5
2220,68,75,71.5
2221,68,75,71.5
2221,68,75,71.5
2232,68,75,71.5
2232,68,75,71.5
2232,68,75,71.5
2232,68,75,71.5
2233,68,75,71.5
2233,68,75,71.5
2233,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2236,68,75,71.5
2237,68,75,71.5
2237,68,75,71.5
2279,68,75,71.5
2279,68,75,71.5
2279,68,75,71.5
2279,68,75,71.5
2279,68,75,71.5
2279,68,75,71.5
2280,68,75,71.5
2280,68,75,71.5
2280,68,75,71.5
2280,68,75,71.5
2280,68,75,71.5
2281,68,75,71.5
2281,68,75,71.5
2281,68,75,71.5
2289,68,75,71.5
2289,68,75,71.5
2290,68,75,71.5
2291,68,75,71.5
2431,68,75,71.5
2431,68,75,71.5
2431,68,75,71.5
2431,67,75,71.0
2431,67,75,71.0
2431,67,75,71.0
2431,67,75,71.0
2431,67,75,71.0
2798,67,75,71.0
2798,67,75,71.0
2798,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2799,67,75,71.0
2800,67,75,71.0
2804,67,75,71.0
2805,67,75,71.0
2818,67,75,71.0
2820,67,75,71.0
2824,67,75,71.0
2824,67,75,71.0
2825,67,75,71.0
2825,67,75,71.0
2844,67,75,71.0
2844,67,75,71.0
2874,67,75,71.0
2874,67,75,71.0
2874,67,75,71.0
2874,67,75,71.0
2874,67,75,71.0
2874,67,75,71.0
2875,67,75,71.0
2875,67,75,71.0
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,68,75,71.5
2933,69,75,72.0
2934,69,75,72.0
2934,69,75,72.0
2934,69,75,72.0
2934,69,75,72.0
2934,69,75,72.0
2934,69,75,72.0
2934,66,75,70.5
2934,67,75,71.0
2935,67,75,71.0
2935,67,75,71.0
2935,67,75,71.0
2935,68,75,71.5
2935,69,75,72.0
2935,69,75,72.0
2935,69,75,72.0
2936,69,75,72.0
2936,69,75,72.0
2936,69,75,72.0
2936,67,75,71.0
2936,68,75,71.5
2936,68,75,71.5
2936,68,75,71.5
2936,69,75,72.0
2937,69,75,72.0
2937,69,75,72.0
2937,69,75,72.0
2937,67,75,71.0
2937,67,75,71.0
2937,68,75,71.5
2938,69,75,72.0
2938,69,75,72.0
2938,69,75,72.0
2938,69,75,72.0
2938,69,75,72.0
2938,69,75,72.0
2938,69,75,72.0
2938,69,75,72.0
2938,67,75,71.0
2939,67,75,71.0
2939,68,75,71.5
2939,68,75,71.5
2939,68,75,71.5
2939,69,75,72.0
2939,69,75,72.0
2939,69,75,72.0
2939,69,75,72.0
2940,69,75,72.0
2940,69,75,72.0
2940,67,75,71.0
2940,68,75,71.5
2940,68,75,71.5
2940,68,75,71.5
2940,69,75,72.0
2941,69,75,72.0
2941,69,75,72.0
2941,69,75,72.0
2941,68,75,71.5
2941,67,75,71.0
2942,68,75,71.5
2942,68,75,71.5
2942,69,75,72.0
2942,69,75,72.0
2942,69,75,72.0
2942,69,75,72.0
2942,69,75,72.0
2943,69,75,72.0
2943,67,75,71.0
2943,70,75,72.5
2943,67,75,71.0
2943,71,75,73.0
2943,71,75,73.0
2943,67,75,71.0
2944,67,75,71.0
2944,68,75,71.5
2944,69,75,72.0
2944,69,75,72.0
2944,69,75,72.0
2944,69,75,72.0
2944,69,75,72.0
2945,67,75,71.0
2945,67,75,71.0
2945,67,75,71.0
2945,68,75,71.5
2945,68,75,71.5
2945,68,75,71.5
2945,68,75,71.5
2946,66,75,70.5
2946,67,75,71.0
2946,68,75,71.5
2946,68,75,71.5
2946,68,75,71.5
2946,68,75,71.5
2946,69,75,72.0
2946,69,75,72.0
2946,69,75,72.0
2946,69,75,72.0
2947,69,75,72.0
2947,69,75,72.0
2947,70,75,72.5
2947,70,75,72.5
2947,70,75,72.5
2947,70,75,72.5
2947,68,75,71.5
2947,67,75,71.0
2947,67,75,71.0
2947,68,75,71.5
2948,69,75,72.0
2948,69,75,72.0
2948,69,75,72.0
2948,69,75,72.0
2948,67,75,71.0
2948,67,75,71.0
2948,67,75,71.0
2948,67,75,71.0
2949,68,75,71.5
2949,68,75,71.5
2949,69,75,72.0
2949,69,75,72.0
2950,66,75,70.5
2950,67,75,71.0
2950,67,75,71.0
2950,66,75,70.5
2950,67,75,71.0
2951,67,75,71.0
2951,67,75,71.0
2951,67,75,71.0
2952,68,75,71.5
2952,68,75,71.5
2952,69,75,72.0
2952,69,75,72.0
2952,70,75,72.5
2952,70,75,72.5
2952,70,75,72.5
2953,66,75,70.5
2953,70,75,72.5
2953,70,75,72.5
2953,70,75,72.5
2953,67,75,71.0
2953,67,75,71.0
2954,67,75,71.0
2954,67,75,71.0
2954,68,75,71.5
2954,68,75,71.5
2954,68,75,71.5
2954,69,75,72.0
2954,69,75,72.0
2954,69,75,72.0
2955,69,75,72.0
2955,69,75,72.0
2955,67,75,71.0
2955,67,75,71.0
2955,68,75,71.5
2955,68,75,71.5
2955,68,75,71.5
2955,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,69,75,72.0
2956,67,75,71.0
2956,67,75,71.0
2956,68,75,71.5
2957,68,75,71.5
2957,69,75,72.0
2957,69,75,72.0
2957,69,75,72.0
2957,69,75,72.0
2957,69,75,72.0
2958,69,75,72.0
2958,67,75,71.0
2958,67,75,71.0
2958,67,75,71.0
2958,68,75,71.5
2958,68,75,71.5
2958,68,75,71.5
2958,68,75,71.5
2958,68,75,71.5
2958,69,75,72.0
2958,69,75,72.0
2958,69,75,72.0
2959,69,75,72.0
2959,69,75,72.0
2959,68,75,71.5
