ts_offset_sec,bid,ask,mid
0,38,39,38.5
6,38,39,38.5
6,38,39,38.5
6,38,39,38.5
6,38,39,38.5
6,38,39,38.5
7,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,35,39,37.0
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
13,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,35,38,36.5
14,36,38,37.0
14,36,38,37.0
14,36,38,37.0
14,36,38,37.0
14,36,38,37.0
14,36,38,37.0
14,36,38,37.0
14,36,38,37.0
15,36,38,37.0
15,36,38,37.0
15,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
16,36,38,37.0
17,36,38,37.0
17,36,38,37.0
17,36,38,37.0
17,36,38,37.0
19,36,38,37.0
19,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,38,37.0
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
20,36,37,36.5
21,36,37,36.5
21,36,37,36.5
21,36,37,36.5
21,36,37,36.5
22,36,37,36.5
22,36,37,36.5
22,36,37,36.5
22,36,37,36.5
24,36,37,36.5
25,36,37,36.5
25,36,37,36.5
30,36,37,36.5
31,36,37,36.5
31,36,37,36.5
31,36,37,36.5
31,36,37,36.5
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,35,37,36.0
31,30,37,33.5
31,30,37,33.5
31,30,37,33.5
31,30,37,33.5
31,30,37,33.5
31,30,37,33.5
31,30,37,33.5
31,30,37,33.5
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,31,37,34.0
31,32,37,34.5
31,32,37,34.5
31,32,37,34.5
31,32,37,34.5
31,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,32,37,34.5
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,33,37,35.0
32,30,37,33.5
32,31,37,34.0
32,31,37,34.0
32,31,37,34.0
33,32,37,34.5
33,32,37,34.5
33,32,37,34.5
33,32,37,34.5
33,32,37,34.5
33,32,37,34.5
33,33,37,35.0
33,33,37,35.0
33,33,37,35.0
33,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
34,33,37,35.0
35,33,37,35.0
35,33,37,35.0
35,34,37,35.5
35,34,37,35.5
35,34,37,35.5
35,34,37,35.5
35,34,37,35.5
35,34,37,35.5
36,34,37,35.5
37,34,37,35.5
37,34,37,35.5
37,33,37,35.0
37,33,37,35.0
37,33,37,35.0
37,34,37,35.5
37,34,37,35.5
37,34,37,35.5
37,34,37,35.5
37,33,37,35.0
37,33,37,35.0
37,33,37,35.0
37,33,37,35.0
37,33,37,35.0
37,33,37,35.0
37,34,37,35.5
37,33,37,35.0
37,33,37,35.0
37,33,37,35.0
41,33,37,35.0
42,34,37,35.5
42,33,37,35.0
42,33,37,35.0
42,33,37,35.0
42,33,37,35.0
42,33,37,35.0
42,33,37,35.0
42,33,37,35.0
42,33,37,35.0
42,34,37,35.5
42,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,34,37,35.5
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,35,37,36.0
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
43,36,37,36.5
44,36,37,36.5
44,36,37,36.5
44,36,37,36.5
45,36,37,36.5
46,36,37,36.5
47,36,37,36.5
53,36,37,36.5
53,36,37,36.5
53,36,37,36.5
53,36,37,36.5
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,35,37,36.0
53,33,37,35.0
53,33,37,35.0
53,31,37,34.0
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,34,37,35.5
53,31,37,34.0
53,31,37,34.0
53,31,37,34.0
53,31,37,34.0
53,31,37,34.0
53,31,37,34.0
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,32,37,34.5
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
53,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,33,37,35.0
54,34,37,35.5
54,34,37,35.5
54,34,37,35.5
54,34,37,35.5
54,34,37,35.5
54,32,37,34.5
54,32,37,34.5
54,32,37,34.5
54,32,37,34.5
54,32,37,34.5
55,32,37,34.5
55,32,37,34.5
56,32,37,34.5
56,32,37,34.5
56,32,37,34.5
56,32,37,34.5
56,33,37,35.0
56,34,37,35.5
56,32,37,34.5
56,32,37,34.5
56,32,37,34.5
56,33,37,35.0
57,33,37,35.0
57,32,37,34.5
57,33,37,35.0
57,34,37,35.5
57,34,37,35.5
57,34,37,35.5
57,33,37,35.0
57,32,37,34.5
57,32,37,34.5
57,32,37,34.5
57,32,37,34.5
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,32,36,34.0
58,33,36,34.5
58,33,36,34.5
58,33,36,34.5
58,32,36,34.0
58,33,36,34.5
59,34,36,35.0
59,33,36,34.5
59,34,36,35.0
59,34,36,35.0
59,34,36,35.0
59,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,34,36,35.0
60,33,36,34.5
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,35,34.0
60,33,34,33.5
60,33,34,33.5
60,33,34,33.5
60,33,34,33.5
60,33,34,33.5
60,33,34,33.5
60,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
61,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
62,33,34,33.5
63,33,34,33.5
63,33,34,33.5
63,33,34,33.5
63,33,34,33.5
63,33,34,33.5
63,33,34,33.5
63,33,34,33.5
64,33,34,33.5
65,33,34,33.5
65,33,34,33.5
67,33,34,33.5
69,33,34,33.5
69,33,34,33.5
69,33,34,33.5
69,33,34,33.5
69,33,34,33.5
69,33,34,33.5
69,33,34,33.5
69,33,34,33.5
71,33,34,33.5
72,33,34,33.5
73,33,34,33.5
74,33,34,33.5
75,33,34,33.5
75,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,34,33.5
76,33,35,34.0
76,33,35,34.0
76,33,35,34.0
76,33,35,34.0
76,33,35,34.0
