ts_offset_sec,bid,ask,mid
0,38,39,38.5
0,38,39,38.5
0,38,39,38.5
1,38,39,38.5
1,38,39,38.5
2,38,39,38.5
2,38,39,38.5
3,38,39,38.5
4,38,39,38.5
4,38,39,38.5
5,38,39,38.5
5,38,39,38.5
6,38,39,38.5
6,38,39,38.5
7,38,39,38.5
7,38,39,38.5
8,38,39,38.5
9,38,39,38.5
10,38,39,38.5
10,38,39,38.5
11,38,39,38.5
11,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
13,38,39,38.5
14,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
16,38,39,38.5
16,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
18,38,39,38.5
19,38,39,38.5
19,38,39,38.5
20,38,39,38.5
20,38,39,38.5
21,38,39,38.5
21,38,39,38.5
22,38,39,38.5
22,38,39,38.5
24,38,39,38.5
24,38,39,38.5
25,38,39,38.5
25,38,39,38.5
25,38,39,38.5
25,38,39,38.5
25,38,39,38.5
25,38,39,38.5
25,38,39,38.5
25,38,39,38.5
26,38,39,38.5
26,38,39,38.5
26,38,39,38.5
26,38,39,38.5
27,38,39,38.5
27,35,39,37.0
27,35,38,36.5
27,35,38,36.5
27,35,38,36.5
27,35,39,37.0
27,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,37,36.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,38,36.5
28,35,38,36.5
28,35,39,37.0
28,35,37,36.0
28,35,38,36.5
28,35,39,37.0
28,35,37,36.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,39,37.0
28,35,38,36.5
29,35,38,36.5
29,35,39,37.0
29,35,37,36.0
29,35,37,36.0
29,35,39,37.0
29,35,39,37.0
29,35,38,36.5
29,35,39,37.0
29,35,39,37.0
29,35,37,36.0
29,35,37,36.0
29,35,37,36.0
29,35,37,36.0
29,35,37,36.0
29,35,37,36.0
29,35,38,36.5
29,35,38,36.5
29,35,37,36.0
29,35,37,36.0
29,35,37,36.0
29,35,37,36.0
30,35,36,35.5
30,35,36,35.5
30,35,36,35.5
30,35,36,35.5
31,35,36,35.5
31,35,36,35.5
32,35,36,35.5
33,35,36,35.5
33,35,36,35.5
34,35,36,35.5
34,35,36,35.5
34,35,36,35.5
35,35,36,35.5
35,35,36,35.5
35,35,36,35.5
35,35,36,35.5
36,35,36,35.5
37,35,36,35.5
38,35,36,35.5
38,35,36,35.5
39,35,36,35.5
39,35,36,35.5
39,35,36,35.5
40,35,36,35.5
40,35,36,35.5
41,35,36,35.5
41,35,36,35.5
41,35,36,35.5
42,35,36,35.5
43,35,36,35.5
43,35,36,35.5
43,35,36,35.5
43,35,36,35.5
44,35,36,35.5
44,35,36,35.5
45,35,36,35.5
46,35,36,35.5
47,35,36,35.5
47,35,36,35.5
48,35,36,35.5
48,35,36,35.5
48,35,36,35.5
49,35,36,35.5
50,35,36,35.5
51,35,36,35.5
51,35,36,35.5
52,35,36,35.5
52,35,36,35.5
53,35,36,35.5
53,35,36,35.5
54,35,36,35.5
54,35,36,35.5
56,35,36,35.5
56,35,36,35.5
57,35,36,35.5
57,35,36,35.5
58,35,36,35.5
58,35,36,35.5
59,35,36,35.5
59,35,36,35.5
61,35,36,35.5
61,35,36,35.5
61,35,36,35.5
62,35,36,35.5
62,35,36,35.5
63,35,36,35.5
63,35,36,35.5
64,35,36,35.5
66,35,36,35.5
66,35,36,35.5
67,35,36,35.5
67,35,36,35.5
67,35,36,35.5
67,35,36,35.5
68,35,36,35.5
68,35,36,35.5
68,35,36,35.5
68,35,36,35.5
69,35,36,35.5
69,35,36,35.5
70,35,36,35.5
70,35,36,35.5
71,35,36,35.5
71,35,36,35.5
71,35,36,35.5
72,35,36,35.5
72,35,36,35.5
73,35,36,35.5
73,35,36,35.5
75,35,36,35.5
75,35,36,35.5
76,35,36,35.5
76,35,36,35.5
77,35,36,35.5
77,35,36,35.5
78,35,36,35.5
79,35,36,35.5
80,35,36,35.5
80,35,36,35.5
81,35,36,35.5
81,35,36,35.5
82,35,36,35.5
82,35,36,35.5
83,35,36,35.5
83,35,36,35.5
84,35,36,35.5
84,35,36,35.5
85,35,36,35.5
85,35,36,35.5
86,35,36,35.5
86,35,36,35.5
86,35,36,35.5
86,35,36,35.5
86,35,36,35.5
86,35,36,35.5
87,35,36,35.5
87,35,36,35.5
89,35,36,35.5
90,35,36,35.5
90,35,36,35.5
90,35,36,35.5
90,35,36,35.5
90,35,36,35.5
90,35,36,35.5
90,35,36,35.5
90,35,36,35.5
91,35,36,35.5
97,35,36,35.5
100,35,36,35.5
101,35,36,35.5
101,35,36,35.5
101,35,36,35.5
101,35,36,35.5
102,35,36,35.5
102,35,36,35.5
102,35,36,35.5
102,35,36,35.5
102,35,36,35.5
102,35,36,35.5
102,35,36,35.5
102,34,36,35.0
102,34,37,35.5
102,34,35,34.5
102,34,35,34.5
102,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
103,34,35,34.5
104,34,35,34.5
104,34,35,34.5
105,34,35,34.5
105,34,35,34.5
105,34,35,34.5
106,34,35,34.5
106,34,35,34.5
106,34,35,34.5
110,34,35,34.5
110,34,35,34.5
111,34,35,34.5
113,34,35,34.5
119,34,35,34.5
123,34,35,34.5
123,34,35,34.5
123,34,35,34.5
124,34,35,34.5
124,34,35,34.5
125,34,35,34.5
131,34,35,34.5
133,34,35,34.5
134,34,35,34.5
140,34,35,34.5
141,34,35,34.5
153,34,35,34.5
153,34,35,34.5
155,34,35,34.5
156,34,35,34.5
159,34,35,34.5
166,34,35,34.5
166,34,35,34.5
167,34,35,34.5
167,34,35,34.5
167,34,35,34.5
169,34,35,34.5
169,34,35,34.5
169,34,35,34.5
172,34,35,34.5
173,34,35,34.5
173,34,35,34.5
173,34,35,34.5
173,34,35,34.5
174,34,35,34.5
174,34,35,34.5
175,34,35,34.5
175,34,35,34.5
176,34,35,34.5
177,34,35,34.5
177,34,35,34.5
178,34,35,34.5
178,34,35,34.5
178,34,35,34.5
179,34,35,34.5
179,34,35,34.5
181,34,35,34.5
181,34,35,34.5
182,34,35,34.5
182,34,35,34.5
183,34,35,34.5
183,34,35,34.5
184,34,35,34.5
184,34,35,34.5
186,34,35,34.5
186,34,35,34.5
187,34,35,34.5
187,34,35,34.5
187,34,35,34.5
188,34,35,34.5
188,34,35,34.5
189,34,35,34.5
190,34,35,34.5
191,34,35,34.5
191,34,35,34.5
192,34,35,34.5
192,34,35,34.5
193,34,35,34.5
194,34,35,34.5
194,34,35,34.5
194,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,34,35,34.5
195,33,35,34.0
195,33,35,34.0
195,33,35,34.0
195,33,35,34.0
195,33,35,34.0
195,33,37,35.0
195,33,37,35.0
195,33,37,35.0
195,33,34,33.5
195,33,34,33.5
195,33,34,33.5
195,33,34,33.5
195,33,34,33.5
195,33,34,33.5
195,33,34,33.5
196,33,34,33.5
196,33,34,33.5
196,33,34,33.5
196,33,34,33.5
196,33,34,33.5
196,33,34,33.5
196,33,34,33.5
197,33,34,33.5
197,33,34,33.5
197,33,34,33.5
198,33,34,33.5
198,33,34,33.5
198,33,34,33.5
198,33,34,33.5
198,33,34,33.5
198,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
199,33,34,33.5
201,33,34,33.5
201,33,34,33.5
201,33,34,33.5
201,33,34,33.5
201,33,34,33.5
201,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
202,33,34,33.5
203,33,34,33.5
203,33,34,33.5
203,33,34,33.5
203,33,34,33.5
203,33,34,33.5
203,33,34,33.5
204,33,34,33.5
204,33,34,33.5
205,33,34,33.5
205,33,34,33.5
205,33,34,33.5
205,33,34,33.5
205,33,34,33.5
205,33,34,33.5
206,33,34,33.5
206,33,34,33.5
206,33,34,33.5
206,33,34,33.5
206,33,34,33.5
206,33,34,33.5
206,33,34,33.5
206,33,34,33.5
207,33,34,33.5
207,33,34,33.5
207,33,34,33.5
207,33,34,33.5
207,33,34,33.5
207,33,34,33.5
207,33,34,33.5
207,33,34,33.5
208,33,34,33.5
208,33,34,33.5
208,33,34,33.5
208,33,34,33.5
209,33,34,33.5
209,33,34,33.5
209,33,34,33.5
209,33,34,33.5
209,33,34,33.5
209,33,34,33.5
209,33,34,33.5
210,33,34,33.5
210,33,34,33.5
210,33,34,33.5
210,33,34,33.5
210,33,34,33.5
211,33,34,33.5
211,33,34,33.5
212,33,34,33.5
212,33,34,33.5
213,33,34,33.5
214,33,34,33.5
217,33,34,33.5
217,33,34,33.5
220,33,34,33.5
228,33,34,33.5
230,33,34,33.5
232,33,34,33.5
233,33,34,33.5
237,33,34,33.5
240,33,34,33.5
255,33,34,33.5
255,33,34,33.5
255,33,34,33.5
256,33,34,33.5
256,33,34,33.5
258,33,34,33.5
264,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
265,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
266,33,34,33.5
273,33,34,33.5
273,33,34,33.5
274,33,34,33.5
275,33,34,33.5
276,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
277,33,34,33.5
278,33,34,33.5
279,33,34,33.5
279,33,34,33.5
279,33,34,33.5
279,33,34,33.5
286,33,34,33.5
286,33,34,33.5
287,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
295,33,34,33.5
296,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
297,33,34,33.5
