ts_offset_sec,bid,ask,mid
0,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,66,64.5
144,63,65,64.0
144,63,65,64.0
144,63,65,64.0
144,63,65,64.0
144,63,65,64.0
144,63,65,64.0
144,63,65,64.0
144,62,65,63.5
145,62,65,63.5
145,62,65,63.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
145,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
146,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
147,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
148,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
149,62,63,62.5
150,62,63,62.5
150,62,63,62.5
150,62,63,62.5
150,62,63,62.5
151,62,63,62.5
151,62,63,62.5
151,62,63,62.5
151,61,63,62.0
151,61,63,62.0
151,61,63,62.0
152,61,62,61.5
152,61,62,61.5
152,61,62,61.5
152,61,62,61.5
152,61,62,61.5
152,61,62,61.5
152,60,62,61.0
152,60,62,61.0
152,60,62,61.0
152,61,62,61.5
152,60,62,61.0
152,60,62,61.0
153,60,62,61.0
153,60,62,61.0
153,60,62,61.0
153,60,62,61.0
153,60,62,61.0
153,59,62,60.5
153,59,62,60.5
153,59,62,60.5
153,59,61,60.0
154,59,60,59.5
154,59,60,59.5
154,59,60,59.5
155,59,60,59.5
155,59,60,59.5
155,59,60,59.5
155,59,60,59.5
155,59,61,60.0
155,59,62,60.5
155,59,62,60.5
155,59,62,60.5
155,59,62,60.5
155,59,62,60.5
155,59,62,60.5
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
155,59,63,61.0
156,59,63,61.0
156,59,63,61.0
156,59,63,61.0
156,59,63,61.0
156,59,63,61.0
156,59,63,61.0
156,59,63,61.0
157,59,63,61.0
157,59,63,61.0
157,59,63,61.0
157,59,63,61.0
157,59,63,61.0
158,59,63,61.0
159,59,63,61.0
184,59,63,61.0
184,59,63,61.0
184,59,63,61.0
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,63,60.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
184,58,61,59.5
