ts_offset_sec,bid,ask,mid
0,36,38,37.0
0,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
1,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
2,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,38,37.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,40,38.0
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
3,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,39,37.5
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
4,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
5,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
6,36,38,37.0
