ts_offset_sec,bid,ask,mid
0,67,68,67.5
0,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,67,68,67.5
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,66,68,67.0
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
2,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
3,65,68,66.5
