ts_offset_sec,bid,ask,mid
0,30,35,32.5
22,30,35,32.5
22,30,35,32.5
23,30,35,32.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
46,29,30,29.5
47,29,30,29.5
49,29,30,29.5
49,29,30,29.5
50,29,30,29.5
50,29,30,29.5
50,29,30,29.5
54,29,30,29.5
55,29,30,29.5
55,29,30,29.5
57,29,30,29.5
57,29,30,29.5
57,29,30,29.5
58,29,30,29.5
58,29,30,29.5
59,29,30,29.5
59,29,30,29.5
59,29,30,29.5
64,29,34,31.5
64,29,34,31.5
64,29,35,32.0
64,29,34,31.5
65,29,34,31.5
67,29,34,31.5
68,29,34,31.5
69,29,34,31.5
69,29,34,31.5
69,29,34,31.5
69,29,34,31.5
70,29,34,31.5
71,29,34,31.5
72,29,34,31.5
72,29,34,31.5
74,29,34,31.5
75,29,32,30.5
75,29,32,30.5
80,29,32,30.5
80,29,35,32.0
80,29,35,32.0
80,29,35,32.0
80,29,35,32.0
80,29,35,32.0
81,29,35,32.0
81,29,35,32.0
81,29,34,31.5
81,29,34,31.5
82,29,34,31.5
82,29,34,31.5
84,29,33,31.0
84,29,32,30.5
84,29,32,30.5
85,29,32,30.5
89,29,32,30.5
89,29,32,30.5
89,29,30,29.5
89,29,30,29.5
90,29,30,29.5
90,29,30,29.5
91,29,30,29.5
93,29,30,29.5
93,29,30,29.5
95,29,30,29.5
96,29,30,29.5
96,29,30,29.5
97,29,30,29.5
97,29,30,29.5
99,29,30,29.5
101,29,30,29.5
103,29,30,29.5
103,29,30,29.5
104,29,30,29.5
105,29,30,29.5
106,29,30,29.5
107,29,30,29.5
109,29,30,29.5
109,29,30,29.5
111,29,30,29.5
111,29,30,29.5
112,29,30,29.5
113,29,30,29.5
113,29,30,29.5
114,29,30,29.5
116,29,30,29.5
117,29,30,29.5
118,29,30,29.5
119,29,30,29.5
120,29,30,29.5
120,29,30,29.5
121,29,35,32.0
121,29,35,32.0
121,30,35,32.5
122,30,35,32.5
123,30,35,32.5
123,30,35,32.5
124,30,35,32.5
124,30,35,32.5
125,30,35,32.5
126,30,35,32.5
126,30,35,32.5
127,30,35,32.5
127,30,35,32.5
127,30,35,32.5
128,30,35,32.5
130,30,35,32.5
130,30,35,32.5
131,30,35,32.5
131,30,35,32.5
135,30,35,32.5
135,30,35,32.5
135,29,35,32.0
135,29,35,32.0
141,29,35,32.0
142,29,35,32.0
143,29,35,32.0
152,29,35,32.0
152,29,35,32.0
154,29,35,32.0
154,29,35,32.0
154,29,35,32.0
162,29,35,32.0
163,29,35,32.0
163,29,35,32.0
163,29,35,32.0
164,29,35,32.0
166,29,35,32.0
167,29,35,32.0
167,29,35,32.0
168,29,35,32.0
169,29,35,32.0
169,29,35,32.0
170,29,35,32.0
171,29,35,32.0
171,29,35,32.0
172,29,35,32.0
178,29,35,32.0
181,29,35,32.0
182,29,35,32.0
183,29,35,32.0
183,29,35,32.0
184,29,35,32.0
185,29,35,32.0
185,29,35,32.0
186,29,35,32.0
187,29,35,32.0
187,29,35,32.0
187,29,35,32.0
189,29,35,32.0
189,29,35,32.0
189,29,35,32.0
191,29,35,32.0
191,29,35,32.0
191,29,35,32.0
192,29,35,32.0
192,29,35,32.0
192,29,35,32.0
193,29,35,32.0
193,29,35,32.0
195,29,35,32.0
195,29,35,32.0
205,29,35,32.0
205,29,35,32.0
206,29,35,32.0
206,29,35,32.0
206,29,35,32.0
207,29,35,32.0
208,29,35,32.0
208,29,35,32.0
210,29,35,32.0
210,29,35,32.0
211,29,35,32.0
212,29,35,32.0
212,29,35,32.0
213,29,35,32.0
215,29,35,32.0
215,29,35,32.0
217,29,35,32.0
217,29,35,32.0
217,29,35,32.0
217,29,35,32.0
218,29,35,32.0
219,29,35,32.0
219,29,35,32.0
220,29,35,32.0
220,29,35,32.0
220,29,35,32.0
221,29,35,32.0
221,29,35,32.0
221,29,35,32.0
223,29,35,32.0
223,29,35,32.0
223,29,35,32.0
224,29,35,32.0
224,29,35,32.0
225,29,35,32.0
226,29,35,32.0
226,29,35,32.0
227,29,35,32.0
227,29,35,32.0
227,29,35,32.0
228,29,35,32.0
228,29,35,32.0
229,29,35,32.0
229,29,35,32.0
229,29,35,32.0
229,29,35,32.0
232,29,35,32.0
232,29,35,32.0
232,29,35,32.0
233,29,35,32.0
233,29,35,32.0
234,29,35,32.0
234,29,35,32.0
234,29,35,32.0
234,29,35,32.0
235,29,35,32.0
235,29,35,32.0
235,29,35,32.0
235,29,35,32.0
235,29,35,32.0
235,29,35,32.0
236,29,35,32.0
263,29,35,32.0
331,29,35,32.0
342,29,35,32.0
394,29,35,32.0
394,29,35,32.0
415,29,35,32.0
415,29,35,32.0
434,29,35,32.0
435,29,35,32.0
436,29,35,32.0
516,29,35,32.0
544,29,35,32.0
708,29,35,32.0
803,29,35,32.0
810,29,35,32.0
812,29,35,32.0
891,29,35,32.0
983,29,35,32.0
1067,29,35,32.0
1078,29,35,32.0
1078,29,35,32.0
1086,29,35,32.0
1088,29,35,32.0
1091,29,35,32.0
1093,29,38,33.5
1930,29,50,39.5
3251,29,50,39.5
3885,29,50,39.5
8283,29,50,39.5
8283,29,50,39.5
8285,29,50,39.5
8285,29,50,39.5
8288,29,50,39.5
8288,29,50,39.5
8300,29,50,39.5
8307,37,50,43.5
8308,37,50,43.5
8309,37,50,43.5
8311,37,48,42.5
8311,37,48,42.5
8311,37,48,42.5
8313,37,48,42.5
8334,37,48,42.5
8334,37,48,42.5
8334,37,48,42.5
8335,37,48,42.5
8335,37,48,42.5
8335,37,48,42.5
8335,37,48,42.5
8335,37,48,42.5
8336,37,48,42.5
8339,37,48,42.5
8351,39,48,43.5
8351,39,50,44.5
8351,39,44,41.5
8351,39,43,41.0
8353,39,43,41.0
8354,39,43,41.0
8382,39,43,41.0
8394,39,43,41.0
8394,39,43,41.0
8394,39,43,41.0
8394,39,43,41.0
8396,39,43,41.0
8613,39,44,41.5
8623,39,44,41.5
8624,39,44,41.5
8662,39,44,41.5
8662,39,44,41.5
8662,39,44,41.5
8663,39,44,41.5
8663,39,44,41.5
8722,39,44,41.5
8722,39,44,41.5
8756,39,44,41.5
8756,39,44,41.5
8757,39,44,41.5
8757,39,44,41.5
8803,39,44,41.5
8803,39,44,41.5
8803,39,43,41.0
8839,39,43,41.0
8839,39,43,41.0
8839,39,43,41.0
8840,39,43,41.0
8965,39,43,41.0
8965,39,43,41.0
8965,39,43,41.0
8965,39,43,41.0
8965,39,43,41.0
8966,39,43,41.0
8966,39,43,41.0
8966,39,43,41.0
8983,39,43,41.0
8984,39,43,41.0
9083,39,43,41.0
9084,39,43,41.0
9084,39,43,41.0
9102,39,43,41.0
9102,39,43,41.0
9102,39,43,41.0
9102,39,43,41.0
9103,39,43,41.0
9163,39,43,41.0
9163,39,43,41.0
9163,39,43,41.0
9165,39,43,41.0
9165,39,43,41.0
9270,39,43,41.0
9270,39,43,41.0
9271,39,43,41.0
9271,39,43,41.0
9271,39,43,41.0
9297,39,43,41.0
9636,39,43,41.0
9637,39,43,41.0
9978,39,43,41.0
9978,39,43,41.0
9978,39,43,41.0
9979,39,43,41.0
9980,39,43,41.0
10091,39,43,41.0
10314,39,43,41.0
10316,39,43,41.0
10593,40,43,41.5
10593,40,43,41.5
10593,40,44,42.0
10594,40,44,42.0
10594,40,44,42.0
10595,40,44,42.0
10595,40,44,42.0
10596,41,44,42.5
10596,41,43,42.0
10597,41,42,41.5
10597,41,42,41.5
10597,41,42,41.5
10598,41,42,41.5
10609,41,42,41.5
10625,41,42,41.5
10636,41,42,41.5
10637,41,42,41.5
10637,41,42,41.5
10721,41,42,41.5
10732,41,42,41.5
10744,41,42,41.5
10744,41,42,41.5
10744,41,42,41.5
10744,41,42,41.5
10744,41,42,41.5
10744,41,42,41.5
10746,40,42,41.0
10746,40,42,41.0
10764,40,42,41.0
10775,40,42,41.0
10775,40,42,41.0
10775,40,42,41.0
10776,40,42,41.0
10782,40,42,41.0
10782,40,42,41.0
10812,40,42,41.0
10812,40,42,41.0
10937,40,42,41.0
10937,40,42,41.0
10937,40,42,41.0
10944,40,42,41.0
10944,40,42,41.0
10945,40,42,41.0
10945,40,42,41.0
10945,40,42,41.0
10947,40,42,41.0
10962,40,42,41.0
10963,40,42,41.0
11027,40,42,41.0
11037,40,42,41.0
11038,40,42,41.0
11039,40,42,41.0
11045,40,42,41.0
11053,40,42,41.0
11053,40,42,41.0
11054,40,42,41.0
11057,40,42,41.0
11059,40,42,41.0
11075,40,42,41.0
11075,40,42,41.0
11076,40,42,41.0
11124,40,42,41.0
11125,40,42,41.0
11167,40,42,41.0
11315,40,42,41.0
11316,40,42,41.0
11440,40,42,41.0
11441,40,42,41.0
11506,40,42,41.0
11507,40,42,41.0
11551,40,42,41.0
11551,40,42,41.0
11551,40,42,41.0
11551,40,42,41.0
11614,40,42,41.0
11614,40,42,41.0
11632,40,42,41.0
11633,40,42,41.0
11737,40,42,41.0
11737,40,42,41.0
11852,40,42,41.0
11852,40,42,41.0
11853,40,42,41.0
11909,40,42,41.0
11909,40,42,41.0
11984,40,42,41.0
11984,40,42,41.0
11985,40,42,41.0
12141,40,42,41.0
12300,40,42,41.0
12300,40,42,41.0
12300,40,42,41.0
12301,40,42,41.0
12452,40,42,41.0
12487,40,42,41.0
12659,40,42,41.0
12660,40,42,41.0
12661,40,42,41.0
12889,40,42,41.0
13027,40,42,41.0
13027,40,42,41.0
13029,40,42,41.0
13032,40,42,41.0
13354,40,42,41.0
13386,40,42,41.0
13387,40,42,41.0
13388,40,42,41.0
13728,40,42,41.0
13728,40,42,41.0
13729,40,42,41.0
14071,40,42,41.0
14072,40,42,41.0
14073,40,42,41.0
14255,40,42,41.0
14351,40,42,41.0
14427,40,42,41.0
14547,40,42,41.0
14547,40,42,41.0
14547,40,42,41.0
14548,40,42,41.0
14718,40,42,41.0
14727,40,42,41.0
14746,40,42,41.0
14775,40,42,41.0
15096,40,42,41.0
15098,40,42,41.0
15210,40,42,41.0
15210,40,42,41.0
15216,40,42,41.0
15270,40,42,41.0
15271,40,42,41.0
15271,40,42,41.0
15281,40,42,41.0
15326,40,42,41.0
15418,40,42,41.0
15420,40,42,41.0
15422,40,42,41.0
15575,40,42,41.0
15731,40,42,41.0
15732,40,42,41.0
15959,40,42,41.0
15964,40,42,41.0
16069,40,42,41.0
16070,40,42,41.0
16115,40,42,41.0
16122,40,42,41.0
16122,39,42,40.5
16122,39,42,40.5
16122,39,41,40.0
16123,39,41,40.0
16162,39,41,40.0
16168,39,41,40.0
16258,39,41,40.0
16315,39,41,40.0
16325,39,41,40.0
16332,39,41,40.0
16334,39,41,40.0
16387,39,41,40.0
16401,39,41,40.0
16403,39,41,40.0
16430,39,41,40.0
16474,39,41,40.0
16669,39,41,40.0
16699,39,41,40.0
16748,39,41,40.0
16750,39,41,40.0
16844,39,41,40.0
16879,39,41,40.0
16883,39,41,40.0
16889,39,41,40.0
17083,39,41,40.0
17090,39,41,40.0
17091,39,41,40.0
17370,39,41,40.0
17400,39,41,40.0
17429,39,41,40.0
17430,39,41,40.0
17440,39,41,40.0
17561,39,41,40.0
17621,39,41,40.0
17699,39,41,40.0
17760,39,41,40.0
17761,39,41,40.0
18021,39,41,40.0
18090,39,41,40.0
18091,39,41,40.0
18092,39,41,40.0
18157,39,41,40.0
18163,39,41,40.0
