ts_offset_sec,bid,ask,mid
0,62,67,64.5
0,62,67,64.5
0,62,67,64.5
0,62,67,64.5
3,62,67,64.5
3,62,67,64.5
3,62,67,64.5
3,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,67,64.5
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
4,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
5,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
6,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
8,62,68,65.0
11,62,68,65.0
11,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
12,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,68,65.0
13,62,67,64.5
13,62,67,64.5
13,62,67,64.5
13,62,67,64.5
13,62,67,64.5
13,62,67,64.5
13,62,67,64.5
13,62,66,64.0
13,62,66,64.0
13,62,66,64.0
13,62,66,64.0
13,62,66,64.0
13,62,66,64.0
13,62,66,64.0
13,62,66,64.0
14,62,66,64.0
14,62,66,64.0
14,62,66,64.0
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,65,63.5
14,62,64,63.0
14,62,64,63.0
14,62,64,63.0
14,62,64,63.0
14,62,64,63.0
14,62,64,63.0
14,62,64,63.0
14,62,64,63.0
