ts_offset_sec,bid,ask,mid
0,70,73,71.5
0,70,73,71.5
0,70,73,71.5
0,70,73,71.5
0,70,73,71.5
0,70,73,71.5
1,70,73,71.5
1,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
2,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
3,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
4,70,73,71.5
5,70,73,71.5
5,70,73,71.5
5,70,73,71.5
5,70,73,71.5
5,71,73,72.0
5,71,73,72.0
5,71,73,72.0
5,71,73,72.0
5,71,73,72.0
5,71,73,72.0
5,71,73,72.0
5,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
6,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,73,72.0
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
7,71,72,71.5
8,71,72,71.5
8,71,72,71.5
8,71,72,71.5
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
11,70,72,71.0
11,70,72,71.0
11,70,72,71.0
11,70,72,71.0
12,70,72,71.0
13,70,72,71.0
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
13,70,71,70.5
14,70,71,70.5
14,70,71,70.5
14,70,71,70.5
14,70,71,70.5
14,70,71,70.5
14,70,71,70.5
14,70,71,70.5
15,70,71,70.5
15,70,71,70.5
15,70,71,70.5
15,70,71,70.5
16,70,71,70.5
16,70,71,70.5
17,70,71,70.5
17,70,71,70.5
18,70,71,70.5
18,70,71,70.5
19,70,71,70.5
19,70,71,70.5
19,70,71,70.5
19,70,71,70.5
20,70,71,70.5
20,70,71,70.5
20,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,71,70.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
21,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
22,70,73,71.5
23,70,73,71.5
23,70,73,71.5
23,70,73,71.5
23,70,73,71.5
23,70,73,71.5
23,70,73,71.5
23,70,73,71.5
23,70,73,71.5
24,70,73,71.5
24,70,73,71.5
24,70,73,71.5
24,70,73,71.5
26,70,73,71.5
26,70,73,71.5
26,70,73,71.5
26,70,73,71.5
26,70,73,71.5
26,70,73,71.5
26,70,73,71.5
27,70,73,71.5
27,70,73,71.5
27,70,73,71.5
27,70,73,71.5
28,70,73,71.5
28,70,73,71.5
28,70,73,71.5
28,70,73,71.5
28,70,74,72.0
28,70,74,72.0
28,70,74,72.0
28,70,74,72.0
28,70,74,72.0
28,70,74,72.0
28,70,74,72.0
28,70,74,72.0
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,77,73.5
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,76,73.0
28,70,75,72.5
28,70,75,72.5
28,70,75,72.5
28,70,75,72.5
28,70,75,72.5
28,70,75,72.5
28,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
29,70,75,72.5
30,70,75,72.5
30,70,75,72.5
30,70,75,72.5
30,70,75,72.5
30,70,75,72.5
30,70,75,72.5
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,75,73.0
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,74,72.5
30,71,75,73.0
30,71,75,73.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,74,73.0
30,72,74,73.0
30,72,74,73.0
30,72,74,73.0
30,72,74,73.0
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,77,74.5
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
30,72,78,75.0
31,72,78,75.0
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,77,74.5
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
31,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
32,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,71,76,73.5
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
33,72,76,74.0
34,72,76,74.0
34,72,76,74.0
34,72,76,74.0
34,72,76,74.0
34,72,76,74.0
34,72,76,74.0
34,73,76,74.5
34,73,76,74.5
34,73,76,74.5
34,73,76,74.5
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,75,74.0
34,73,74,73.5
34,73,74,73.5
34,73,74,73.5
34,73,74,73.5
34,73,74,73.5
34,73,74,73.5
34,73,74,73.5
35,73,74,73.5
35,73,74,73.5
35,72,74,73.0
35,72,74,73.0
35,72,74,73.0
35,72,74,73.0
35,72,74,73.0
35,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
36,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,74,73.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,72,76,74.0
37,73,76,74.5
37,73,77,75.0
37,73,77,75.0
37,73,77,75.0
37,73,77,75.0
37,73,77,75.0
37,73,77,75.0
37,73,77,75.0
37,73,76,74.5
37,73,76,74.5
37,73,76,74.5
37,73,76,74.5
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,74,76,75.0
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
37,75,76,75.5
38,75,76,75.5
38,75,76,75.5
38,75,76,75.5
38,75,76,75.5
38,75,76,75.5
38,75,76,75.5
38,75,76,75.5
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
38,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,75,77,76.0
39,76,77,76.5
39,76,77,76.5
39,76,77,76.5
39,76,77,76.5
39,76,77,76.5
39,76,77,76.5
39,76,77,76.5
40,76,77,76.5
40,76,77,76.5
40,76,77,76.5
40,76,77,76.5
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
40,76,78,77.0
41,76,78,77.0
41,76,78,77.0
41,76,78,77.0
41,76,78,77.0
41,76,78,77.0
41,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,76,78,77.0
42,75,78,76.5
42,75,78,76.5
42,75,78,76.5
42,75,78,76.5
42,75,78,76.5
42,75,78,76.5
