ts_offset_sec,bid,ask,mid
0,66,67,66.5
0,66,67,66.5
0,66,67,66.5
0,66,67,66.5
0,66,67,66.5
1,66,67,66.5
1,66,67,66.5
4,66,67,66.5
4,66,67,66.5
4,66,67,66.5
4,66,67,66.5
7,66,67,66.5
7,66,67,66.5
38,66,67,66.5
67,66,67,66.5
130,66,67,66.5
130,66,67,66.5
130,66,67,66.5
130,66,67,66.5
130,66,67,66.5
130,66,67,66.5
131,66,67,66.5
132,66,67,66.5
132,66,67,66.5
146,66,67,66.5
146,66,67,66.5
146,66,67,66.5
146,66,67,66.5
146,66,67,66.5
147,66,67,66.5
160,66,67,66.5
161,66,67,66.5
185,66,67,66.5
185,66,67,66.5
185,66,67,66.5
186,66,67,66.5
186,66,67,66.5
186,66,67,66.5
186,66,67,66.5
186,66,67,66.5
186,66,67,66.5
187,66,67,66.5
187,66,67,66.5
187,66,67,66.5
220,66,67,66.5
315,66,67,66.5
382,66,67,66.5
382,66,67,66.5
412,66,67,66.5
412,66,67,66.5
1098,66,67,66.5
1098,66,67,66.5
1098,66,67,66.5
1127,66,67,66.5
1127,66,67,66.5
1137,66,67,66.5
1137,66,67,66.5
1771,66,67,66.5
1771,66,67,66.5
1791,66,67,66.5
1791,66,67,66.5
1801,66,67,66.5
1801,66,67,66.5
2076,66,67,66.5
2105,66,67,66.5
2106,66,67,66.5
2165,66,67,66.5
2421,66,67,66.5
2421,66,67,66.5
2451,66,67,66.5
2451,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
2708,66,67,66.5
3153,66,67,66.5
3153,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3171,66,67,66.5
3172,66,67,66.5
3172,66,67,66.5
3175,66,67,66.5
3175,66,67,66.5
3175,66,67,66.5
3175,66,67,66.5
3182,66,67,66.5
3182,66,67,66.5
3205,66,67,66.5
3455,66,67,66.5
3517,66,67,66.5
3576,66,67,66.5
3577,66,67,66.5
3606,66,67,66.5
3607,66,67,66.5
3636,66,67,66.5
3780,66,67,66.5
3780,66,67,66.5
3780,66,67,66.5
3780,66,67,66.5
3780,66,67,66.5
3780,66,67,66.5
3780,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3781,66,67,66.5
3782,66,67,66.5
3782,66,67,66.5
3783,66,67,66.5
3783,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3789,66,67,66.5
3790,66,67,66.5
3790,66,67,66.5
3790,66,67,66.5
3790,66,67,66.5
3790,66,67,66.5
3792,66,67,66.5
3792,66,67,66.5
3792,66,67,66.5
3792,66,67,66.5
3792,66,67,66.5
3809,66,67,66.5
3809,66,67,66.5
3809,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3811,66,67,66.5
3827,66,67,66.5
3828,66,67,66.5
3829,66,67,66.5
3830,66,67,66.5
3830,66,67,66.5
3830,66,67,66.5
3830,66,67,66.5
3844,66,67,66.5
3844,66,67,66.5
3844,66,67,66.5
3844,66,67,66.5
3844,66,67,66.5
3844,66,67,66.5
3854,66,67,66.5
3854,66,67,66.5
3855,66,67,66.5
3855,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3872,66,67,66.5
3880,66,67,66.5
3880,66,67,66.5
3880,66,67,66.5
3880,66,67,66.5
3882,66,67,66.5
3884,66,67,66.5
3884,66,67,66.5
3889,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3921,66,67,66.5
3930,66,67,66.5
3930,66,67,66.5
3933,66,67,66.5
3933,66,67,66.5
3953,66,67,66.5
3953,66,67,66.5
3953,66,67,66.5
3954,66,67,66.5
3957,66,67,66.5
3966,66,67,66.5
3966,66,67,66.5
3966,66,67,66.5
3966,66,67,66.5
3966,66,67,66.5
3966,66,67,66.5
3981,66,67,66.5
3981,66,67,66.5
3981,66,67,66.5
3982,66,67,66.5
3982,66,67,66.5
3983,66,67,66.5
3984,66,67,66.5
3990,66,67,66.5
3990,66,67,66.5
3990,66,67,66.5
3990,66,67,66.5
3990,66,67,66.5
4011,66,67,66.5
4011,66,67,66.5
4011,66,67,66.5
4095,66,67,66.5
4095,66,67,66.5
4395,66,67,66.5
4395,66,67,66.5
4395,66,67,66.5
4395,66,67,66.5
4545,66,67,66.5
4545,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4565,66,67,66.5
4575,66,67,66.5
4575,66,67,66.5
4575,66,67,66.5
4575,66,67,66.5
4595,66,67,66.5
4595,66,67,66.5
4595,66,67,66.5
4597,66,67,66.5
4597,66,67,66.5
4597,66,67,66.5
4597,66,67,66.5
4597,66,67,66.5
4597,66,67,66.5
4597,66,67,66.5
4598,66,67,66.5
4600,66,67,66.5
4600,66,67,66.5
4600,66,67,66.5
4600,66,67,66.5
4603,66,67,66.5
4605,66,67,66.5
4605,66,67,66.5
4605,66,67,66.5
4607,66,67,66.5
4607,66,67,66.5
4617,66,67,66.5
4617,66,67,66.5
4617,66,67,66.5
4625,66,67,66.5
4625,66,67,66.5
4629,66,67,66.5
4643,66,67,66.5
4664,66,67,66.5
4670,66,67,66.5
4670,66,67,66.5
4670,66,67,66.5
4670,66,67,66.5
4670,66,67,66.5
4670,66,67,66.5
4670,66,67,66.5
4673,66,67,66.5
4673,66,67,66.5
4696,66,67,66.5
4697,66,67,66.5
4697,66,67,66.5
4697,66,67,66.5
4697,66,67,66.5
4697,66,67,66.5
4697,66,67,66.5
4700,66,67,66.5
4700,66,67,66.5
4700,66,67,66.5
4700,66,67,66.5
4700,66,67,66.5
4755,66,67,66.5
4755,66,67,66.5
4755,66,67,66.5
4755,66,67,66.5
4755,66,67,66.5
4976,66,67,66.5
4976,66,67,66.5
4976,66,67,66.5
4976,66,67,66.5
4977,66,67,66.5
4977,66,67,66.5
4977,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
5027,66,67,66.5
