ts_offset_sec,bid,ask,mid
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
0,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
30,32,33,32.5
60,32,33,32.5
60,32,33,32.5
60,32,33,32.5
60,32,33,32.5
60,32,33,32.5
60,32,33,32.5
60,32,33,32.5
60,32,33,32.5
90,32,33,32.5
90,32,33,32.5
90,32,33,32.5
90,32,33,32.5
90,32,33,32.5
91,32,33,32.5
91,32,33,32.5
91,32,33,32.5
91,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
136,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
162,32,33,32.5
163,32,33,32.5
163,32,33,32.5
163,32,33,32.5
163,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
166,32,33,32.5
174,32,33,32.5
174,32,33,32.5
174,32,33,32.5
174,32,33,32.5
174,32,33,32.5
174,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
184,32,33,32.5
186,32,33,32.5
188,32,33,32.5
188,32,33,32.5
188,32,33,32.5
188,32,33,32.5
188,32,33,32.5
193,32,33,32.5
193,32,33,32.5
193,32,33,32.5
193,32,33,32.5
193,32,33,32.5
193,32,33,32.5
193,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
196,32,33,32.5
226,32,33,32.5
226,32,33,32.5
226,32,33,32.5
226,32,33,32.5
226,32,33,32.5
226,32,33,32.5
