ts_offset_sec,bid,ask,mid
0,68,69,68.5
0,68,69,68.5
3,68,69,68.5
3,68,69,68.5
3,68,69,68.5
12,68,69,68.5
12,68,69,68.5
20,68,69,68.5
21,68,69,68.5
92,68,69,68.5
135,68,69,68.5
345,68,70,69.0
345,68,70,69.0
346,68,70,69.0
346,68,70,69.0
346,68,70,69.0
347,68,70,69.0
373,68,70,69.0
373,68,70,69.0
373,68,70,69.0
599,68,70,69.0
599,68,70,69.0
599,68,70,69.0
600,68,70,69.0
629,68,70,69.0
629,68,70,69.0
629,68,70,69.0
750,68,70,69.0
906,68,70,69.0
911,68,70,69.0
911,68,70,69.0
1074,68,70,69.0
1153,68,70,69.0
1153,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1199,68,70,69.0
1217,68,70,69.0
1225,68,70,69.0
1226,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1229,68,70,69.0
1404,68,70,69.0
1724,68,70,69.0
1892,68,70,69.0
2058,68,70,69.0
2059,68,70,69.0
2215,68,70,69.0
2215,68,70,69.0
2215,68,70,69.0
2216,68,70,69.0
2219,68,70,69.0
2219,68,70,69.0
2222,68,70,69.0
2222,68,70,69.0
2222,68,70,69.0
2222,68,70,69.0
2223,68,70,69.0
2223,68,70,69.0
2223,68,70,69.0
2223,68,70,69.0
2224,68,70,69.0
2224,68,70,69.0
2227,68,70,69.0
2227,68,70,69.0
2227,68,70,69.0
2232,68,70,69.0
2232,68,70,69.0
2235,68,70,69.0
2235,68,70,69.0
2235,68,70,69.0
2237,68,70,69.0
2249,68,70,69.0
2249,68,70,69.0
2249,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2250,68,70,69.0
2251,68,70,69.0
2251,68,70,69.0
2255,68,70,69.0
2255,68,70,69.0
2256,68,70,69.0
2256,68,70,69.0
2256,68,70,69.0
2257,68,70,69.0
2257,68,70,69.0
2257,68,70,69.0
2258,68,70,69.0
2258,68,70,69.0
2258,68,70,69.0
2258,68,70,69.0
2258,68,70,69.0
2264,68,70,69.0
2264,68,70,69.0
2267,68,70,69.0
2267,68,70,69.0
2269,68,70,69.0
2269,68,70,69.0
2306,68,70,69.0
2306,68,70,69.0
2318,68,70,69.0
2318,68,70,69.0
2324,68,70,69.0
2324,68,70,69.0
2324,68,70,69.0
2324,68,70,69.0
2324,68,70,69.0
2325,68,70,69.0
2325,68,70,69.0
2326,68,70,69.0
2326,68,70,69.0
2326,68,70,69.0
2326,68,70,69.0
2326,68,70,69.0
2326,68,70,69.0
2329,68,70,69.0
2329,68,70,69.0
2329,68,70,69.0
2335,68,70,69.0
2335,68,70,69.0
2335,68,70,69.0
2343,68,70,69.0
2354,68,70,69.0
2355,68,70,69.0
2364,68,70,69.0
2364,68,70,69.0
2365,68,70,69.0
2365,68,70,69.0
2365,68,70,69.0
2365,68,70,69.0
2366,68,70,69.0
2366,68,70,69.0
2366,68,70,69.0
2370,68,70,69.0
2370,68,70,69.0
2370,68,70,69.0
2373,68,70,69.0
2374,68,70,69.0
2374,68,70,69.0
2375,68,70,69.0
2378,68,70,69.0
2379,68,70,69.0
2383,68,70,69.0
2383,68,70,69.0
2383,68,70,69.0
2396,68,70,69.0
2397,68,70,69.0
2403,68,70,69.0
2404,68,70,69.0
2404,68,70,69.0
2406,68,70,69.0
2412,68,70,69.0
2412,68,70,69.0
2412,68,70,69.0
2412,68,70,69.0
2415,68,70,69.0
2415,68,70,69.0
2415,68,70,69.0
2415,68,70,69.0
2432,68,70,69.0
2433,68,70,69.0
2433,68,70,69.0
2443,68,70,69.0
2443,68,70,69.0
2444,68,70,69.0
2445,68,70,69.0
2447,68,70,69.0
2447,68,70,69.0
2451,68,70,69.0
2451,68,70,69.0
2451,68,70,69.0
2451,68,70,69.0
2451,68,70,69.0
2453,68,70,69.0
2453,68,70,69.0
2454,68,70,69.0
2454,68,70,69.0
2456,68,70,69.0
2456,68,70,69.0
2458,68,70,69.0
2458,68,70,69.0
2459,68,70,69.0
2460,68,70,69.0
2460,68,70,69.0
2460,68,70,69.0
2461,68,70,69.0
2461,68,70,69.0
2465,68,70,69.0
2465,68,70,69.0
2465,68,70,69.0
2465,68,70,69.0
2466,68,70,69.0
2466,68,70,69.0
2467,68,70,69.0
2467,68,70,69.0
2467,68,70,69.0
2467,68,70,69.0
2467,68,70,69.0
2468,68,70,69.0
2468,68,70,69.0
2468,68,70,69.0
2468,68,70,69.0
2473,68,70,69.0
2473,68,70,69.0
2473,68,70,69.0
2474,68,70,69.0
2474,68,70,69.0
2474,68,70,69.0
2476,68,70,69.0
2476,68,70,69.0
2476,68,70,69.0
2476,68,70,69.0
2476,68,70,69.0
2477,68,70,69.0
2477,68,70,69.0
2480,68,70,69.0
2481,68,70,69.0
2487,68,70,69.0
2487,68,70,69.0
2505,68,70,69.0
2505,68,70,69.0
