ts_offset_sec,bid,ask,mid
0,72,73,72.5
0,72,73,72.5
0,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
1,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
2,72,73,72.5
3,72,73,72.5
3,72,73,72.5
3,72,73,72.5
5,72,73,72.5
5,72,73,72.5
5,72,73,72.5
5,72,73,72.5
5,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
6,72,73,72.5
7,72,73,72.5
8,72,73,72.5
9,72,73,72.5
9,72,73,72.5
10,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
11,72,73,72.5
12,72,73,72.5
13,72,73,72.5
13,72,73,72.5
14,72,73,72.5
14,72,73,72.5
16,72,73,72.5
16,72,73,72.5
16,72,73,72.5
17,72,73,72.5
17,72,73,72.5
17,72,73,72.5
18,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
19,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
20,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
21,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
22,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
23,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
24,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
25,72,73,72.5
26,72,73,72.5
26,72,73,72.5
