ts_offset_sec,bid,ask,mid
0,26,28,27.0
0,26,28,27.0
0,26,28,27.0
39,26,28,27.0
39,26,28,27.0
39,26,28,27.0
39,26,28,27.0
39,26,28,27.0
40,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
42,26,28,27.0
66,26,28,27.0
66,26,28,27.0
66,26,29,27.5
66,26,30,28.0
66,26,30,28.0
66,26,30,28.0
66,26,30,28.0
66,26,30,28.0
66,26,30,28.0
67,26,30,28.0
67,26,30,28.0
67,26,30,28.0
67,26,30,28.0
67,27,39,33.0
67,27,39,33.0
67,27,46,36.5
67,27,31,29.0
68,27,30,28.5
68,26,30,28.0
68,26,30,28.0
68,26,30,28.0
68,26,30,28.0
70,26,30,28.0
112,26,30,28.0
112,26,30,28.0
112,26,30,28.0
113,26,30,28.0
114,26,30,28.0
177,26,30,28.0
178,26,30,28.0
178,26,30,28.0
180,26,30,28.0
181,26,30,28.0
183,26,30,28.0
183,26,30,28.0
183,26,30,28.0
183,26,30,28.0
183,27,30,28.5
184,27,30,28.5
184,27,30,28.5
184,27,30,28.5
184,27,30,28.5
184,27,30,28.5
184,27,30,28.5
184,27,30,28.5
185,27,30,28.5
185,27,30,28.5
185,27,30,28.5
185,27,30,28.5
185,27,30,28.5
198,27,30,28.5
198,27,30,28.5
198,27,30,28.5
198,27,30,28.5
202,27,30,28.5
202,27,30,28.5
202,27,30,28.5
204,27,30,28.5
208,27,30,28.5
217,27,30,28.5
218,27,30,28.5
218,27,30,28.5
219,27,30,28.5
223,27,30,28.5
366,27,30,28.5
366,27,30,28.5
366,27,30,28.5
394,27,30,28.5
394,27,30,28.5
394,27,30,28.5
396,27,30,28.5
396,27,29,28.0
396,27,29,28.0
396,27,29,28.0
396,27,29,28.0
396,27,29,28.0
397,27,29,28.0
397,27,29,28.0
397,27,29,28.0
397,27,29,28.0
536,27,29,28.0
536,27,29,28.0
536,27,29,28.0
537,27,29,28.0
537,27,29,28.0
543,27,29,28.0
543,27,29,28.0
551,27,29,28.0
708,27,29,28.0
709,27,29,28.0
710,27,29,28.0
710,27,29,28.0
712,27,29,28.0
712,27,29,28.0
713,27,29,28.0
718,27,29,28.0
718,27,29,28.0
948,27,29,28.0
953,27,29,28.0
953,27,29,28.0
956,27,29,28.0
956,27,29,28.0
957,27,29,28.0
957,27,29,28.0
959,27,29,28.0
967,27,29,28.0
972,27,29,28.0
998,27,29,28.0
999,27,29,28.0
1001,27,29,28.0
1325,27,29,28.0
1325,27,29,28.0
1327,27,29,28.0
1327,27,29,28.0
1327,27,29,28.0
1328,27,29,28.0
1329,27,29,28.0
1353,27,29,28.0
1576,27,29,28.0
1576,27,29,28.0
1691,27,29,28.0
1696,27,29,28.0
1718,27,29,28.0
1723,27,29,28.0
1723,27,29,28.0
1723,27,29,28.0
1724,27,29,28.0
1724,27,29,28.0
1762,27,29,28.0
1780,27,29,28.0
1781,27,29,28.0
1781,27,29,28.0
1781,27,29,28.0
1878,27,29,28.0
1908,27,29,28.0
1942,27,29,28.0
1943,27,29,28.0
1943,27,29,28.0
1943,27,29,28.0
1944,27,29,28.0
1944,27,29,28.0
1945,27,29,28.0
2272,27,29,28.0
2361,27,29,28.0
2474,27,29,28.0
2537,27,29,28.0
2541,27,29,28.0
2620,27,29,28.0
2950,27,29,28.0
2950,27,29,28.0
2950,27,29,28.0
3073,27,29,28.0
3073,27,29,28.0
3078,27,29,28.0
3178,27,29,28.0
3208,27,29,28.0
3292,27,29,28.0
3292,27,29,28.0
3293,27,29,28.0
3294,27,29,28.0
3295,27,29,28.0
3296,27,29,28.0
3297,27,29,28.0
3867,27,29,28.0
3875,27,29,28.0
3896,27,29,28.0
4010,27,29,28.0
4010,27,29,28.0
4458,27,29,28.0
4458,27,29,28.0
4458,27,29,28.0
4462,27,29,28.0
4465,27,29,28.0
4465,27,29,28.0
4468,27,29,28.0
4469,27,29,28.0
4542,27,29,28.0
4571,27,29,28.0
4697,27,29,28.0
5219,27,29,28.0
5219,27,29,28.0
5249,27,29,28.0
5752,27,29,28.0
5753,27,29,28.0
5754,27,29,28.0
5754,27,29,28.0
5756,27,29,28.0
5756,27,29,28.0
5758,27,29,28.0
5758,27,29,28.0
5855,27,29,28.0
5855,27,29,28.0
5873,27,29,28.0
5894,27,29,28.0
5896,27,29,28.0
5902,27,29,28.0
5938,27,29,28.0
6010,27,29,28.0
6010,27,29,28.0
6011,27,29,28.0
6058,27,29,28.0
6101,27,29,28.0
6101,27,29,28.0
6151,27,29,28.0
6151,27,29,28.0
6151,27,29,28.0
6152,27,29,28.0
6152,27,29,28.0
6155,27,29,28.0
6155,27,29,28.0
6156,27,29,28.0
6163,27,29,28.0
6163,27,29,28.0
6197,27,29,28.0
6197,27,29,28.0
6197,27,29,28.0
6198,27,29,28.0
6198,27,29,28.0
6198,27,29,28.0
6205,27,29,28.0
6219,27,29,28.0
6228,27,29,28.0
6233,27,29,28.0
6258,27,29,28.0
6258,27,29,28.0
6304,27,29,28.0
6362,27,29,28.0
6362,27,29,28.0
6362,27,29,28.0
6364,27,29,28.0
6365,27,29,28.0
6366,27,29,28.0
6370,27,29,28.0
6419,27,29,28.0
6450,27,29,28.0
6450,27,29,28.0
6451,27,29,28.0
6451,27,29,28.0
6452,27,29,28.0
6453,27,29,28.0
6455,27,29,28.0
6455,27,29,28.0
6455,27,29,28.0
6459,27,29,28.0
6466,27,29,28.0
6468,27,29,28.0
6474,27,29,28.0
6476,27,29,28.0
6664,27,29,28.0
6753,27,29,28.0
6753,27,29,28.0
6753,28,29,28.5
6753,28,29,28.5
6753,28,29,28.5
6753,28,29,28.5
6753,28,29,28.5
6754,28,29,28.5
6754,28,29,28.5
6754,28,29,28.5
6776,28,29,28.5
6776,28,29,28.5
6777,28,29,28.5
6786,28,29,28.5
6859,28,29,28.5
6986,28,29,28.5
6987,28,29,28.5
6990,28,29,28.5
6990,28,29,28.5
6991,28,29,28.5
6991,28,29,28.5
6995,28,29,28.5
7030,28,29,28.5
7136,28,29,28.5
7136,28,29,28.5
7137,28,29,28.5
7158,28,29,28.5
7261,28,29,28.5
7261,28,29,28.5
7261,28,29,28.5
