ts_offset_sec,bid,ask,mid
0,30,31,30.5
0,30,31,30.5
0,30,31,30.5
2,30,31,30.5
2,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
5,30,31,30.5
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,27,31,29.0
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,29,31,30.0
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
6,30,31,30.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
11,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,29,31,30.0
12,29,31,30.0
12,29,31,30.0
12,29,31,30.0
13,28,31,29.5
13,28,31,29.5
13,28,31,29.5
13,28,31,29.5
13,28,31,29.5
13,29,31,30.0
13,29,31,30.0
13,29,31,30.0
13,29,31,30.0
14,28,31,29.5
14,28,31,29.5
15,28,31,29.5
17,28,31,29.5
17,28,31,29.5
17,29,31,30.0
17,29,31,30.0
17,29,31,30.0
17,29,31,30.0
17,29,31,30.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,28,27.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,26,30,28.0
19,27,28,27.5
19,27,28,27.5
19,27,28,27.5
19,27,28,27.5
19,27,28,27.5
19,27,28,27.5
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,29,28.0
19,27,30,28.5
19,27,30,28.5
19,27,30,28.5
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,30,29.0
19,28,31,29.5
19,28,31,29.5
19,28,31,29.5
19,28,31,29.5
19,29,31,30.0
19,29,31,30.0
19,29,31,30.0
19,29,31,30.0
19,29,31,30.0
19,29,31,30.0
19,29,31,30.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
20,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,26,28,27.0
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
21,27,28,27.5
22,27,28,27.5
22,27,28,27.5
22,27,28,27.5
22,27,28,27.5
22,27,28,27.5
22,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
23,27,28,27.5
24,27,28,27.5
25,27,28,27.5
25,27,28,27.5
26,27,28,27.5
26,27,28,27.5
27,27,28,27.5
28,27,28,27.5
28,27,28,27.5
28,27,28,27.5
28,27,28,27.5
28,27,28,27.5
28,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
31,27,28,27.5
34,27,28,27.5
35,27,28,27.5
36,27,28,27.5
36,27,28,27.5
36,27,28,27.5
37,27,28,27.5
39,27,28,27.5
39,27,28,27.5
39,27,28,27.5
39,27,28,27.5
39,27,28,27.5
39,27,28,27.5
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,26,28,27.0
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
40,27,28,27.5
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
41,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
42,26,28,27.0
