ts_offset_sec,bid,ask,mid
0,35,40,37.5
0,35,40,37.5
45,35,40,37.5
57,35,41,38.0
57,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,41,40.5
58,40,42,41.0
58,40,42,41.0
58,40,42,41.0
58,40,42,41.0
58,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
59,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,42,41.0
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
60,40,43,41.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,41,40.5
61,40,42,41.0
61,40,42,41.0
61,40,42,41.0
61,40,42,41.0
62,40,41,40.5
63,40,41,40.5
110,40,41,40.5
110,40,41,40.5
110,40,41,40.5
138,40,41,40.5
157,40,41,40.5
157,40,41,40.5
158,40,41,40.5
158,40,41,40.5
158,40,41,40.5
158,40,41,40.5
158,40,41,40.5
158,40,41,40.5
158,40,41,40.5
158,40,41,40.5
159,40,41,40.5
159,40,41,40.5
159,40,41,40.5
167,40,41,40.5
168,40,41,40.5
169,40,41,40.5
172,40,41,40.5
182,40,41,40.5
182,40,41,40.5
182,40,41,40.5
182,40,41,40.5
182,40,41,40.5
182,40,41,40.5
182,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
226,40,41,40.5
229,40,41,40.5
229,40,41,40.5
229,40,41,40.5
229,40,41,40.5
229,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
348,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
384,40,41,40.5
385,40,41,40.5
385,40,41,40.5
385,40,41,40.5
385,40,41,40.5
385,40,41,40.5
386,40,41,40.5
386,40,41,40.5
386,40,41,40.5
386,40,41,40.5
584,40,41,40.5
584,40,41,40.5
584,40,41,40.5
684,40,41,40.5
684,40,41,40.5
684,40,41,40.5
737,40,41,40.5
737,40,41,40.5
766,40,41,40.5
766,40,41,40.5
934,40,41,40.5
934,40,41,40.5
934,40,41,40.5
934,40,41,40.5
934,40,41,40.5
934,40,41,40.5
935,40,41,40.5
936,40,41,40.5
936,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1044,40,41,40.5
1200,37,41,39.0
1200,37,41,39.0
1200,37,41,39.0
1200,37,41,39.0
1200,37,41,39.0
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,40,38.5
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1201,37,41,39.0
1202,37,40,38.5
