ts_offset_sec,bid,ask,mid
0,30,31,30.5
0,30,31,30.5
0,30,31,30.5
0,30,31,30.5
0,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
1,30,31,30.5
2,30,31,30.5
2,30,31,30.5
2,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,31,30.5
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
3,30,32,31.0
4,30,32,31.0
4,30,32,31.0
4,30,32,31.0
4,30,32,31.0
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
4,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
5,30,33,31.5
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,32,31.0
6,30,33,31.5
6,30,33,31.5
7,30,32,31.0
7,30,32,31.0
7,30,32,31.0
7,30,32,31.0
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,31,30.5
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
8,30,32,31.0
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
9,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,31,30.5
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
10,30,32,31.0
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
11,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
12,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
13,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
14,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
15,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
16,30,31,30.5
17,30,31,30.5
17,30,31,30.5
17,30,31,30.5
17,30,31,30.5
18,30,31,30.5
18,30,31,30.5
18,30,31,30.5
18,30,31,30.5
18,30,31,30.5
18,30,31,30.5
18,30,31,30.5
19,30,31,30.5
19,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,31,30.5
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,32,31.0
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
20,30,33,31.5
