ts_offset_sec,bid,ask,mid
0,80,82,81.0
2,80,82,81.0
2,80,82,81.0
2,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
3,80,82,81.0
4,80,82,81.0
4,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
7,80,82,81.0
8,80,82,81.0
8,80,82,81.0
9,80,82,81.0
9,80,82,81.0
9,80,82,81.0
9,80,82,81.0
9,80,82,81.0
9,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
11,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
12,80,82,81.0
13,80,82,81.0
14,80,82,81.0
14,80,82,81.0
14,80,82,81.0
14,80,82,81.0
14,80,82,81.0
14,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
20,80,82,81.0
21,80,82,81.0
21,80,82,81.0
21,80,82,81.0
22,79,81,80.0
22,79,81,80.0
22,79,81,80.0
22,79,81,80.0
22,79,81,80.0
22,79,81,80.0
22,79,81,80.0
22,79,81,80.0
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,79,82,80.5
22,80,82,81.0
22,80,82,81.0
22,80,82,81.0
22,80,82,81.0
22,80,82,81.0
22,80,82,81.0
23,79,81,80.0
23,79,81,80.0
24,79,81,80.0
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,82,80.5
24,79,83,81.0
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,85,82.0
24,79,86,82.5
24,79,86,82.5
24,79,86,82.5
24,80,82,81.0
24,80,83,81.5
24,80,83,81.5
24,80,83,81.5
24,80,83,81.5
24,80,83,81.5
24,80,83,81.5
24,80,83,81.5
24,80,83,81.5
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,82,83,82.5
24,83,84,83.5
24,83,84,83.5
