ts_offset_sec,bid,ask,mid
0,39,40,39.5
0,39,40,39.5
0,39,40,39.5
0,39,40,39.5
1,39,40,39.5
1,39,40,39.5
1,39,40,39.5
1,39,40,39.5
1,39,40,39.5
1,39,40,39.5
1,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
4,39,40,39.5
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,38,40,39.0
5,39,40,39.5
5,39,40,39.5
5,39,40,39.5
5,39,40,39.5
5,39,40,39.5
5,39,40,39.5
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
6,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
7,38,40,39.0
8,38,39,38.5
8,38,39,38.5
8,38,39,38.5
8,38,39,38.5
8,38,39,38.5
8,38,39,38.5
8,38,39,38.5
8,38,39,38.5
8,38,40,39.0
8,38,40,39.0
8,38,40,39.0
9,38,39,38.5
9,38,39,38.5
9,38,39,38.5
9,38,39,38.5
9,38,39,38.5
9,38,39,38.5
9,38,39,38.5
9,38,39,38.5
9,38,40,39.0
9,38,40,39.0
9,38,40,39.0
9,38,40,39.0
9,38,40,39.0
9,38,40,39.0
9,38,40,39.0
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
10,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
11,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
12,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
13,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
14,38,39,38.5
15,38,39,38.5
15,38,39,38.5
15,38,39,38.5
16,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
17,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
18,38,39,38.5
