ts_offset_sec,bid,ask,mid
0,57,58,57.5
0,57,58,57.5
2,57,58,57.5
2,57,58,57.5
2,57,58,57.5
3,57,58,57.5
4,57,58,57.5
4,57,58,57.5
4,57,58,57.5
4,57,58,57.5
4,57,58,57.5
4,57,58,57.5
4,57,58,57.5
4,57,58,57.5
5,57,58,57.5
5,57,58,57.5
5,57,58,57.5
5,57,58,57.5
5,57,58,57.5
7,51,58,54.5
7,51,58,54.5
7,53,58,55.5
7,53,58,55.5
7,53,58,55.5
7,53,58,55.5
7,53,58,55.5
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,54,58,56.0
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,55,58,56.5
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,56,58,57.0
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
7,57,58,57.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,57,55.5
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
8,54,58,56.0
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
9,54,57,55.5
11,54,57,55.5
11,54,57,55.5
11,54,57,55.5
