ts_offset_sec,bid,ask,mid
0,33,36,34.5
0,33,36,34.5
0,33,36,34.5
0,33,36,34.5
0,33,36,34.5
0,33,36,34.5
0,33,36,34.5
4,29,37,33.0
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,30,37,33.5
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,31,37,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,36,34.0
4,32,37,34.5
4,32,37,34.5
4,33,36,34.5
4,33,36,34.5
4,33,36,34.5
5,23,38,30.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,25,38,31.5
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,26,38,32.0
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,37,33.5
5,30,38,34.0
5,30,38,34.0
5,30,38,34.0
5,30,38,34.0
5,30,38,34.0
5,30,38,34.0
6,26,38,32.0
6,26,38,32.0
6,26,38,32.0
6,26,38,32.0
6,26,38,32.0
6,26,38,32.0
6,26,38,32.0
6,26,38,32.0
7,26,38,32.0
7,26,38,32.0
7,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
9,26,38,32.0
10,23,38,30.5
10,23,38,30.5
10,23,38,30.5
10,23,38,30.5
10,23,38,30.5
10,23,38,30.5
10,24,33,28.5
