ts_offset_sec,bid,ask,mid
0,73,75,74.0
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,74,73.5
1,73,75,74.0
1,73,75,74.0
1,73,75,74.0
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
2,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
3,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
4,73,74,73.5
5,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
8,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
9,73,74,73.5
10,73,74,73.5
10,73,74,73.5
11,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
13,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
14,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
20,73,74,73.5
21,73,74,73.5
21,73,74,73.5
21,73,74,73.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,73,70.5
30,68,74,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,69,73,71.0
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
30,73,74,73.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,72,70.5
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
31,69,73,71.0
32,69,71,70.0
32,69,71,70.0
32,69,71,70.0
32,69,71,70.0
32,69,71,70.0
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
32,69,72,70.5
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
33,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
34,69,71,70.0
35,69,71,70.0
35,69,71,70.0
35,69,71,70.0
35,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
36,69,71,70.0
37,69,71,70.0
37,69,71,70.0
37,69,71,70.0
38,69,71,70.0
39,69,71,70.0
39,69,71,70.0
39,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
40,69,71,70.0
47,69,71,70.0
47,69,71,70.0
