ts_offset_sec,bid,ask,mid
0,34,36,35.0
1,34,36,35.0
1,34,36,35.0
1,34,36,35.0
1,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
2,34,36,35.0
3,34,36,35.0
3,34,36,35.0
3,34,36,35.0
4,34,36,35.0
4,34,36,35.0
4,34,36,35.0
4,34,36,35.0
4,34,36,35.0
4,34,36,35.0
4,34,36,35.0
4,34,36,35.0
