ts_offset_sec,bid,ask,mid
0,70,72,71.0
0,70,72,71.0
0,70,72,71.0
0,70,72,71.0
2,70,72,71.0
2,70,72,71.0
2,70,72,71.0
2,70,72,71.0
2,70,72,71.0
2,70,72,71.0
4,70,72,71.0
4,70,72,71.0
4,70,72,71.0
4,70,72,71.0
4,70,72,71.0
4,70,72,71.0
4,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
5,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
6,70,72,71.0
8,70,72,71.0
8,70,72,71.0
8,70,72,71.0
8,70,72,71.0
8,70,72,71.0
8,70,72,71.0
8,70,72,71.0
8,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
9,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
10,70,72,71.0
11,70,72,71.0
11,70,72,71.0
11,70,72,71.0
11,70,72,71.0
12,70,72,71.0
12,70,72,71.0
12,70,72,71.0
13,70,72,71.0
13,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
14,70,72,71.0
15,70,72,71.0
15,70,72,71.0
15,70,72,71.0
15,70,72,71.0
16,70,72,71.0
16,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
17,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
18,70,72,71.0
19,70,72,71.0
19,70,72,71.0
19,70,72,71.0
19,70,72,71.0
19,70,72,71.0
19,70,72,71.0
19,70,72,71.0
20,70,72,71.0
20,70,72,71.0
20,70,72,71.0
21,70,72,71.0
21,70,72,71.0
22,70,72,71.0
22,70,72,71.0
22,70,72,71.0
22,70,72,71.0
22,70,72,71.0
22,70,72,71.0
23,70,72,71.0
23,70,72,71.0
23,70,72,71.0
23,70,72,71.0
24,70,72,71.0
24,70,72,71.0
24,70,72,71.0
24,70,72,71.0
24,70,72,71.0
24,70,72,71.0
25,70,72,71.0
25,70,72,71.0
26,70,72,71.0
26,70,72,71.0
27,70,72,71.0
27,70,72,71.0
28,70,72,71.0
28,70,72,71.0
29,70,72,71.0
29,70,72,71.0
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,72,71.5
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,77,74.0
30,71,78,74.5
30,71,78,74.5
30,71,78,74.5
30,71,79,75.0
30,71,79,75.0
30,71,79,75.0
30,71,79,75.0
30,71,79,75.0
30,71,79,75.0
30,71,79,75.0
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
30,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,72,79,75.5
31,74,78,76.0
31,74,78,76.0
31,74,78,76.0
31,74,78,76.0
31,74,78,76.0
31,74,78,76.0
31,74,78,76.0
31,74,78,76.0
31,74,79,76.5
32,74,78,76.0
32,74,78,76.0
32,74,78,76.0
32,74,78,76.0
32,74,78,76.0
33,74,77,75.5
33,74,77,75.5
33,74,77,75.5
33,74,77,75.5
33,74,77,75.5
33,74,78,76.0
33,74,78,76.0
33,74,78,76.0
33,74,78,76.0
33,74,78,76.0
33,74,78,76.0
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
34,74,77,75.5
35,74,77,75.5
35,74,77,75.5
35,74,77,75.5
35,74,77,75.5
36,74,77,75.5
36,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
37,74,77,75.5
38,74,77,75.5
39,74,77,75.5
39,74,77,75.5
39,74,77,75.5
39,74,77,75.5
39,74,77,75.5
39,74,77,75.5
39,74,77,75.5
39,74,77,75.5
