ts_offset_sec,bid,ask,mid
0,17,20,18.5
0,17,20,18.5
0,17,20,18.5
0,17,20,18.5
1,17,20,18.5
1,17,20,18.5
1,17,20,18.5
1,17,20,18.5
1,17,20,18.5
1,17,20,18.5
2,17,20,18.5
2,17,20,18.5
2,17,20,18.5
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,18,17.0
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,19,17.5
4,16,20,18.0
4,16,20,18.0
4,16,20,18.0
4,17,19,18.0
4,17,19,18.0
4,17,19,18.0
4,17,19,18.0
4,17,19,18.0
4,17,19,18.0
4,17,19,18.0
4,17,19,18.0
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
4,17,20,18.5
5,16,18,17.0
5,16,18,17.0
5,16,18,17.0
5,16,18,17.0
5,16,18,17.0
5,16,18,17.0
5,16,18,17.0
5,16,19,17.5
5,16,19,17.5
5,16,19,17.5
5,16,19,17.5
5,16,19,17.5
5,16,19,17.5
5,16,19,17.5
5,16,19,17.5
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,20,18.0
5,16,21,18.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,17,16.5
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,18,17.0
6,16,19,17.5
6,16,19,17.5
6,16,19,17.5
6,16,19,17.5
6,16,19,17.5
6,16,19,17.5
7,16,19,17.5
7,16,19,17.5
7,16,19,17.5
7,16,19,17.5
7,16,19,17.5
7,16,19,17.5
7,16,20,18.0
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,20,18.5
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,17,21,19.0
7,18,20,19.0
7,18,20,19.0
7,18,20,19.0
7,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,20,19.0
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
8,18,21,19.5
9,16,21,18.5
9,16,21,18.5
9,17,21,19.0
9,17,21,19.0
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
9,18,21,19.5
10,16,20,18.0
10,16,21,18.5
10,16,21,18.5
10,17,20,18.5
10,17,20,18.5
10,17,20,18.5
10,17,20,18.5
10,17,20,18.5
10,17,21,19.0
10,17,21,19.0
10,17,21,19.0
10,17,21,19.0
10,17,21,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
10,18,20,19.0
11,16,21,18.5
11,17,20,18.5
11,17,20,18.5
11,17,20,18.5
11,17,20,18.5
11,17,20,18.5
11,17,20,18.5
11,17,20,18.5
11,17,20,18.5
11,17,21,19.0
11,17,21,19.0
