ts_offset_sec,bid,ask,mid
0,69,74,71.5
0,69,74,71.5
0,69,74,71.5
0,69,74,71.5
2,69,74,71.5
2,69,74,71.5
2,69,74,71.5
2,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
4,69,74,71.5
6,69,74,71.5
6,69,74,71.5
6,69,74,71.5
6,69,74,71.5
8,69,74,71.5
8,69,74,71.5
8,69,74,71.5
8,69,74,71.5
10,69,74,71.5
10,69,74,71.5
10,69,74,71.5
10,69,74,71.5
12,69,74,71.5
12,69,74,71.5
12,69,74,71.5
12,69,74,71.5
14,69,74,71.5
14,69,74,71.5
14,69,74,71.5
14,69,74,71.5
15,69,74,71.5
15,69,74,71.5
16,69,74,71.5
16,69,74,71.5
16,69,74,71.5
16,69,74,71.5
18,69,74,71.5
18,69,74,71.5
18,69,74,71.5
18,69,74,71.5
20,69,74,71.5
20,69,74,71.5
20,69,74,71.5
20,69,74,71.5
23,69,74,71.5
23,69,74,71.5
23,69,74,71.5
23,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
25,69,74,71.5
27,69,74,71.5
27,69,74,71.5
27,69,74,71.5
27,69,74,71.5
29,69,74,71.5
29,69,74,71.5
29,69,74,71.5
29,69,74,71.5
30,69,74,71.5
30,69,84,76.5
30,69,85,77.0
30,69,85,77.0
30,69,85,77.0
30,69,85,77.0
30,69,85,77.0
30,69,86,77.5
30,69,86,77.5
30,69,86,77.5
30,69,86,77.5
30,69,86,77.5
30,69,87,78.0
31,69,80,74.5
31,69,80,74.5
31,69,80,74.5
31,69,80,74.5
31,69,80,74.5
31,69,80,74.5
31,69,81,75.0
31,69,81,75.0
31,69,81,75.0
31,69,82,75.5
31,69,82,75.5
31,69,82,75.5
31,69,82,75.5
31,69,82,75.5
31,69,83,76.0
31,69,83,76.0
31,69,83,76.0
31,69,83,76.0
31,69,83,76.0
32,69,76,72.5
32,69,76,72.5
32,69,76,72.5
32,69,76,72.5
32,69,76,72.5
32,69,76,72.5
32,69,77,73.0
32,69,77,73.0
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,78,73.5
32,69,79,74.0
32,69,79,74.0
32,69,80,74.5
32,69,80,74.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,74,71.5
33,69,75,72.0
33,69,75,72.0
33,69,75,72.0
33,69,75,72.0
33,69,75,72.0
33,69,75,72.0
33,69,75,72.0
33,69,76,72.5
34,69,74,71.5
34,69,74,71.5
35,69,74,71.5
35,69,74,71.5
36,69,74,71.5
36,69,74,71.5
37,69,74,71.5
38,69,74,71.5
38,69,74,71.5
38,69,74,71.5
38,69,74,71.5
39,69,74,71.5
39,69,74,71.5
40,69,74,71.5
40,69,74,71.5
40,69,74,71.5
40,69,74,71.5
42,69,74,71.5
42,69,74,71.5
42,69,74,71.5
42,69,74,71.5
44,69,74,71.5
44,69,74,71.5
44,69,74,71.5
44,69,74,71.5
46,69,74,71.5
46,69,74,71.5
46,69,74,71.5
46,69,74,71.5
48,69,74,71.5
48,69,74,71.5
48,69,74,71.5
48,69,74,71.5
50,69,74,71.5
50,69,74,71.5
50,69,74,71.5
50,69,74,71.5
52,69,74,71.5
52,69,74,71.5
53,69,74,71.5
53,69,74,71.5
55,69,74,71.5
55,69,74,71.5
55,69,74,71.5
55,69,74,71.5
57,69,74,71.5
57,69,74,71.5
57,69,74,71.5
57,69,74,71.5
59,69,74,71.5
59,69,74,71.5
59,69,74,71.5
59,69,74,71.5
61,69,74,71.5
61,69,74,71.5
61,69,74,71.5
61,69,74,71.5
63,69,74,71.5
63,69,74,71.5
63,69,74,71.5
63,69,74,71.5
65,69,74,71.5
65,69,74,71.5
66,69,74,71.5
66,69,74,71.5
68,69,74,71.5
68,69,74,71.5
68,69,74,71.5
68,69,74,71.5
70,69,74,71.5
70,69,74,71.5
70,69,74,71.5
70,69,74,71.5
72,69,74,71.5
72,69,74,71.5
72,69,74,71.5
72,69,74,71.5
73,69,74,71.5
74,69,74,71.5
74,69,74,71.5
74,69,74,71.5
74,69,74,71.5
74,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
76,69,74,71.5
78,69,74,71.5
78,69,74,71.5
78,69,74,71.5
78,69,74,71.5
78,69,74,71.5
81,69,74,71.5
81,69,74,71.5
81,69,74,71.5
81,69,74,71.5
83,69,74,71.5
83,69,74,71.5
84,69,74,71.5
84,69,74,71.5
85,69,74,71.5
85,69,74,71.5
85,69,74,71.5
85,69,74,71.5
87,69,74,71.5
87,69,74,71.5
87,69,74,71.5
87,69,74,71.5
89,69,74,71.5
89,69,74,71.5
89,69,74,71.5
89,69,74,71.5
91,69,74,71.5
91,69,74,71.5
92,69,74,71.5
92,69,74,71.5
92,69,74,71.5
92,69,74,71.5
94,69,74,71.5
94,69,76,72.5
94,69,76,72.5
94,69,76,72.5
94,69,76,72.5
94,69,76,72.5
94,69,77,73.0
94,69,77,73.0
94,69,77,73.0
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,78,73.5
94,69,79,74.0
95,69,74,71.5
95,69,74,71.5
95,69,74,71.5
95,69,74,71.5
95,69,74,71.5
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
95,69,75,72.0
96,69,74,71.5
96,69,74,71.5
96,69,74,71.5
96,69,74,71.5
96,69,74,71.5
98,69,74,71.5
98,69,74,71.5
98,69,74,71.5
98,69,74,71.5
100,69,74,71.5
100,69,74,71.5
100,69,74,71.5
100,69,74,71.5
100,69,74,71.5
103,69,74,71.5
103,69,74,71.5
103,69,74,71.5
103,69,74,71.5
105,69,74,71.5
105,69,74,71.5
105,69,74,71.5
105,69,74,71.5
107,69,74,71.5
107,69,74,71.5
107,69,74,71.5
107,69,74,71.5
109,69,74,71.5
109,69,74,71.5
109,69,74,71.5
109,69,74,71.5
109,69,74,71.5
109,69,74,71.5
111,69,74,71.5
111,69,74,71.5
111,69,74,71.5
111,69,74,71.5
113,69,74,71.5
113,69,74,71.5
113,69,74,71.5
113,69,74,71.5
116,69,74,71.5
116,69,74,71.5
116,69,74,71.5
116,69,74,71.5
118,69,74,71.5
118,69,74,71.5
118,69,74,71.5
118,69,74,71.5
120,69,74,71.5
120,69,74,71.5
120,69,74,71.5
120,69,74,71.5
122,69,74,71.5
122,69,74,71.5
122,69,74,71.5
122,69,74,71.5
125,69,74,71.5
125,69,74,71.5
125,69,74,71.5
125,69,74,71.5
125,69,74,71.5
125,69,74,71.5
125,69,74,71.5
125,69,74,71.5
127,69,74,71.5
127,69,74,71.5
127,69,74,71.5
127,69,74,71.5
129,69,74,71.5
