ts_offset_sec,bid,ask,mid
0,71,74,72.5
0,71,74,72.5
0,71,74,72.5
0,71,74,72.5
1,71,74,72.5
1,71,74,72.5
1,71,74,72.5
1,71,74,72.5
3,71,74,72.5
3,71,74,72.5
3,71,74,72.5
3,71,74,72.5
4,71,74,72.5
4,71,74,72.5
4,71,74,72.5
4,71,74,72.5
6,71,74,72.5
6,71,74,72.5
6,71,74,72.5
6,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
7,71,74,72.5
9,71,74,72.5
9,71,74,72.5
9,71,74,72.5
9,71,74,72.5
10,71,74,72.5
10,71,74,72.5
11,71,74,72.5
11,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
12,71,74,72.5
14,71,74,72.5
14,71,74,72.5
14,71,74,72.5
14,71,74,72.5
15,71,74,72.5
15,71,74,72.5
15,71,74,72.5
15,71,74,72.5
17,71,74,72.5
17,71,74,72.5
17,71,74,72.5
17,71,74,72.5
18,71,74,72.5
18,71,74,72.5
18,71,74,72.5
18,71,74,72.5
20,71,74,72.5
20,71,74,72.5
20,71,74,72.5
20,71,74,72.5
21,71,74,72.5
21,71,74,72.5
21,71,74,72.5
21,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
23,71,74,72.5
24,71,74,72.5
24,71,74,72.5
24,71,74,72.5
24,71,74,72.5
25,71,74,72.5
25,71,74,72.5
26,71,74,72.5
26,71,74,72.5
27,71,74,72.5
27,71,74,72.5
27,71,74,72.5
27,71,74,72.5
28,71,74,72.5
28,71,74,72.5
29,71,74,72.5
29,71,74,72.5
29,71,75,73.0
29,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,75,74.5
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,76,75.0
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,77,75.5
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,78,76.0
30,74,79,76.5
30,74,79,76.5
30,74,79,76.5
30,74,80,77.0
30,74,80,77.0
30,74,80,77.0
30,74,80,77.0
30,74,80,77.0
30,74,80,77.0
30,74,80,77.0
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
31,74,77,75.5
32,74,77,75.5
32,74,77,75.5
32,74,77,75.5
32,74,77,75.5
32,74,77,75.5
33,74,77,75.5
33,74,77,75.5
33,74,77,75.5
33,74,77,75.5
34,74,77,75.5
35,74,77,75.5
35,74,77,75.5
35,74,77,75.5
35,74,77,75.5
35,74,77,75.5
35,74,77,75.5
36,74,77,75.5
36,74,77,75.5
36,74,77,75.5
36,74,77,75.5
38,74,77,75.5
38,74,77,75.5
38,74,77,75.5
38,74,77,75.5
39,74,77,75.5
39,74,77,75.5
40,74,77,75.5
40,74,77,75.5
40,74,77,75.5
40,74,77,75.5
41,74,77,75.5
41,74,77,75.5
42,74,77,75.5
42,74,77,75.5
42,74,77,75.5
42,74,77,75.5
43,74,77,75.5
43,74,77,75.5
43,74,77,75.5
43,74,77,75.5
45,74,77,75.5
45,74,77,75.5
45,74,77,75.5
45,74,77,75.5
46,74,77,75.5
46,74,77,75.5
46,74,77,75.5
46,74,77,75.5
47,74,77,75.5
47,74,77,75.5
47,74,77,75.5
47,74,77,75.5
49,74,77,75.5
49,74,77,75.5
49,74,77,75.5
49,74,77,75.5
50,74,77,75.5
50,74,77,75.5
50,74,77,75.5
50,74,77,75.5
51,74,77,75.5
51,74,77,75.5
52,74,77,75.5
52,74,77,75.5
53,74,77,75.5
53,74,77,75.5
53,74,77,75.5
53,74,77,75.5
54,74,77,75.5
54,74,77,75.5
54,74,77,75.5
54,74,77,75.5
55,74,77,75.5
55,74,77,75.5
56,74,77,75.5
56,74,77,75.5
57,74,77,75.5
57,74,77,75.5
57,74,77,75.5
57,74,77,75.5
58,74,77,75.5
58,74,77,75.5
58,74,77,75.5
58,74,77,75.5
58,74,77,75.5
58,74,77,75.5
60,74,77,75.5
60,74,77,75.5
60,74,77,75.5
60,74,77,75.5
61,74,77,75.5
61,74,77,75.5
61,74,77,75.5
61,74,77,75.5
62,74,77,75.5
62,74,77,75.5
63,74,77,75.5
63,74,77,75.5
64,74,77,75.5
64,74,77,75.5
64,74,77,75.5
64,74,77,75.5
65,74,77,75.5
65,74,77,75.5
65,74,77,75.5
65,74,77,75.5
67,74,77,75.5
67,74,77,75.5
67,74,77,75.5
67,74,77,75.5
68,74,77,75.5
68,74,77,75.5
68,74,77,75.5
68,74,77,75.5
70,74,77,75.5
70,74,77,75.5
70,74,77,75.5
70,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
71,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
72,74,77,75.5
73,74,77,75.5
73,74,77,75.5
73,74,77,75.5
73,74,77,75.5
75,74,77,75.5
75,74,77,75.5
75,74,77,75.5
75,74,77,75.5
76,74,77,75.5
76,74,77,75.5
77,74,77,75.5
77,74,77,75.5
77,74,77,75.5
78,74,77,75.5
78,74,77,75.5
78,74,77,75.5
78,74,77,75.5
79,74,77,75.5
79,74,77,75.5
80,74,77,75.5
80,74,77,75.5
81,74,77,75.5
81,74,77,75.5
81,74,77,75.5
81,74,77,75.5
82,74,77,75.5
82,74,77,75.5
83,74,77,75.5
83,74,77,75.5
84,74,77,75.5
84,74,77,75.5
84,74,77,75.5
84,74,77,75.5
86,74,77,75.5
86,74,77,75.5
86,74,77,75.5
86,74,77,75.5
87,74,77,75.5
87,74,77,75.5
87,74,77,75.5
87,74,77,75.5
88,74,77,75.5
88,74,77,75.5
88,74,77,75.5
88,74,77,75.5
90,74,77,75.5
90,74,77,75.5
90,74,77,75.5
90,74,77,75.5
91,74,77,75.5
91,74,77,75.5
92,74,77,75.5
92,74,77,75.5
92,74,77,75.5
92,74,77,75.5
92,74,77,75.5
93,74,77,75.5
93,74,77,75.5
93,74,77,75.5
93,74,77,75.5
93,74,77,75.5
94,74,77,75.5
94,74,77,75.5
94,74,77,75.5
94,74,77,75.5
96,74,77,75.5
96,74,77,75.5
96,74,77,75.5
96,74,77,75.5
97,74,77,75.5
97,74,77,75.5
97,74,77,75.5
97,74,77,75.5
98,74,77,75.5
98,74,77,75.5
99,74,77,75.5
99,74,77,75.5
100,74,77,75.5
100,74,77,75.5
100,74,77,75.5
100,74,77,75.5
101,74,77,75.5
101,74,77,75.5
101,74,77,75.5
101,74,77,75.5
102,74,77,75.5
102,74,77,75.5
102,74,77,75.5
102,74,77,75.5
102,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
103,74,77,75.5
104,74,77,75.5
104,74,77,75.5
104,74,77,75.5
104,74,77,75.5
106,74,77,75.5
106,74,77,75.5
106,74,77,75.5
106,74,77,75.5
107,74,77,75.5
107,74,77,75.5
107,74,77,75.5
107,74,77,75.5
108,74,77,75.5
108,74,77,75.5
109,74,77,75.5
109,74,77,75.5
110,74,77,75.5
110,74,77,75.5
110,74,77,75.5
110,74,77,75.5
111,74,77,75.5
111,74,77,75.5
111,74,77,75.5
111,74,77,75.5
113,74,77,75.5
113,74,77,75.5
113,74,77,75.5
113,74,77,75.5
114,74,77,75.5
114,74,77,75.5
114,74,77,75.5
114,74,77,75.5
115,74,77,75.5
115,74,77,75.5
115,74,77,75.5
115,74,77,75.5
117,74,77,75.5
117,74,77,75.5
117,74,77,75.5
117,74,77,75.5
118,74,77,75.5
118,74,77,75.5
119,74,77,75.5
119,74,77,75.5
119,74,77,75.5
119,74,77,75.5
120,74,77,75.5
120,74,77,75.5
121,74,77,75.5
121,74,77,75.5
121,74,77,75.5
121,74,77,75.5
121,74,77,75.5
122,74,77,75.5
122,74,77,75.5
123,74,77,75.5
123,74,77,75.5
124,74,77,75.5
124,74,77,75.5
124,74,77,75.5
124,74,77,75.5
125,74,77,75.5
125,74,77,75.5
126,74,77,75.5
126,74,77,75.5
127,74,77,75.5
127,74,77,75.5
127,74,77,75.5
127,74,77,75.5
128,74,77,75.5
128,74,77,75.5
128,74,77,75.5
128,74,77,75.5
130,74,77,75.5
130,74,77,75.5
130,74,77,75.5
130,74,77,75.5
131,74,77,75.5
131,74,77,75.5
131,74,77,75.5
131,74,77,75.5
132,74,77,75.5
132,74,77,75.5
133,74,77,75.5
133,74,77,75.5
134,74,77,75.5
134,74,77,75.5
134,74,77,75.5
134,74,77,75.5
135,74,77,75.5
135,74,77,75.5
136,74,77,75.5
136,74,77,75.5
137,74,77,75.5
137,74,77,75.5
137,74,77,75.5
137,74,77,75.5
138,74,77,75.5
138,74,77,75.5
139,74,77,75.5
139,74,77,75.5
140,74,77,75.5
140,74,77,75.5
140,74,77,75.5
140,74,77,75.5
141,74,77,75.5
141,74,77,75.5
142,74,77,75.5
142,74,77,75.5
142,74,77,75.5
142,74,77,75.5
143,74,77,75.5
143,74,77,75.5
144,74,77,75.5
144,74,77,75.5
144,74,77,75.5
144,74,77,75.5
145,74,77,75.5
145,74,77,75.5
146,74,77,75.5
146,74,77,75.5
147,74,77,75.5
147,74,77,75.5
147,74,77,75.5
147,74,77,75.5
148,74,77,75.5
148,74,77,75.5
149,74,77,75.5
149,74,77,75.5
150,74,77,75.5
150,74,77,75.5
150,74,77,75.5
150,74,77,75.5
151,74,77,75.5
151,74,77,75.5
151,74,77,75.5
151,74,77,75.5
152,74,77,75.5
152,74,77,75.5
153,74,77,75.5
153,74,77,75.5
153,74,77,75.5
153,74,77,75.5
153,74,77,75.5
154,74,77,75.5
154,74,77,75.5
154,74,77,75.5
154,74,77,75.5
155,74,77,75.5
155,74,77,75.5
156,74,77,75.5
156,74,77,75.5
157,74,77,75.5
157,74,77,75.5
157,74,77,75.5
157,74,77,75.5
158,74,77,75.5
158,74,77,75.5
159,74,77,75.5
159,74,77,75.5
159,74,77,75.5
159,74,77,75.5
160,74,77,75.5
160,74,77,75.5
161,74,77,75.5
161,74,77,75.5
161,74,77,75.5
161,74,77,75.5
162,74,77,75.5
162,74,77,75.5
163,74,77,75.5
163,74,77,75.5
163,74,77,75.5
163,74,77,75.5
164,74,77,75.5
164,74,77,75.5
164,74,77,75.5
165,74,77,75.5
165,74,77,75.5
166,74,77,75.5
166,74,77,75.5
166,74,77,75.5
166,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
167,74,77,75.5
168,74,77,75.5
168,74,77,75.5
168,74,77,75.5
168,74,77,75.5
168,74,77,75.5
169,74,77,75.5
169,74,77,75.5
169,74,77,75.5
169,74,77,75.5
171,74,77,75.5
171,74,77,75.5
171,74,77,75.5
171,74,77,75.5
172,74,77,75.5
172,74,77,75.5
172,74,77,75.5
172,74,77,75.5
172,74,77,75.5
174,74,77,75.5
174,74,77,75.5
174,74,77,75.5
174,74,77,75.5
175,74,77,75.5
175,74,77,75.5
175,74,77,75.5
175,74,77,75.5
176,74,77,75.5
176,74,77,75.5
177,74,77,75.5
177,74,77,75.5
178,74,77,75.5
178,74,77,75.5
178,74,77,75.5
178,74,77,75.5
179,74,77,75.5
179,74,77,75.5
179,74,77,75.5
179,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
181,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
182,74,77,75.5
183,74,77,75.5
183,74,77,75.5
183,74,77,75.5
183,74,77,75.5
183,74,77,75.5
184,74,77,75.5
184,74,77,75.5
184,74,77,75.5
184,74,77,75.5
184,74,77,75.5
184,74,77,75.5
185,74,77,75.5
185,74,77,75.5
185,74,77,75.5
185,74,77,75.5
185,74,77,75.5
185,74,77,75.5
186,74,77,75.5
186,74,77,75.5
186,74,77,75.5
186,74,77,75.5
187,74,77,75.5
187,74,77,75.5
187,74,77,75.5
187,74,77,75.5
187,74,77,75.5
187,74,77,75.5
188,74,77,75.5
188,74,77,75.5
188,74,77,75.5
188,74,77,75.5
188,74,77,75.5
188,74,77,75.5
189,74,77,75.5
189,74,77,75.5
189,74,77,75.5
189,74,77,75.5
189,74,77,75.5
189,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
190,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
191,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
192,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
193,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
194,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
195,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
196,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
197,74,77,75.5
199,74,77,75.5
199,74,77,75.5
199,74,77,75.5
199,74,77,75.5
200,74,77,75.5
200,74,77,75.5
200,74,77,75.5
200,74,77,75.5
202,74,77,75.5
202,74,77,75.5
202,74,77,75.5
202,74,77,75.5
203,74,77,75.5
203,74,77,75.5
204,74,77,75.5
204,74,77,75.5
205,74,77,75.5
205,74,77,75.5
205,74,77,75.5
205,74,77,75.5
206,74,77,75.5
206,74,77,75.5
206,74,77,75.5
206,74,77,75.5
207,74,77,75.5
207,74,77,75.5
208,74,77,75.5
208,74,77,75.5
208,74,77,75.5
208,74,77,75.5
209,74,77,75.5
209,74,77,75.5
209,74,77,75.5
209,74,77,75.5
211,74,77,75.5
211,74,77,75.5
211,74,77,75.5
211,74,77,75.5
212,74,77,75.5
212,74,77,75.5
212,74,77,75.5
212,74,77,75.5
213,74,77,75.5
213,74,77,75.5
213,74,77,75.5
213,74,77,75.5
213,74,77,75.5
214,74,77,75.5
215,74,77,75.5
215,74,77,75.5
215,74,77,75.5
215,74,77,75.5
216,74,77,75.5
216,74,77,75.5
216,74,77,75.5
216,74,77,75.5
217,74,77,75.5
217,74,77,75.5
217,74,77,75.5
217,74,77,75.5
218,74,77,75.5
218,74,77,75.5
219,74,77,75.5
219,74,77,75.5
219,74,77,75.5
219,74,77,75.5
220,74,77,75.5
220,74,77,75.5
220,74,77,75.5
220,74,77,75.5
221,74,77,75.5
221,74,77,75.5
222,74,77,75.5
222,74,77,75.5
223,74,77,75.5
223,74,77,75.5
223,74,77,75.5
223,74,77,75.5
224,74,77,75.5
224,74,77,75.5
224,74,77,75.5
224,74,77,75.5
225,74,77,75.5
225,74,77,75.5
226,74,77,75.5
226,74,77,75.5
227,74,77,75.5
227,74,77,75.5
227,74,77,75.5
227,74,77,75.5
228,74,77,75.5
228,74,77,75.5
228,74,77,75.5
228,74,77,75.5
229,74,77,75.5
229,74,77,75.5
229,74,77,75.5
229,74,77,75.5
230,74,77,75.5
230,74,77,75.5
231,74,77,75.5
231,74,77,75.5
232,74,77,75.5
232,74,77,75.5
232,74,77,75.5
232,74,77,75.5
233,74,77,75.5
233,74,77,75.5
233,74,77,75.5
233,74,77,75.5
234,74,77,75.5
234,74,77,75.5
234,74,77,75.5
234,74,77,75.5
236,74,77,75.5
236,74,77,75.5
236,74,77,75.5
236,74,77,75.5
237,74,77,75.5
237,74,77,75.5
237,74,77,75.5
237,74,77,75.5
238,74,77,75.5
238,74,77,75.5
239,74,77,75.5
239,74,77,75.5
240,74,77,75.5
240,74,77,75.5
240,74,77,75.5
240,74,77,75.5
241,74,77,75.5
241,74,77,75.5
241,74,77,75.5
241,74,77,75.5
242,74,77,75.5
242,74,77,75.5
242,74,77,75.5
242,74,77,75.5
244,74,77,75.5
244,74,77,75.5
244,74,77,75.5
244,74,77,75.5
245,74,77,75.5
245,74,77,75.5
245,74,77,75.5
245,74,77,75.5
246,74,77,75.5
246,74,77,75.5
247,74,77,75.5
247,74,77,75.5
247,74,77,75.5
248,74,77,75.5
248,74,77,75.5
248,74,77,75.5
248,74,77,75.5
249,74,77,75.5
249,74,77,75.5
249,74,77,75.5
249,74,77,75.5
250,74,77,75.5
250,74,77,75.5
251,74,77,75.5
251,74,77,75.5
252,74,77,75.5
252,74,77,75.5
252,74,77,75.5
252,74,77,75.5
253,74,77,75.5
253,74,77,75.5
253,74,77,75.5
253,74,77,75.5
254,74,77,75.5
254,74,77,75.5
254,74,77,75.5
254,74,77,75.5
256,74,77,75.5
256,74,77,75.5
256,74,77,75.5
256,74,77,75.5
257,74,77,75.5
257,74,77,75.5
257,74,77,75.5
257,74,77,75.5
258,74,77,75.5
258,74,77,75.5
259,74,77,75.5
259,74,77,75.5
260,74,77,75.5
260,74,77,75.5
260,74,77,75.5
260,74,77,75.5
261,74,77,75.5
261,74,77,75.5
261,74,77,75.5
261,74,77,75.5
262,74,77,75.5
262,74,77,75.5
262,74,77,75.5
262,74,77,75.5
263,74,77,75.5
263,74,77,75.5
264,74,77,75.5
264,74,77,75.5
265,74,77,75.5
265,74,77,75.5
265,74,77,75.5
265,74,77,75.5
266,74,77,75.5
266,74,77,75.5
266,74,77,75.5
266,74,77,75.5
267,74,77,75.5
267,74,77,75.5
267,74,77,75.5
267,74,77,75.5
268,74,77,75.5
268,74,77,75.5
269,74,77,75.5
269,74,77,75.5
269,74,77,75.5
269,74,77,75.5
270,74,77,75.5
270,74,77,75.5
270,74,77,75.5
270,74,77,75.5
271,74,77,75.5
271,74,77,75.5
271,74,77,75.5
271,74,77,75.5
273,74,77,75.5
273,74,77,75.5
273,74,77,75.5
273,74,77,75.5
273,74,77,75.5
274,74,77,75.5
274,74,77,75.5
274,74,77,75.5
274,74,77,75.5
275,74,77,75.5
275,74,77,75.5
275,74,77,75.5
275,74,77,75.5
276,74,77,75.5
276,74,77,75.5
277,74,77,75.5
277,74,77,75.5
278,74,77,75.5
278,74,77,75.5
280,74,77,75.5
280,74,77,75.5
280,74,77,75.5
280,74,77,75.5
281,74,77,75.5
281,74,77,75.5
283,74,77,75.5
283,74,77,75.5
284,74,77,75.5
284,74,77,75.5
285,74,77,75.5
285,74,77,75.5
286,74,77,75.5
286,74,77,75.5
287,74,77,75.5
287,74,77,75.5
288,74,77,75.5
288,74,77,75.5
288,74,77,75.5
288,74,77,75.5
288,74,77,75.5
288,74,77,75.5
289,74,77,75.5
290,74,77,75.5
290,74,77,75.5
290,74,77,75.5
290,74,77,75.5
292,74,77,75.5
292,74,77,75.5
293,74,77,75.5
293,74,77,75.5
294,74,77,75.5
294,74,77,75.5
294,74,77,75.5
294,74,77,75.5
