ts_offset_sec,bid,ask,mid
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
0,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
1,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
2,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
3,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
4,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
5,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
6,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
7,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
8,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
9,76,77,76.5
