ts_offset_sec,bid,ask,mid
0,58,59,58.5
0,58,59,58.5
0,58,59,58.5
0,58,59,58.5
0,58,59,58.5
0,58,59,58.5
0,58,59,58.5
1,58,59,58.5
1,58,59,58.5
1,58,59,58.5
1,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
3,58,59,58.5
4,58,59,58.5
4,58,59,58.5
4,58,59,58.5
4,58,59,58.5
4,58,59,58.5
5,58,59,58.5
5,58,59,58.5
5,58,59,58.5
5,58,59,58.5
5,58,59,58.5
5,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
6,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
7,58,59,58.5
8,58,59,58.5
8,58,59,58.5
8,58,59,58.5
8,58,59,58.5
8,58,59,58.5
8,58,59,58.5
8,58,59,58.5
8,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
9,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
10,58,59,58.5
