ts_offset_sec,bid,ask,mid
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
0,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
1,24,25,24.5
2,24,25,24.5
2,24,25,24.5
2,24,25,24.5
2,24,25,24.5
2,24,25,24.5
2,24,25,24.5
2,24,25,24.5
2,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
3,24,25,24.5
4,24,25,24.5
4,24,25,24.5
4,24,25,24.5
4,24,25,24.5
4,24,25,24.5
4,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
5,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
6,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
7,24,25,24.5
