ts_offset_sec,bid,ask,mid
0,79,87,83.0
9,49,87,68.0
9,49,92,70.5
9,49,92,70.5
17,49,92,70.5
17,49,96,72.5
38,49,96,72.5
38,49,96,72.5
42,49,86,67.5
42,49,86,67.5
47,78,86,82.0
52,78,92,85.0
52,78,95,86.5
52,78,95,86.5
52,78,96,87.0
55,78,95,86.5
57,50,95,72.5
57,50,96,73.0
77,50,83,66.5
77,50,83,66.5
78,50,83,66.5
80,75,83,79.0
83,75,83,79.0
88,75,83,79.0
88,75,85,80.0
88,75,95,85.0
88,75,96,85.5
88,75,96,85.5
89,75,95,85.0
89,75,95,85.0
91,51,95,73.0
91,51,95,73.0
91,51,96,73.5
106,51,85,68.0
106,51,85,68.0
106,77,85,81.0
106,77,85,81.0
107,77,85,81.0
111,77,85,81.0
117,51,87,69.0
117,51,87,69.0
117,51,96,73.5
117,51,96,73.5
117,77,87,82.0
118,78,96,87.0
120,78,96,87.0
131,78,80,79.0
131,78,80,79.0
131,78,80,79.0
131,78,80,79.0
131,78,80,79.0
131,78,80,79.0
137,78,80,79.0
142,78,80,79.0
142,78,80,79.0
142,78,96,87.0
142,78,96,87.0
149,78,96,87.0
160,49,74,61.5
160,49,74,61.5
160,49,74,61.5
160,49,96,72.5
163,66,74,70.0
165,66,74,70.0
171,66,76,71.0
171,66,76,71.0
171,66,82,74.0
171,66,96,81.0
173,49,82,65.5
176,49,82,65.5
176,79,82,80.5
210,49,81,65.0
216,49,61,55.0
216,49,61,55.0
216,49,61,55.0
216,49,61,55.0
220,50,61,55.5
222,50,61,55.5
227,39,61,50.0
227,39,61,50.0
227,44,61,52.5
227,49,61,55.0
227,50,61,55.5
227,55,61,58.0
228,39,61,50.0
233,39,61,50.0
233,39,61,50.0
233,39,61,50.0
238,39,61,50.0
242,39,63,51.0
242,39,95,67.0
242,39,96,67.5
257,39,77,58.0
257,39,95,67.0
257,69,77,73.0
257,69,77,73.0
259,69,71,70.0
268,39,71,55.0
268,39,71,55.0
269,39,70,54.5
279,39,61,50.0
279,39,61,50.0
295,39,56,47.5
295,39,56,47.5
295,39,56,47.5
295,39,70,54.5
295,39,71,55.0
295,39,71,55.0
297,39,56,47.5
297,39,56,47.5
297,39,56,47.5
298,39,69,54.0
298,39,71,55.0
298,39,81,60.0
298,73,81,77.0
308,39,96,67.5
308,73,96,84.5
314,39,96,67.5
314,39,96,67.5
316,39,96,67.5
316,39,96,67.5
326,39,79,59.0
326,39,96,67.5
329,71,79,75.0
331,71,79,75.0
331,71,79,75.0
332,71,79,75.0
334,71,79,75.0
337,71,94,82.5
337,71,94,82.5
337,71,94,82.5
337,71,95,83.0
339,40,95,67.5
339,40,95,67.5
339,40,95,67.5
339,40,95,67.5
339,40,95,67.5
339,40,95,67.5
339,63,94,78.5
339,63,95,79.0
339,63,96,79.5
345,40,78,59.0
345,40,78,59.0
347,40,78,59.0
347,40,78,59.0
348,40,76,58.0
348,68,76,72.0
349,68,76,72.0
349,68,76,72.0
356,68,76,72.0
356,68,76,72.0
358,68,75,71.5
359,40,75,57.5
359,40,75,57.5
361,40,75,57.5
366,40,75,57.5
378,39,75,57.0
378,39,75,57.0
378,39,75,57.0
384,39,75,57.0
384,39,75,57.0
385,39,75,57.0
385,72,75,73.5
389,72,75,73.5
395,42,75,58.5
395,42,75,58.5
400,42,74,58.0
400,42,75,58.5
409,42,75,58.5
409,42,75,58.5
413,42,75,58.5
413,42,75,58.5
413,42,75,58.5
413,68,75,71.5
415,68,75,71.5
424,46,75,60.5
424,46,75,60.5
426,51,75,63.0
430,51,78,64.5
430,51,80,65.5
430,51,80,65.5
430,51,82,66.5
430,51,82,66.5
436,64,82,73.0
438,64,82,73.0
438,64,82,73.0
438,64,82,73.0
439,64,82,73.0
446,64,82,73.0
448,64,82,73.0
454,64,82,73.0
454,64,82,73.0
455,64,82,73.0
459,64,81,72.5
459,64,81,72.5
459,73,81,77.0
459,73,81,77.0
460,73,81,77.0
460,73,81,77.0
460,73,81,77.0
470,73,82,77.5
470,73,82,77.5
470,73,82,77.5
478,73,82,77.5
478,73,82,77.5
495,73,82,77.5
495,73,82,77.5
495,73,82,77.5
495,73,82,77.5
507,73,81,77.0
507,73,81,77.0
507,73,81,77.0
513,73,76,74.5
513,73,76,74.5
513,73,76,74.5
513,73,81,77.0
513,73,81,77.0
523,73,76,74.5
523,73,81,77.0
523,73,81,77.0
523,73,81,77.0
523,73,82,77.5
532,73,81,77.0
532,73,81,77.0
532,73,81,77.0
532,73,82,77.5
545,73,81,77.0
546,73,74,73.5
546,73,74,73.5
546,73,81,77.0
548,73,74,73.5
556,73,81,77.0
556,73,81,77.0
556,73,81,77.0
556,73,82,77.5
558,73,81,77.0
558,73,81,77.0
558,73,81,77.0
571,73,77,75.0
571,73,77,75.0
571,73,77,75.0
571,73,81,77.0
571,73,81,77.0
577,69,77,73.0
577,69,77,73.0
578,69,77,73.0
578,69,77,73.0
581,64,81,72.5
581,64,81,72.5
581,64,82,73.0
581,64,82,73.0
581,64,82,73.0
581,69,82,75.5
591,64,81,72.5
595,74,81,77.5
595,74,81,77.5
597,74,81,77.5
597,74,81,77.5
598,74,82,78.0
598,74,82,78.0
598,74,82,78.0
598,74,82,78.0
599,74,81,77.5
600,74,81,77.5
601,74,81,77.5
606,74,81,77.5
606,74,81,77.5
607,74,81,77.5
607,74,81,77.5
617,74,81,77.5
617,74,81,77.5
629,74,81,77.5
633,74,81,77.5
634,74,81,77.5
634,74,81,77.5
635,74,81,77.5
643,74,81,77.5
649,74,81,77.5
649,74,81,77.5
649,74,81,77.5
649,79,81,80.0
649,79,82,80.5
649,79,83,81.0
649,79,83,81.0
649,79,83,81.0
650,79,81,80.0
650,79,82,80.5
650,79,82,80.5
650,79,82,80.5
650,79,83,81.0
652,79,81,80.0
653,79,81,80.0
655,79,81,80.0
655,79,81,80.0
655,79,81,80.0
660,64,81,72.5
660,79,81,80.0
662,64,83,73.5
662,64,83,73.5
662,64,84,74.0
662,64,84,74.0
662,64,84,74.0
662,64,84,74.0
662,64,84,74.0
662,64,84,74.0
663,64,83,73.5
676,64,83,73.5
676,64,83,73.5
677,64,83,73.5
678,64,83,73.5
679,64,83,73.5
679,64,83,73.5
685,64,83,73.5
692,66,83,74.5
696,66,82,74.0
696,66,82,74.0
696,66,82,74.0
696,66,83,74.5
696,66,83,74.5
697,66,82,74.0
702,66,82,74.0
703,81,82,81.5
703,81,82,81.5
703,81,82,81.5
703,81,82,81.5
703,81,82,81.5
703,81,82,81.5
703,81,82,81.5
704,81,82,81.5
708,81,82,81.5
708,81,82,81.5
713,66,82,74.0
713,66,82,74.0
713,66,82,74.0
713,66,82,74.0
