ts_offset_sec,bid,ask,mid
0,81,84,82.5
0,81,84,82.5
1,81,84,82.5
1,81,84,82.5
1,81,84,82.5
1,81,84,82.5
3,81,84,82.5
3,81,84,82.5
3,81,84,82.5
3,81,84,82.5
5,81,84,82.5
5,81,84,82.5
5,81,84,82.5
5,81,84,82.5
6,81,84,82.5
6,81,85,83.0
6,81,85,83.0
6,81,85,83.0
6,81,85,83.0
7,81,84,82.5
7,81,84,82.5
7,81,84,82.5
7,81,84,82.5
7,81,84,82.5
9,81,84,82.5
9,81,84,82.5
9,81,84,82.5
9,81,84,82.5
11,81,84,82.5
11,81,84,82.5
11,81,84,82.5
11,81,84,82.5
13,81,84,82.5
13,81,84,82.5
13,81,84,82.5
13,81,84,82.5
15,81,84,82.5
15,81,84,82.5
15,81,84,82.5
15,81,84,82.5
17,81,84,82.5
17,81,84,82.5
17,81,84,82.5
17,81,84,82.5
19,81,84,82.5
19,81,84,82.5
19,81,84,82.5
19,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
20,81,84,82.5
21,78,84,81.0
21,78,84,81.0
21,78,84,81.0
21,78,84,81.0
21,78,84,81.0
21,78,84,81.0
21,78,84,81.0
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
21,81,84,82.5
22,78,84,81.0
22,78,84,81.0
22,78,84,81.0
22,78,84,81.0
22,79,84,81.5
22,79,84,81.5
22,79,84,81.5
22,79,84,81.5
22,79,84,81.5
22,79,84,81.5
22,79,84,81.5
23,79,84,81.5
23,79,84,81.5
23,79,84,81.5
23,79,84,81.5
23,79,84,81.5
23,79,84,81.5
23,79,84,81.5
24,79,84,81.5
24,79,84,81.5
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
24,80,84,82.0
25,80,84,82.0
25,80,84,82.0
25,80,84,82.0
25,80,84,82.0
25,80,84,82.0
25,80,84,82.0
25,80,84,82.0
27,80,84,82.0
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,79,84,81.5
28,80,84,82.0
29,79,84,81.5
29,79,84,81.5
29,80,84,82.0
29,80,84,82.0
30,72,84,78.0
30,72,84,78.0
30,72,84,78.0
30,72,84,78.0
30,72,84,78.0
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,73,84,78.5
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,74,84,79.0
30,75,84,79.5
30,75,84,79.5
30,75,84,79.5
30,75,84,79.5
