ts_offset_sec,bid,ask,mid
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
0,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
1,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
2,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
3,28,31,29.5
4,28,31,29.5
4,28,31,29.5
4,28,31,29.5
4,28,31,29.5
4,28,31,29.5
4,28,31,29.5
4,28,31,29.5
4,28,31,29.5
5,28,31,29.5
5,28,31,29.5
5,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
6,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
7,28,31,29.5
8,28,31,29.5
8,28,31,29.5
8,28,31,29.5
8,28,31,29.5
9,28,31,29.5
9,28,31,29.5
9,28,31,29.5
9,28,31,29.5
9,28,31,29.5
9,28,31,29.5
9,28,31,29.5
10,28,31,29.5
11,28,31,29.5
11,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
12,28,31,29.5
13,28,31,29.5
14,28,31,29.5
14,28,31,29.5
14,28,31,29.5
14,28,31,29.5
14,28,31,29.5
15,28,31,29.5
15,28,31,29.5
15,28,31,29.5
