ts_offset_sec,bid,ask,mid
0,64,67,65.5
0,64,67,65.5
0,64,67,65.5
0,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
1,64,67,65.5
2,64,67,65.5
3,64,67,65.5
3,64,67,65.5
3,64,67,65.5
4,64,67,65.5
4,64,67,65.5
4,64,67,65.5
4,64,67,65.5
4,64,67,65.5
4,64,67,65.5
4,64,67,65.5
5,64,67,65.5
5,64,67,65.5
5,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
6,64,67,65.5
7,64,67,65.5
7,64,67,65.5
7,64,67,65.5
7,64,67,65.5
7,64,67,65.5
7,64,67,65.5
8,64,67,65.5
8,64,67,65.5
8,64,67,65.5
8,64,67,65.5
8,64,67,65.5
8,64,67,65.5
8,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
9,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
10,64,67,65.5
