ts_offset_sec,bid,ask,mid
0,81,87,84.0
0,81,87,84.0
62,84,85,84.5
63,84,85,84.5
63,84,85,84.5
63,84,85,84.5
63,84,85,84.5
63,84,85,84.5
65,84,85,84.5
66,84,85,84.5
66,84,85,84.5
67,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
73,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,85,84.5
74,84,86,85.0
74,84,86,85.0
74,84,86,85.0
74,84,86,85.0
74,84,86,85.0
74,84,86,85.0
74,84,86,85.0
74,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
75,84,86,85.0
