ts_offset_sec,bid,ask,mid
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,86,85.0
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
0,84,87,85.5
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,86,85.0
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
1,84,87,85.5
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
2,84,86,85.0
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
3,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
4,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
5,85,86,85.5
6,85,86,85.5
6,85,86,85.5
6,85,86,85.5
6,85,86,85.5
6,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
8,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
9,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
10,85,86,85.5
