ts_offset_sec,bid,ask,mid
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,30,29.5
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
0,29,31,30.0
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,30,29.5
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
1,29,31,30.0
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
2,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
3,29,30,29.5
4,29,30,29.5
4,29,30,29.5
4,29,30,29.5
4,29,30,29.5
5,29,30,29.5
5,29,30,29.5
5,29,30,29.5
6,29,30,29.5
6,29,30,29.5
6,29,30,29.5
6,29,30,29.5
6,29,30,29.5
6,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
8,29,30,29.5
9,29,30,29.5
10,29,30,29.5
10,29,30,29.5
10,29,30,29.5
10,29,30,29.5
10,29,30,29.5
10,29,30,29.5
10,29,30,29.5
10,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
11,29,30,29.5
