ts_offset_sec,bid,ask,mid
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
0,89,90,89.5
1,89,90,89.5
1,89,90,89.5
1,89,90,89.5
1,89,90,89.5
1,89,90,89.5
1,89,90,89.5
1,89,90,89.5
2,89,90,89.5
4,74,89,81.5
4,81,89,85.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,83,89,86.0
4,84,89,86.5
4,84,89,86.5
4,84,89,86.5
4,84,89,86.5
4,84,90,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,85,89,87.0
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
4,89,90,89.5
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
5,85,89,87.0
6,85,89,87.0
6,85,89,87.0
6,85,89,87.0
6,85,89,87.0
6,85,89,87.0
7,85,89,87.0
7,85,89,87.0
7,85,89,87.0
7,85,89,87.0
7,85,89,87.0
7,85,89,87.0
7,85,89,87.0
7,85,89,87.0
8,85,89,87.0
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,86,89,87.5
8,88,89,88.5
8,88,89,88.5
8,88,89,88.5
8,88,89,88.5
8,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
9,88,89,88.5
10,88,89,88.5
10,88,89,88.5
10,88,89,88.5
10,88,89,88.5
10,88,89,88.5
11,88,89,88.5
11,88,89,88.5
14,88,89,88.5
14,88,89,88.5
14,88,89,88.5
15,88,89,88.5
16,88,89,88.5
17,88,89,88.5
17,88,89,88.5
17,88,89,88.5
17,88,89,88.5
17,88,89,88.5
17,88,89,88.5
