ts_offset_sec,bid,ask,mid
0,22,25,23.5
3,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
8,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
9,22,25,23.5
10,22,25,23.5
10,22,25,23.5
10,22,25,23.5
10,22,25,23.5
10,22,25,23.5
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
10,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
11,22,26,24.0
13,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
14,22,26,24.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,24,23.0
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,25,23.5
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
15,22,26,24.0
16,22,24,23.0
16,22,24,23.0
16,22,24,23.0
16,22,24,23.0
16,22,24,23.0
17,22,24,23.0
17,22,24,23.0
17,22,24,23.0
17,22,24,23.0
17,22,24,23.0
17,22,24,23.0
17,22,24,23.0
18,22,24,23.0
19,22,24,23.0
19,22,24,23.0
19,22,24,23.0
19,22,24,23.0
20,22,24,23.0
20,22,24,23.0
20,22,24,23.0
20,22,24,23.0
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,23,22.5
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
21,22,24,23.0
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
22,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
23,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
24,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
25,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
26,22,23,22.5
27,22,23,22.5
27,22,23,22.5
