ts_offset_sec,bid,ask,mid
0,33,43,38.0
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,33,44,38.5
0,34,43,38.5
0,34,44,39.0
0,35,43,39.0
0,35,43,39.0
0,35,43,39.0
0,35,43,39.0
0,35,44,39.5
0,35,44,39.5
0,36,44,40.0
1,33,42,37.5
1,33,42,37.5
1,33,42,37.5
1,33,42,37.5
1,33,42,37.5
1,33,42,37.5
1,33,42,37.5
1,33,43,38.0
1,33,43,38.0
1,33,44,38.5
1,33,44,38.5
1,33,44,38.5
1,34,42,38.0
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,34,43,38.5
1,36,42,39.0
1,36,42,39.0
1,36,42,39.0
1,36,44,40.0
1,37,43,40.0
1,37,43,40.0
1,37,44,40.5
2,33,41,37.0
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,33,44,38.5
2,34,43,38.5
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,34,44,39.0
2,37,41,39.0
2,37,41,39.0
3,33,43,38.0
3,33,43,38.0
3,33,43,38.0
3,33,43,38.0
3,34,43,38.5
3,34,43,38.5
3,34,43,38.5
3,34,43,38.5
