ts_offset_sec,bid,ask,mid
0,17,22,19.5
0,17,22,19.5
15,17,22,19.5
16,17,22,19.5
16,17,22,19.5
16,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
18,17,22,19.5
19,17,22,19.5
20,17,22,19.5
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,21,19.0
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,22,19.5
30,17,29,23.0
30,17,30,23.5
30,17,30,23.5
30,17,30,23.5
30,17,30,23.5
30,17,30,23.5
30,17,30,23.5
31,17,24,20.5
31,17,24,20.5
31,17,24,20.5
31,17,24,20.5
32,17,24,20.5
32,17,24,20.5
32,17,24,20.5
33,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
40,17,24,20.5
45,17,24,20.5
45,17,24,20.5
46,17,24,20.5
47,17,24,20.5
48,17,24,20.5
49,17,24,20.5
49,17,24,20.5
49,17,24,20.5
54,17,24,20.5
54,17,24,20.5
55,17,24,20.5
56,17,24,20.5
57,17,24,20.5
57,17,24,20.5
57,17,24,20.5
57,17,24,20.5
57,17,24,20.5
57,17,24,20.5
62,17,24,20.5
62,17,24,20.5
63,17,24,20.5
64,17,24,20.5
64,17,24,20.5
64,17,24,20.5
64,17,24,20.5
65,17,24,20.5
68,17,22,19.5
68,17,22,19.5
68,17,22,19.5
68,17,22,19.5
68,17,22,19.5
68,17,22,19.5
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,23,20.0
68,17,24,20.5
68,17,24,20.5
68,17,24,20.5
68,17,24,20.5
68,17,24,20.5
68,17,24,20.5
68,17,24,20.5
68,17,24,20.5
69,17,21,19.0
69,17,21,19.0
69,17,21,19.0
69,17,21,19.0
69,17,22,19.5
70,17,21,19.0
70,17,21,19.0
79,17,21,19.0
80,17,21,19.0
80,17,21,19.0
81,17,21,19.0
82,17,21,19.0
83,17,21,19.0
83,17,21,19.0
83,17,21,19.0
83,17,21,19.0
83,17,21,19.0
83,17,21,19.0
86,17,21,19.0
86,17,21,19.0
86,17,21,19.0
86,17,21,19.0
86,17,21,19.0
86,17,21,19.0
87,17,21,19.0
88,17,21,19.0
88,17,21,19.0
88,17,21,19.0
89,17,21,19.0
89,17,21,19.0
90,15,21,18.0
90,15,21,18.0
90,15,21,18.0
90,15,21,18.0
90,15,21,18.0
90,17,21,19.0
91,15,21,18.0
91,15,21,18.0
91,15,21,18.0
91,15,21,18.0
92,15,21,18.0
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,21,18.5
94,16,22,19.0
94,16,22,19.0
95,16,22,19.0
96,16,22,19.0
96,16,22,19.0
106,16,22,19.0
106,16,22,19.0
106,16,22,19.0
106,16,22,19.0
106,16,22,19.0
106,16,22,19.0
107,16,22,19.0
109,16,22,19.0
109,16,22,19.0
109,16,22,19.0
109,16,22,19.0
111,16,22,19.0
119,16,22,19.0
120,16,22,19.0
120,16,22,19.0
120,16,22,19.0
120,16,22,19.0
120,16,22,19.0
121,16,22,19.0
122,16,22,19.0
123,16,22,19.0
124,16,22,19.0
124,16,22,19.0
124,16,22,19.0
127,16,22,19.0
127,16,22,19.0
128,16,22,19.0
128,16,22,19.0
128,16,22,19.0
128,16,22,19.0
128,16,22,19.0
129,16,22,19.0
129,16,22,19.0
129,16,22,19.0
142,16,22,19.0
142,16,22,19.0
142,16,22,19.0
143,16,22,19.0
144,16,22,19.0
146,16,22,19.0
146,16,22,19.0
147,16,22,19.0
148,16,22,19.0
148,16,22,19.0
149,16,22,19.0
149,16,22,19.0
149,16,22,19.0
149,16,22,19.0
149,16,22,19.0
149,16,22,19.0
153,16,22,19.0
153,16,22,19.0
153,16,22,19.0
154,16,22,19.0
155,16,22,19.0
155,16,22,19.0
155,16,22,19.0
155,16,22,19.0
155,16,22,19.0
161,16,22,19.0
163,16,22,19.0
179,16,22,19.0
179,16,22,19.0
179,16,22,19.0
180,16,22,19.0
180,16,22,19.0
180,16,22,19.0
181,16,22,19.0
182,16,22,19.0
182,16,22,19.0
182,16,22,19.0
182,16,22,19.0
182,16,22,19.0
182,16,22,19.0
182,16,22,19.0
183,16,22,19.0
183,16,22,19.0
183,16,22,19.0
184,16,22,19.0
184,16,22,19.0
196,16,22,19.0
196,16,22,19.0
197,16,22,19.0
198,16,22,19.0
200,16,22,19.0
200,16,22,19.0
202,16,22,19.0
202,16,22,19.0
203,16,22,19.0
208,16,22,19.0
208,16,22,19.0
208,16,22,19.0
208,16,22,19.0
208,16,22,19.0
209,16,22,19.0
209,16,22,19.0
212,16,22,19.0
212,16,22,19.0
213,16,22,19.0
213,16,22,19.0
214,16,22,19.0
214,16,22,19.0
215,16,22,19.0
215,16,22,19.0
215,16,22,19.0
218,16,22,19.0
218,16,22,19.0
218,16,22,19.0
218,16,22,19.0
218,16,22,19.0
218,16,22,19.0
218,16,22,19.0
218,16,22,19.0
219,16,22,19.0
227,16,22,19.0
228,16,22,19.0
228,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
255,16,22,19.0
256,16,22,19.0
257,16,22,19.0
257,16,22,19.0
260,16,22,19.0
261,16,22,19.0
261,16,22,19.0
262,16,22,19.0
282,16,22,19.0
282,16,22,19.0
282,16,22,19.0
282,16,22,19.0
282,16,22,19.0
282,16,22,19.0
282,16,22,19.0
283,16,22,19.0
283,16,22,19.0
283,16,22,19.0
283,16,22,19.0
283,16,22,19.0
283,16,22,19.0
283,16,22,19.0
284,16,22,19.0
284,16,22,19.0
285,16,22,19.0
290,16,22,19.0
290,16,22,19.0
290,16,22,19.0
291,16,22,19.0
291,16,22,19.0
295,16,22,19.0
296,16,22,19.0
323,16,22,19.0
323,16,22,19.0
323,16,22,19.0
323,16,22,19.0
324,16,22,19.0
324,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
325,16,22,19.0
326,16,23,19.5
326,16,24,20.0
326,16,24,20.0
326,16,24,20.0
326,16,24,20.0
326,16,24,20.0
326,16,24,20.0
326,16,25,20.5
326,16,25,20.5
326,16,25,20.5
326,16,25,20.5
326,16,25,20.5
326,16,25,20.5
326,16,27,21.5
326,16,27,21.5
326,16,27,21.5
326,16,27,21.5
326,16,27,21.5
329,16,24,20.0
329,16,24,20.0
329,16,24,20.0
331,16,23,19.5
331,16,24,20.0
331,16,24,20.0
331,16,24,20.0
331,16,24,20.0
331,16,24,20.0
332,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
333,16,23,19.5
334,16,23,19.5
335,16,23,19.5
338,16,23,19.5
338,16,23,19.5
338,16,23,19.5
338,16,23,19.5
338,16,23,19.5
341,16,23,19.5
342,16,23,19.5
342,16,23,19.5
342,16,23,19.5
342,16,23,19.5
342,16,23,19.5
343,16,23,19.5
343,16,23,19.5
343,16,23,19.5
343,16,23,19.5
343,16,23,19.5
343,16,23,19.5
344,16,23,19.5
344,16,23,19.5
344,16,23,19.5
345,16,23,19.5
355,16,23,19.5
356,16,23,19.5
361,16,23,19.5
362,16,23,19.5
362,16,23,19.5
362,16,23,19.5
362,16,23,19.5
364,16,23,19.5
364,16,23,19.5
364,16,23,19.5
366,16,23,19.5
366,16,23,19.5
368,16,23,19.5
368,16,23,19.5
368,16,23,19.5
368,16,23,19.5
368,16,23,19.5
368,16,23,19.5
368,16,23,19.5
369,16,23,19.5
369,16,23,19.5
370,16,23,19.5
370,16,23,19.5
382,16,23,19.5
383,16,23,19.5
383,16,23,19.5
385,16,23,19.5
385,16,23,19.5
385,16,23,19.5
385,16,23,19.5
386,16,23,19.5
386,16,23,19.5
391,16,23,19.5
391,16,23,19.5
392,16,23,19.5
392,16,23,19.5
393,16,23,19.5
393,16,23,19.5
393,16,23,19.5
393,16,23,19.5
398,16,23,19.5
398,16,23,19.5
399,16,23,19.5
399,16,23,19.5
399,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
400,16,23,19.5
401,16,23,19.5
402,16,23,19.5
402,16,23,19.5
402,16,23,19.5
402,16,23,19.5
408,16,23,19.5
408,16,23,19.5
408,16,23,19.5
408,16,23,19.5
408,16,23,19.5
408,16,23,19.5
408,16,23,19.5
409,16,23,19.5
413,16,23,19.5
413,16,23,19.5
414,16,23,19.5
414,16,23,19.5
415,16,23,19.5
415,16,23,19.5
415,16,23,19.5
415,16,23,19.5
420,16,23,19.5
420,16,23,19.5
420,16,24,20.0
420,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,24,20.0
421,16,25,20.5
421,16,25,20.5
421,16,27,21.5
421,16,27,21.5
421,16,27,21.5
421,16,27,21.5
421,16,27,21.5
421,17,26,21.5
421,17,26,21.5
421,17,26,21.5
421,17,27,22.0
421,17,27,22.0
422,18,25,21.5
422,18,25,21.5
422,18,26,22.0
422,19,25,22.0
422,19,25,22.0
422,19,25,22.0
422,19,25,22.0
422,19,25,22.0
422,19,25,22.0
423,19,25,22.0
423,19,25,22.0
423,19,25,22.0
423,19,25,22.0
423,19,25,22.0
424,19,25,22.0
432,19,25,22.0
432,19,25,22.0
432,19,25,22.0
432,19,25,22.0
432,19,25,22.0
432,19,25,22.0
433,19,25,22.0
434,19,25,22.0
434,19,25,22.0
434,19,25,22.0
434,19,25,22.0
434,19,25,22.0
434,19,25,22.0
435,19,25,22.0
446,19,25,22.0
447,19,25,22.0
448,19,25,22.0
448,19,25,22.0
449,19,25,22.0
450,19,25,22.0
451,18,25,21.5
451,18,25,21.5
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
451,19,25,22.0
452,18,25,21.5
455,18,25,21.5
455,18,25,21.5
456,18,25,21.5
457,18,25,21.5
457,18,25,21.5
457,18,25,21.5
457,18,25,21.5
457,18,25,21.5
457,18,25,21.5
457,18,25,21.5
457,19,25,22.0
457,19,25,22.0
458,19,25,22.0
458,19,25,22.0
458,19,25,22.0
458,19,25,22.0
461,19,25,22.0
461,19,25,22.0
461,19,25,22.0
462,19,25,22.0
462,19,25,22.0
462,19,25,22.0
462,19,25,22.0
465,19,25,22.0
465,19,25,22.0
466,19,25,22.0
466,19,25,22.0
466,19,25,22.0
467,19,25,22.0
467,19,25,22.0
475,19,25,22.0
476,19,25,22.0
477,19,25,22.0
478,19,25,22.0
479,19,25,22.0
480,19,25,22.0
480,19,25,22.0
480,19,25,22.0
480,19,25,22.0
481,19,25,22.0
494,19,25,22.0
494,19,25,22.0
494,19,25,22.0
494,19,25,22.0
494,19,25,22.0
494,19,25,22.0
495,19,25,22.0
495,19,25,22.0
496,19,25,22.0
498,19,25,22.0
498,19,25,22.0
500,19,25,22.0
504,19,24,21.5
504,19,25,22.0
505,18,24,21.0
505,18,24,21.0
505,18,24,21.0
505,18,24,21.0
505,18,24,21.0
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
505,19,24,21.5
506,18,24,21.0
506,18,24,21.0
506,18,24,21.0
506,18,24,21.0
507,18,24,21.0
511,18,24,21.0
512,18,24,21.0
518,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,18,24,21.0
524,19,24,21.5
524,19,24,21.5
524,19,24,21.5
525,19,24,21.5
526,19,24,21.5
527,19,24,21.5
528,19,24,21.5
530,19,24,21.5
531,19,24,21.5
531,19,24,21.5
531,19,24,21.5
531,19,24,21.5
535,19,24,21.5
537,19,24,21.5
538,19,24,21.5
538,19,24,21.5
538,19,24,21.5
538,19,24,21.5
538,19,24,21.5
538,19,24,21.5
543,19,24,21.5
544,19,24,21.5
545,19,24,21.5
545,19,24,21.5
545,19,24,21.5
546,19,24,21.5
