ts_offset_sec,bid,ask,mid
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
0,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
6,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
7,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
8,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
9,63,65,64.0
10,63,65,64.0
10,63,65,64.0
10,63,65,64.0
10,63,65,64.0
10,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
14,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
15,63,65,64.0
16,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
19,63,65,64.0
20,63,65,64.0
20,63,65,64.0
20,63,65,64.0
20,63,65,64.0
